,Course ID,Course Name,Credit Count,Prerequisites,Course Description,General Education Goal
46,AGBZ 315,Agronomy Finance Management,4,,"This course covers major aspects of agribusiness from financial management through financial problem solving, analysis, and planning. Students will apply economic and financial concepts by creating balance sheets, income statements, cash flows, inventory controls, and budgets. Students will have the opportunity to apply what they have learned in a computerized farm supply business simulation. Students will also develop management skills needed to be an effective agribusiness manager. THIS COURSE IS FOR BAS AGRONOMY MAJORS ONLY. The course does not apply toward any College of Business majors, certificates, or minors. The course serves as a counterpart to a South Central College course for ease of transfer.",
47,AGBZ 330,AgriBusiness & Food Supply Chain Management,3,,"This course examines supply chain concepts and principles, theoretical concepts and their application to modern and future agriculture industries. This course will have an emphasis on regional agriculture and food commodities as well as processed food production and manufacturing. Professionals in the agriculture industry will be brought into class to explain how agribusiness supply chain knowledge and skills are essential to various sectors. Students will have an opportunity to broaden their thinking, understanding, and professional potential as related to the agribusiness and food industry while interacting with professionals and facility tours. The course does not apply toward any College of Business majors or minors. The course serves as a counterpart to a South Central College course for ease of transfer.",
48,AGBZ 340,Commodity Marketing Principles,3,,"This course covers the principles of agricultural commodity marketing, including cash, forward, futures, and options contracts. Economic impacts on supply, demand, and equilibrium pricing for commodities will be explored. Students will participate in simulated marketing transactions and track local and terminal market pricing. THIS COURSE IS FOR BAS AGRONOMY MAJORS ONLY. The course does not apply toward any College of Business majors, certificates, or minors. The course serves as a counterpart to a South Central College course for ease of transfer.",
49,AGBZ 345,Commodity Marketing Strategies,2,,"This course covers strategies of commodity marketing of agricultural products. Students will apply marketing principles in various market situations. Students will work with forward contracts, basis contracts, futures contracts, and option strategies in agriculture commodities. Students will develop market plans for agribusiness marketing and input needs. THIS COURSE IS FOR BAS AGRONOMY MAJORS ONLY. The course does not apply toward any College of Business majors, certificates, or minors. The course serves as a counterpart to a South Central College course for ease of transfer.",
50,AGBZ 350,Agribusiness Transfer & Law,3,,"This course covers farm estate planning and law topics with direct application to production agriculture. Topics include federal and state estate tax laws and their impact on the transfer of agriculture property. Estate planning options such as wills, life insurance and trusts will be explored. Other topics include farm partnerships and corporations, agricultural legal case studies, basic contracts, legal land descriptions, fence regulations, animal legalities, water rights, bankruptcy, gifting, and liability issues. THIS COURSE IS FOR BAS AGRONOMY MAJORS ONLY. The course does not apply toward any College of Business majors, certificates, or minors. The course serves as a counterpart to a South Central College course for ease of transfer.",
51,AGBZ 370,AgriBusiness Finance,3,,"The goal of this course is to provide a basic understanding of finance for students entering agribusiness profession. The primary objective of this course is to cover all basic topics, including time value of money, agricultural lending, financial statement analysis following Generally Accepted Accounting Principles (GAAP), the Farm Credit System, risk in agribusiness, legal matter in agribusiness, national and international trend in agribusiness finance. The course does not apply toward any College of Business majors or minors. The course serves as a counterpart to a South Central College course for ease of transfer.",
52,AGBZ 371,Agricultural Technology Seminar,2,,"This seminar will provide students the opportunity to self-direct studies in agricultural technology in their areas of interest. Technologies to be considered could include but are not limited to, plant protection, precision farming, application industries, livestock equipment, biotechnologies, financial resource management, sustainable agriculture, environmental impacts of agriculture, agricultural workforce, and agricultural production. Some organized events will be part of this course. The major emphasis will be self-directed learning. THIS COURSE IS FOR BAS AGRONOMY MAJORS ONLY. The course does not apply toward any College of Business majors, certificates, or minors. The course serves as a counterpart to a South Central College course for ease of transfer.",
53,AGBZ 492,Study Tour,3-Jan,,"This course is designed to give students an opportunity to study abroad while learning basic business principles. The course focuses on building business knowledge in agriculture, food and trade while experiencing these concepts in another country. The course also focuses on cultural competency and understanding and experiencing a different culture. An interactive activity will also take place with a company. The course does not apply toward any College of Business majors or minors. The course serves as a counterpart to a South Central College course for ease of transfer.",
54,AGBZ 496,Internship,4-Jan,,"Supervised experience in agribusiness or food related organizations, industry, state, or federal institutions. The course does not apply toward any College of Business majors or minors. The course serves as a counterpart to a South Central College course for ease of transfer. American Indigenous Studies",
55,AIS 101,Introduction to American Indigenous Studies,3,,"Class introduces students to history of the discipline and surveys both historical and contemporary topics of importance to American Indian Studies including gender roles, education, sovereignty treaties, and oral traditions.",{05}
56,AIS 101,Introduction to American Indigenous Studies,3,,"Class introduces students to history of the discipline and surveys both historical and contemporary topics of importance to American Indian Studies including gender roles, education, sovereignty treaties, and oral traditions.",{07}
57,AIS 112,Elementary Ojibwe I,4,,"An introduction to the basic skills of listening, speaking, reading and writing in the Ojibwe language as well as non-linguistic aspects of cultural background and history.",{Purple}
58,AIS 112,Elementary Ojibwe I,4,,"An introduction to the basic skills of listening, speaking, reading and writing in the Ojibwe language as well as non-linguistic aspects of cultural background and history.","{Purple, 07}"
59,AIS 112,Elementary Ojibwe I,4,,"An introduction to the basic skills of listening, speaking, reading and writing in the Ojibwe language as well as non-linguistic aspects of cultural background and history.","{Purple, 08}"
60,AIS 113,Elementary Ojibwe II,4,,"An introduction to the basic skills of listening, speaking, reading and writing in the Ojibwe language as well as non-linguistic aspects of cultural background and history.",{Purple}
61,AIS 113,Elementary Ojibwe II,4,,"An introduction to the basic skills of listening, speaking, reading and writing in the Ojibwe language as well as non-linguistic aspects of cultural background and history.","{Purple, 07}"
62,AIS 113,Elementary Ojibwe II,4,,"An introduction to the basic skills of listening, speaking, reading and writing in the Ojibwe language as well as non-linguistic aspects of cultural background and history.","{Purple, 08}"
63,AIS 130,Introduction to Indigenous Education,3,,"An introduction to Indigenous cultural content, worldview, and concepts of Indigenous education, knowledge, and learning. Surveys the historical and present-day relationships between educational institutions, policies, practices, and Indigenous communities. Explores Indigenous communities across the U.S. with particular attention to Indigenous nations in Minnesota. AIS 210W Oral traditions are at the base of all American Indian cultures. This class will provide students with the necessary tools for a better understanding of traditional knowledge and its importance within diverse traditional cultures.",{Purple}
64,AIS 130,Introduction to Indigenous Education,3,,"An introduction to Indigenous cultural content, worldview, and concepts of Indigenous education, knowledge, and learning. Surveys the historical and present-day relationships between educational institutions, policies, practices, and Indigenous communities. Explores Indigenous communities across the U.S. with particular attention to Indigenous nations in Minnesota. AIS 210W Oral traditions are at the base of all American Indian cultures. This class will provide students with the necessary tools for a better understanding of traditional knowledge and its importance within diverse traditional cultures.","{Purple, 05}"
65,AIS 130,Introduction to Indigenous Education,3,,"An introduction to Indigenous cultural content, worldview, and concepts of Indigenous education, knowledge, and learning. Surveys the historical and present-day relationships between educational institutions, policies, practices, and Indigenous communities. Explores Indigenous communities across the U.S. with particular attention to Indigenous nations in Minnesota. AIS 210W Oral traditions are at the base of all American Indian cultures. This class will provide students with the necessary tools for a better understanding of traditional knowledge and its importance within diverse traditional cultures.","{Purple, 09}"
66,AIS 211,Native America to 1900,3,,"This course is an introduction to Native American history from creation to 1900 in North America. It introduces students to the continuity of social, cultural, political, and economic diversity amongst Native American peoples and focuses on adaptions to intertribal and colonial relationships during this time period.",{Purple}
67,AIS 211,Native America to 1900,3,,"This course is an introduction to Native American history from creation to 1900 in North America. It introduces students to the continuity of social, cultural, political, and economic diversity amongst Native American peoples and focuses on adaptions to intertribal and colonial relationships during this time period.","{Purple, 05}"
68,AIS 211,Native America to 1900,3,,"This course is an introduction to Native American history from creation to 1900 in North America. It introduces students to the continuity of social, cultural, political, and economic diversity amongst Native American peoples and focuses on adaptions to intertribal and colonial relationships during this time period.","{Purple, 07}"
69,AIS 212,Native America 1900 to Present,3,,"This course is an introduction to Native American history from 1900 to present day. It introduces students to the continuity of social, cultural, political, and economic diversity amongst Native American peoples and focuses on the impact of federal Indian policy, issues of power, sovereignty, identity, activism, and self-determination. Diverse Cultures: Purple AIS 220W Course introduces students to the legal side of being American Indian. Politics and policies will be examined to show how a contemporary native experience is shaped through American courts, Presidential chambers, and Native activist movements. AIS 230W This course will provide overview of Minnesota Indian nations and their relations to each other and the effects of European incursion. Subsequent relations will focus on the US-Dakota war and its aftermath. Diverse Cultures: Purple AIS 240W Being American Indian and being woman creates a unique situation for women who have been directly influenced by the differences of gender roles from two intersecting cultures. This course will focus on how those differences have affected American Indian Women. Diverse Cultures: Purple",{Purple}
70,AIS 212,Native America 1900 to Present,3,,"This course is an introduction to Native American history from 1900 to present day. It introduces students to the continuity of social, cultural, political, and economic diversity amongst Native American peoples and focuses on the impact of federal Indian policy, issues of power, sovereignty, identity, activism, and self-determination. Diverse Cultures: Purple AIS 220W Course introduces students to the legal side of being American Indian. Politics and policies will be examined to show how a contemporary native experience is shaped through American courts, Presidential chambers, and Native activist movements. AIS 230W This course will provide overview of Minnesota Indian nations and their relations to each other and the effects of European incursion. Subsequent relations will focus on the US-Dakota war and its aftermath. Diverse Cultures: Purple AIS 240W Being American Indian and being woman creates a unique situation for women who have been directly influenced by the differences of gender roles from two intersecting cultures. This course will focus on how those differences have affected American Indian Women. Diverse Cultures: Purple","{Purple, 05}"
71,AIS 212,Native America 1900 to Present,3,,"This course is an introduction to Native American history from 1900 to present day. It introduces students to the continuity of social, cultural, political, and economic diversity amongst Native American peoples and focuses on the impact of federal Indian policy, issues of power, sovereignty, identity, activism, and self-determination. Diverse Cultures: Purple AIS 220W Course introduces students to the legal side of being American Indian. Politics and policies will be examined to show how a contemporary native experience is shaped through American courts, Presidential chambers, and Native activist movements. AIS 230W This course will provide overview of Minnesota Indian nations and their relations to each other and the effects of European incursion. Subsequent relations will focus on the US-Dakota war and its aftermath. Diverse Cultures: Purple AIS 240W Being American Indian and being woman creates a unique situation for women who have been directly influenced by the differences of gender roles from two intersecting cultures. This course will focus on how those differences have affected American Indian Women. Diverse Cultures: Purple","{Purple, 07}"
72,AIS 275,Selected Topics,3,,"The course is offered according to student demand and instructor availability/expertise. A variety of topics related to ethnic and cultural areas will provide curriculum enrichment on an ongoing basis. AIS 300W Examines leadership prior to European colonization, the overlap of Indian and colonial leadership, contemporary governmental leadership, and contemporary tribal leadership. Define what is and is not leadership and examine characteristics of individuals deserving the title of leader among American Indians.",{Purple}
73,AIS 330,Indigenous Education,3,,"This class introduces students to Indigenous perspectives of education, knowledge, and learning. Students will explore the historical relationships between educational institutions, policies, practices, and Indigenous communities. Through an engagement with present day efforts of educators, programs, and institutions that incorporate and engage traditional knowledges, students will develop a deeper understanding of Indigenous education and ways to promote teaching practices and pedagogies that value and support a diverse educational community.",{Purple}
74,AIS 340,American Indians in Film,3,,This course examines American Indian identity as it relates to Hollywood film industry history. Underlying issues of contemporary Indians are also addressed through an introduction to Native Cinema and the effects of current technologies and globalization. Diverse Cultures: Purple,{Purple}
75,AIS 360,Indigenous Peoples and Environmental Struggles,3,,Introduces students to the differences between indigenous and Western views of the environment. Analyzes the impact of invasion and encroachment on indigenous societies’ interactions with nature. Compares historical and contemporary environmental issues in indigenous societies.,{Purple}
76,AIS 380,The Sacred Landscape,3,,"Course introduces students to the various ways that land is used by American Indians. We will explore traditional land use, contemporary land use, and land issues that impact American Indians and cultural activities that are tied to the land.",{Purple}
77,AIS 398,CPT: Co-Operative Experience,0," At least 60 credits earned; in good, standing;, permission; co-op contract; other prerequisites may also apply.",Curricular Practical Training: Co-Operative Experience is a zerocredit full-time practical training experience for one semester and an adjacent fall or spring term. Special rules apply to preserve fulltime student status. Please contact an advisor in your program for complete information.,
78,AIS 455,Museum Science and Representation,3,,"Introduces students to museum science and how historic constructs, practices, and contemporary issues of the museum as an institution relates to the representation of American Indians. Focus will be on translating western practices to an Indigenous aesthetic. ",{Gold}
79,AIS 460,Behaving Like Relatives,3,,"Working with a faculty advisor, students will gain practical knowledge of fieldwork techniques and gain practical experience through this experiential learning course. Students will learn to approach indigenous communities and people with respect to cultural practices and “behave like relatives” in their research practices. This course is a capstone research project for the AIS program. Corequisites: Permission of AIS faculty member.",{Gold}
80,AIS 475,Selected Topics,3,,This course is offered according to student demand and instructor availability/expertise. A variety of topics related to ethnic and cultural areas will provide curriculum enrichment on an ongoing basis.,
81,AIS 485,Workshop,6-Jan,,"A brief, intensive or hands on experience based in Indigenous knowledge and methods. Variable topics.",
82,AIS 497,Internship,12-Jan,,Field experiences in settings appropriate to the discipline of American Indian Studies. Requires advanced standing in American Indian Studies and consent of supervising faculty.,{Gold}
83,AIS 499,Individual Study,6-Jan,,Allows for an advanced level pursuit of special projects of research on an independent basis. Requires coordination with a faculty member. Anthropology,
84,ANTH 101,Introduction to Anthropology,4,,This course surveys human biological and cultural diversity through time and space. You will learn about questions like: “how did humans evolve?” and “how do anthropologists collect and interpret information about human beings and their ancestors?”,{Purple}
85,ANTH 101,Introduction to Anthropology,4,,This course surveys human biological and cultural diversity through time and space. You will learn about questions like: “how did humans evolve?” and “how do anthropologists collect and interpret information about human beings and their ancestors?”,"{Purple, 05}"
86,ANTH 101,Introduction to Anthropology,4,,This course surveys human biological and cultural diversity through time and space. You will learn about questions like: “how did humans evolve?” and “how do anthropologists collect and interpret information about human beings and their ancestors?”,"{Purple, 08}"
87,ANTH 102,Ancient Peoples,4,,"A general survey of the evolution of human society from the earliest times to the development of written languages. Topics include the evolution of tools, the agricultural revolution, and the origins of urban life.",{05}
88,ANTH 102,Ancient Peoples,4,,"A general survey of the evolution of human society from the earliest times to the development of written languages. Topics include the evolution of tools, the agricultural revolution, and the origins of urban life.",{10}
89,ANTH 120,Forensic Science: An Anthropological Approach,4,,"This anthropology course explores the areas of anatomical forensic science. Students will learn the techniques and methodology involved in collection, preservation, and analysis of evidence pertaining to human remains. The course will include such subjects as analysis of skeletal trauma, victim identification, bite-mark analysis, and crime scene recovery methods. Ethnics and standards in medico-legal investigations will also be stressed.",{03}
90,ANTH 210,Introduction to Archaeology,4,,"A comprehensive examination of modern archaeological theory methods and activities, focusing on American archaeology. Emphasis will be given to data collection, data analysis, and museology. Lab included.",{03}
91,ANTH 210,Introduction to Archaeology,4,,"A comprehensive examination of modern archaeological theory methods and activities, focusing on American archaeology. Emphasis will be given to data collection, data analysis, and museology. Lab included.",{10}
92,ANTH 220,Human Origins,4,,"An introduction to the study of human biological evolution and variation. This course focuses on evolutionary theory, mechanisms of evolutionary change, and the fossil record of human evolution. Lab included.",{03}
93,ANTH 230,People and Cultures of the World,4,,This course covers cultural diversity and organization by examining several examples in detail.,{Purple}
94,ANTH 230,Peoples and Cultures of the World,4,,This introduction to cultural anthropology covers cultural diversity and organization by examining several examples in detail. Both anthropological methodology and theory will be important parts of this course.,{Purple}
95,ANTH 230,Peoples and Cultures of the World,4,,This introduction to cultural anthropology covers cultural diversity and organization by examining several examples in detail. Both anthropological methodology and theory will be important parts of this course.,"{Purple, 08}"
96,ANTH 240,Language and Culture,4,,"Language provides not only communication but identification of oneself and one’s group. Humans are extremely sensitive to language, dialect, jargon, and slang. An understanding of language and its relationship to culture is basic to any understanding of human beings. Diverse Cultures: Purple",{Purple}
97,ANTH 240,Language and Culture,4,,"Language provides not only communication but identification of oneself and one’s group. Humans are extremely sensitive to language, dialect, jargon, and slang. An understanding of language and its relationship to culture is basic to any understanding of human beings. Diverse Cultures: Purple",{05}
98,ANTH 240,Language and Culture,4,,"Language provides not only communication but identification of oneself and one’s group. Humans are extremely sensitive to language, dialect, jargon, and slang. An understanding of language and its relationship to culture is basic to any understanding of human beings. Diverse Cultures: Purple",{08}
99,ANTH 245,The Social Life of Swearing,4,,"What qualifies a word as “bad”? How does profanity, cursing, and swearing evolve across time and vary across cultures? Where does the power of these “bad” words come from? What relationship do these words have to issues of gender, race, and class? This course examines the historical evolution and modern usage of obscenities to answer these questions. ANTH 250W Survey of human cultures through a variety of classic and contemporary anthropological writing and film. Students write weekly reflections. Written work is shared, discussed, and revised. ANTH 260 Vampires, Werewolves, and Zombies: Folklore",{Purple}
100,ANTH 245,The Social Life of Swearing,4,,"What qualifies a word as “bad”? How does profanity, cursing, and swearing evolve across time and vary across cultures? Where does the power of these “bad” words come from? What relationship do these words have to issues of gender, race, and class? This course examines the historical evolution and modern usage of obscenities to answer these questions. ANTH 250W Survey of human cultures through a variety of classic and contemporary anthropological writing and film. Students write weekly reflections. Written work is shared, discussed, and revised. ANTH 260 Vampires, Werewolves, and Zombies: Folklore","{Purple, 07}"
101,ANTH 245,The Social Life of Swearing,4,,"What qualifies a word as “bad”? How does profanity, cursing, and swearing evolve across time and vary across cultures? Where does the power of these “bad” words come from? What relationship do these words have to issues of gender, race, and class? This course examines the historical evolution and modern usage of obscenities to answer these questions. ANTH 250W Survey of human cultures through a variety of classic and contemporary anthropological writing and film. Students write weekly reflections. Written work is shared, discussed, and revised. ANTH 260 Vampires, Werewolves, and Zombies: Folklore","{Purple, 09}"
