Course Number,Course Name,Credit Count,Prerequisites,Color Group
ago to,"ca 1900, with a focus on diverse and",changing,,
ANTH 411,Archaeology of Native North America,4,,
inhabitants of,"North America from ca. 15,000 years ago until",ca.,,
ANTH 412,Archaeology of Latin America,4,,
A detailed,study of Latin American archaeology from,ca.,,
years ago,"to ca.1900, with a focus on diverse and",changing,,
ANTH 414,Museology,4,,
ANTH 415,Cultural Resource Management,4,,
Prerequisites: ANTH,"101, ANTH 210",or,,
ANTH 416,Archeological Methods,4,,
ANTH 417,Quaternary Environments and Climatic Change,4,,
of humans.,This course has three segments: 1) an examination,of,,
distinct environments;,2) investigation into worldwide,evidence,,
Prerequisites: GEOG,"101, ANTH 210; Students are strongly",encouraged,,
take Geog,315 or 4/515 before enrolling. Geol 121 can be,substituted,,
Geog 101,with,instructor,,
ANTH 418,Agricultural Systems and Environmental,Change4,,
ANTH 420,Human Osteology,4,,
ANTH 421W,"Health, Culture, and Disease",4,,
ANTH 422,Forensic Anthropology,4,,
ANTH 422,Forensic Anthropology,4,,
ANTH 424,Bioarchaeology,4,,
ANTH 425W,Anthropology of Death,4,,
ANTH 430,Peoples and Cultures of Latin America,4,,
Prerequisites: ANTH,"101, ANTH 230,",or,,
ANTH 431,Applied Cultural Research,3,,
Prerequisites: ANTH,"101, ANTH 230, or consent; ETHN 100,",ETHN,,
or ETHN,150,or,,
ANTH 432,"Kinship, Marriage and Family",3,,
206 2024-2025,Undergraduate,Catalog,,
ANTH 433,Anthropology of Gender,4,,
Prerequisites: ANTH,"101, ANTH 230,",or,,
ANTH 436W,Anthropology of Aging,4,,Purple
Prerequisites: ANTH,"101, ANTH 230, or ANTH 220,",or,,
ANTH 437,Applied Anthropology,4,,
Prerequisites: ANTH,"101, ANTH 230",or,,
ANTH 438W,Anthropological Theory,4,,
ANTH 439,Qualitative Research Methods,4,,
Prerequisites: ANTH,"101, ANTH 220",or,,
ANTH 440,Native American Cultures of North America,4,,
this cultural,diversity from the Ice Age to the,20th,,
ANTH 443W,People and Cultures of East Asia,4,,
ANTH 475,Senior Thesis,3,,
Students will,take ANTH 475 after completing ANTH 300.,The,,
Students will,take ANTH 475 after completing ANTH 300.,The,,
ANTH 480,Fieldwork: Archaeology/Ethnology,3-6,,
"Prerequisites: Consent,","or one of: ANTH 101, ANTH 102, or",ANTH,,
ANTH 485,Topics in Anthropology,1-3,,
ANTH 486,Workshop,1-3,Depends on topic and instructor,
ANTH 491,Archaeology Laboratory,1-3,,
ANTH 492,Biological Anthropology Lab,1-3,Consent,
ANTH 493,Ethnology Lab,1-3,Consent,
ANTH 494,Linguistic Lab,1-3,,
ANTH 497,Internship,1-12,Consent,
ANTH 498,Internship: Teaching Anthropology,1-3,,
ANTH 499,Individual Study,1-6,Consent,
www.mnsu.edu 2024-2025,Undergraduate,Catalog,,
AOS 101,Preparing for Leadership Careers,3,,
AOS 301,Introduction to Applied Leadership,3,,
AOS 320,Applied Leadership Communication Workshop,3,,
AOS 380W,Applied Leadership Workshop 2,3,,
AOS 420,Applied Leadership & Decision Making,3,,
AOS 430,Global Social Entrepreneurship,3,,
AOS 440,Social Enterprise,3,,
AOS 488,Professional Studies Portfolio,2,,
AOS 488,Professional Studies Portfolio,2,,
AOS 492,Selected Topics,3,,
AOS 499,Individual Study,1-12,,
ART 100,Elements and Principles of Art,3,,
2-D visual,problem solving and art-making strategies,using,,
ART 101,Design Foundations,3,,
ART 103,Three-Dimensional Design,3,,
ART 110,Drawing Foundations,3,,
ART 160,Introduction to Visual Culture,3,,Purple
ART 202,Introduction to Digital Media,3,,
ART 210,Drawing,3,,
ART 210,Drawing,3,,
ART 212,Life Drawing,3,,
ART 212,Life Drawing,3,,
ART 220,Graphic Design I,3,,
ART 220,Graphic Design I,3,,
208 2024-2025,Undergraduate,Catalog,,
ART 225,Developing Creativity: Approaches and,Techniques3,,
ART 225,offers art experiences with a focus on working,with,,
ART 231,Mixed Media,3,,
ART 240,Painting,3,,
Prerequisites: ART,"100 or ART 101, ART 110",or,,
ART 245,Watercolor,3,,
Prerequisites: ART,"100 or ART 101, ART 110",or,,
ART 250,Ceramics: Beginning Wheel,3,,
ART 251,Ceramics: Beginning Handbuilding,3,,
ART 260,Art History Survey I,3,,Purple
ART 261,Art History Survey II,3,,
ART 265W,Art As Politics,3,,
ART 270,Printmaking: Beginning,Silkscreen,,
ART 270,Printmaking: Beginning,Silkscreen,,
ART 271,Printmaking: Beginning Intaglio/Relief,3,,
ART 275,Introduction to Photography,3,,
ART 280,Sculpture,3,,
Prerequisites: ART,103,or,,
ART 285,Introduction to Installation,3,,
Prerequisites: ART,103,or,,
ART 294,Topics,3,,
ART 302,Interaction Design,3,,
ART 302,Interaction Design,3,,
ART 304,Typography I,3,,
ART 304,Typography I,3,,
ART 310,Drawing,3,,
skills developed,in ART 110 and ART 210. Formal and,conceptual,,
skills developed,in ART 110 and ART 210. Formal and,conceptual,,
ART 320,Graphic Design II,3,,
Prerequisites: ART,"220, ART 302,",ART,,
www.mnsu.edu 2024-2025,Undergraduate,Catalog,,
ART 324,Concept and Image,3,,
Prerequisites: ART,"220, ART 302,",ART,,
ART 340,Painting,3,,
Must be,taken twice before advancing to ART 440. Pre:,ART,,
Prerequisites: ART,240,or,,
ART 350,Intermediate Ceramics,3,,
wheel. Must,be taken twice before advancing to,ART,,
Prerequisites: ART,250 or,ART,,
ART 370,Printmaking: Intermediate Studio,3,,
processes. Must,be taken twice before advancing to,ART,,
Prerequisites: ART,270 or,ART,,
ART 372,Digital Printmaking,3,,
Prerequisites: ART,"202,",ART,,
ART 375,Intermediate Black and White Photography,3,,
This intermediate,course builds on basic knowledge learned in,ART,,
cohesive series.,In rotation with,ART,,
cohesive series.,In rotation with,ART,,
ART 377,Intermediate Digital Photography,3,,
275. Topics,"covered include digital camera operations,",digital,,
"solving, and",creating a cohesive series. In rotation with ART,375.,,
"solving, and",creating a cohesive series. In rotation with ART,375.,,
ART 378,Experimental Video,3,,
ART 380,Sculpture,3,,
ART 385,Intermediate Installation,3,,
Must be,taken twice before advancing to,ART,,
Prerequisites: ART,285,or,,
ART 391,Portfolio Review,0,,
Required of,all B.F.A. majors before taking 4XX,advanced,,
Required of,all B.F.A. majors before taking 4XX,advanced,,
ART 392,Portfolio Review: Graphic Design,0,,
taking 4XX,advanced design sequence courses to continue,in,,
Prerequisites: ART,"220, ART 302,",ART,,
ART 400,Graphic Design Special Topics,3-6,,
ART 400,Graphic Design Special Topics,3-6,,
ART 402,Motion Graphics,3,,
ART 402,Motion Graphics,3,,
ART 404,Typography II,3,,
Prerequisites: ART,"220, ART 302,",ART,,
ART 405,Self-Initiated Design Workshop,3,,
ART 405,Self-Initiated Design Workshop,3,,
ART 406,Web Design I,3,,
Prerequisites: ART,"220, ART 302,",ART,,
210 2024-2025,Undergraduate,Catalog,,
ART 410,Drawing Workshop,3-6,,
ART 410,Drawing Workshop,3-6,,
ART 417,Medieval Art and Architecture,3,,
Prerequisites: ART,260,or,,
ART 419,Gender in Art,3,,
Prerequisites: ART,261,or,,
ART 420,Graphic Design III,3-6,,
Prerequisites: ART,"320, ART 404,",ART,,
ART 421,Art Methods Elementary School,3,,
Prerequisites: ART,"100 or ART 101, Jr. status",or,,
ART 424,Art Education for the Exceptional Child,3,,
ART 424,Art Education for the Exceptional Child,3,,
ART 426,Art Methods Secondary School,3,,
ART 426,Art Methods Secondary School,3,,
ART 434,Arts Administration,3,,
ART 436,Web Design II,3,,
Prerequisites: ART,"392,",ART,,
ART 440,Painting,3-6,,
ART 440,Painting,3-6,,
ART 444,Typography III,3,,
Prerequisites: ART,"392,",ART,,
ART 450,Advanced Ceramics,3-6,,
ART 450,Advanced Ceramics,3-6,,
ART 460,Ancient Art,3,,
Prerequisites: ART,260,or,,
ART 462,Renaissance Art,3,,
Prerequisites: ART,261,or,,
ART 463,Mannerism to Romanticism,3,,
Prerequisites: ART,"392,",ART,,
ART 464,Art Museum and Exhibition Studies,3,,
Prerequisites: ART,"260,",ART,,
ART 466,Realism to Postmodernism,3,,
Prerequisites: ART,261,or,,
ART 467,Art of the Islamic World,3,,Purple
www.mnsu.edu 2024-2025,Undergraduate,Catalog,,
ART 468,Design: History and Theory,3,,
ART 469,Asian Art,3,,
Japan from,pre-history to the 20th century. Diverse,Cultures:,,
Prerequisites: ART,"260, ART 261",or,,
ART 470,Printmaking: Advanced Studio,3-6,,
ART 470,Printmaking: Advanced Studio,3-6,,
ART 475,Advanced Photography Studio,3-6,,
Corequisites: Two,300-level photography courses,are,,
ART 477W,Roots of Modern Islamic Art,3,,
since the,19th century. Diverse,Cultures:,,
ART 480,Sculpture,3-6,,
ART 480,Sculpture,3-6,,
ART 485,Advanced Installation,3-6,,
Prerequisites: ART,385,or,,
ART 492,Art History Seminar,1-6,Consent,
ART 494,Topics,3,,
ART 495,Senior Exhibit,0-1,Consent,
ART 496,Art History Senior Thesis,1,Consent of advisor,
ART 497,Internship,1-6,Jr. standing with consent of advisor and department chair.,
ART 499,Individual Study,1-6,Consent,
AST 101,Introduction to Astronomy,3,,
AST 102,Introduction to the Planets,3,,
AST 115,Life in the Universe,2,,
General Education,Categories 2,and,,
AST 115W,Life in the Universe,2,,
AST 125,Observational Astronomy,3,,
AST 125,Observational Astronomy,3,,
AST 201,Spherical Astronomy,2,,
AST 215,Astronomy and Astrophysics I,4,,
Prerequisites: MATH,121 and,PHYS,,
212 2024-2025,Undergraduate,Catalog,,
AST 225,Astronomy and Astrophysics II,4,,
Prerequisites: AST,"215, MATH 122,",PHYS,,
AST 351,Telescope Operations,2,,
Operating the,0.5-meter telescope; operating the BRC,250,,
Prerequisites: AST,201 and AST,"215,",,
AST 353,Photometry I,2,,
AST 353,Photometry I,2,,
AST 354,Photometry II,2,,
AST 354,Photometry II,2,,
AST 355,Astrometry,2,,
Prerequisites: AST,201 and,AST,,
AST 357,Spectroscopy,2,,
AST 357,Spectroscopy,2,,
AST 493,Undergraduate Research,1-6,Consent,
AST 495,Selected Topics,1-4,Consent,
AST 499,Individual Study,1-8,Consent,
AE 102,Introduction to Automotive Engineering,1,,
AE 160,Automotive Systems,4,,
AE 261,Automotive Driveability & Diagnosis,4,,
AE 262,Automotive Computers and Electronics,4,,
Prerequisites: EET,"113, AE 160,",AE,,
AE 280,Data Acquisition and Analysis,3,,
Prerequisites: EET,"113,",MATH,,
AE 334,Fluid Power,3,,
Prerequisites: MATH,"121,",PHYS,,
www.mnsu.edu 2024-2025,Undergraduate,Catalog,,
AE 364,Chassis Design and Testing,4,,
Prerequisites: MATH,"121,",PHYS,,
AE 366,Automotive Thermodynamics & Engine Design,3,,
Prerequisites: MATH,"121, PHYS 221. Select One Course: CHEM",191,,
Prerequisites: MATH,"121, PHYS 221. Select One Course: CHEM",191,,
AE 387,Junior Design Project,2,,
student for,"AE 488, Senior Design Project I, where the",design,,
student for,"AE 488, Senior Design Project I, where the",design,,
AE 436,Hybrid and Electric Vehicles,3,,
Prerequisites: AE,"280,",AE,,
AE 465,Automotive Laboratory Experience,2,,
AE 465,Automotive Laboratory Experience,2,,
AE 468,Automotive Research Methods,4,,
Prerequisites: STAT,"354,",AE,,
AE 488W,Senior Design Project I,3,,
Corequisites of,MFE 324 and,AE,,
Prerequisites: MFE,"341, AE 364,",AE,,
AE 489W,Senior Design Project II,3,,
Prerequisites: MFE,"324, AE 468,",AE,,
AET 102,Introduction to,Automotive,,
AET 102,Introduction to,Automotive,,
AET 160,Automotive Technology & Systems,4,,
AET 261,Automotive Driveability and Diagnosis,4,,
AET 262,Automotive Computers and Electronics,4,,
Prerequisites: AET,"160, AET 261,",EET,,
AET 280,Data Acquisition and Analysis,3,,
Prerequisites: EET,"113,",MATH,,
AET 334,Fluid Power,3,,
Prerequisites: MATH,"121,",PHYS,,
AET 364,Chassis Design and Performance Testing,4,,
Prerequisites: MATH,"121,",PHYS,,
214 2024-2025,Undergraduate,Catalog,,
AET 366,Automotive Thermodynamics and Engine Design,3,,
Prerequisites: CHEM,"104, MATH 121,",PHYS,,
AET 387,Junior Design Project,3,,
"488, Senior","Design Project I, where the design proposal,",design,,
Prerequisites: ENG,"271W,",STAT,,
AET 398,CPT: Co-Operative Experience,0,,
Prerequisites: AET,102. At least 60 credits earned; in,good,,
AET 435,Automotive Design and Construction,1-4,Permission Required,
AET 436,Hybrid and Electric Vehicles,3,,
Prerequisites: AET,"280,",AET,,
AET 465,Automotive Laboratory Experience,2,,
Prerequisites: AET,"364,",Permission,,
AET 468,Automotive Research Methods,4,,
Prerequisites: AET,"366, PHYS 211,",STAT,,
AET 488W,Senior Design Project I,3,,
Prerequisites: MET,"341, AET 364,",AET,,
Corequisites: MET,"324,",AET,,
AET 489W,Senior Design Project II,3,,
Prerequisites: AET,"468, AET 488W,",MET,,
AET 492,Automotive Seminar,1-4,Permission required,
AET 497,Internship: Automotive,1-10,,
Prerequisites: 40,earned credits,in,,
AET 499,Individual Study,1-4,Permission required,
AVIA 100,Aviation Program Orientation,1,,
AVIA 101,World of Aviation,3,,
AVIA 102,Aviation Terminology,3,,
AVIA 150,Private Pilot,3,,
14 CFR,61.105. Satisfactory completion of this course may result,in,,
www.mnsu.edu 2024-2025,Undergraduate,Catalog,,
AVIA 151,Private Pilot Flight Lab,2,,
AVIA 152,Private Pilot Helicopter Flight Lab,3,,
AVIA 153,Private Pilot Flight Lab II,1,,
"AVIA 153,","Private Pilot Flight Lab II, continues the flight",lab,,
developed in,AVIA 151. The training flights continue the,building,,
AVIA 160,Introduction to UAS,3,,
AVIA 171,Multi-Engine Flight Lab,1,,
Prerequisites: AVIA,"151,",or,,
AVIA 201,Theory of Flight,3,,
Prerequisites: PHYS,"101, MATH 112. Select 1 course: AVIA 150",or,,
AVIA 202,Principles of Air Navigation,3,,
AVIA 202,Principles of Air Navigation,3,,
AVIA 240,Instrument Pilot,3,,
"course meets,","but is not limited to, FAR part 61.65 (b,",1-4).,,
Prerequisites: AVIA,"150,",or,,
AVIA 241,Instrument Pilot Flight Lab,2,,
AVIA 242,Instrument Pilot Helicopter Flight Lab,3,,
AVIA 242,Instrument Pilot Helicopter Flight Lab,3,,
AVIA 243,Instrument Pilot Flight Lab II,1,,
"AVIA 243,","Instrument Pilot Flight Lab II, continues the",flight,,
developed in,AVIA 241. The training flights continue the,building,,
AVIA 250,Commercial Pilot,3,,
emergencies. The,"course meets, but is not limited to 14",CFR,,
Prerequisites: AVIA,"153,",AVIA,,
AVIA 251,Commercial Pilot Flight Lab,2,,
AVIA 252,Commercial Pilot Helicopter Flight Lab,3,,
Prerequisites: AVIA,"152,",AVIA,,
AVIA 253,Commercial Pilot Flight Lab II,2,,
"AVIA 253,","Commercial Pilot Flight Lab II, continues the",flight,,
AVIA 270,Helicopter Pilot,3,,
Study of,Helicopter theory to meet FAA part,141,,
Prerequisites: AVIA,"150, AVIA 250,",AVIA,,
AVIA 275,Helicopter Flight Theory,3,,
AVIA 300,Advanced Studies Orientation,1,,
Prerequisites: ENG,271W or,ENG,,
216 2024-2025,Undergraduate,Catalog,,
AVIA 305,Aviation Professional Communications,1,,
AVIA 306,Intercollegiate Flight Team,1,,
4 credits,can,be,,
AVIA 333,Airline Operations,3,,
AVIA 334,Aviation Management,3,,
AVIA 336,Basic Aircraft Systems,3,,
AVIA 337,Avionics,3,,
AVIA 338,Advanced Aircraft Systems,3,,
AVIA 338,Advanced Aircraft Systems,3,,
AVIA 339,Aerospace Propulsion,3,,
AVIA 340,Flight Operations,3,,
of airline,operations as they experience an FAA Part 121,style,,
of airline,operations as they experience an FAA Part 121,style,,
AVIA 343,Airport Management,3,,
AVIA 344,Airport Operations,3,,
Part 139.,"Airport Surfaces, Marking, Signs,","Lighting,",,
"Ground Vehicles,","NAVAIDs, ATC, Part 77, Hazardous","Materials,",,
AVIA 360,Flight Instructor,3,,
limited to,14 CFR 61.185(a). Satisfactory completion of this,course,,
Prerequisites: AVIA,"243,",AVIA,,
AVIA 364,Flight Instructor Flight Lab,3,,
AVIA 365,UAS Sensors,3,,
AVIA 365,UAS Sensors,3,,
AVIA 370,Confidence Maneuver Training flight lab,3,,
and Recovery,Training (UPRT) per ICAO SARP Annex,"1,",,
2.4.3.2.2 and,the FAA AFH. This course is designed to,build,,
consists of,"three or four flights, approximately 0.7 to 1.0 hours","each,",,
consists of,"three or four flights, approximately 0.7 to 1.0 hours","each,",,
AVIA 375,UAS Telemetry and Communication,3,,
AVIA 375,UAS Telemetry and Communication,3,,
AVIA 383,Flight Instructor Helicopter Flight Lab,1,,
AVIA 383,Flight Instructor Helicopter Flight Lab,1,,
www.mnsu.edu 2024-2025,Undergraduate,Catalog,,
AVIA 392,Instrument Instructor Helicopter Flight Lab,1,,
Prerequisites: AVIA,"242,",AVIA,,
AVIA 432,Aviation Law – General,3,,
AVIA 435,Aviation Law – Transactions,3,,
AVIA 435,Aviation Law – Transactions,3,,
AVIA 436,Flight Operations and Procedures,3,,
Introduces advanced,professional flight students to FAR Part,121,,
Introduces advanced,professional flight students to FAR Part,121,,
AVIA 437,Aviation Safety,3,,
AVIA 437,Aviation Safety,3,,
AVIA 442,Fundamentals of Air Traffic Control,3,,
AVIA 442,Fundamentals of Air Traffic Control,3,,
AVIA 443,Airline Dispatch,3,,
Prerequisites: AVIA,"240,",GEOG,,
AVIA 444,Aircraft Dispatcher 2,3,,
AVIA 444,Aircraft Dispatcher 2,3,,
AVIA 445,Aviation Human Factors,3,,
Prerequisites: Select,1 course: AVIA 150 or,AVIA,,
AVIA 450,Professional Pilot Theory,3,,
Must be,taken concurrently with,AVIA,,
Prerequisites: AVIA,"253,",AVIA,,
AVIA 451,Professional Flight Course,3,,
This course,is taken in conjunction in the same semester as,AVIA,,
This course,is taken in conjunction in the same semester as,AVIA,,
This course,is taken in conjunction in the same semester as,AVIA,,
AVIA 452,Professional Aviator Course,3,,
AVIA 455,Aircraft Performance,3,,
AVIA 455,Aircraft Performance,3,,
AVIA 458,Aeromedical Factors,3,,
AVIA 470,Advanced UAS Operation,3,,
Prerequisites: CIS,"350,",AVIA,,
AVIA 480,UAS Emphasis Senior project/Capstone,4,,
AVIA 480,UAS Emphasis Senior project/Capstone,4,,
218 2024-2025,Undergraduate,Catalog,,
AVIA 490,Aviation Workshop,1-10,,
Corequisites: ANTH,491 or ANTH 492 or ANTH 493 or,ANTH,,
AVIA 497,Aviation Internship,1-12,,
AVIA 499,Individual Study in Aviation,1-6,,
BIOL 100,Our Natural World,4,,
BIOL 102,Biology of Women,3,,
BIOL 104,Introduction to Soil Science,4,,
BIOL 105,General Biology I,4,,
BIOL 106,General Biology II,4,,
BIOL 125,Livestock Production,3,,
BIOL 136,Forages and Pasture Management,2,,
BIOL 146,Agronomy I,2,,
BIOL 175,Orientation to Clinical Laboratory Science,1,,
BIOL 201,Anatomy & Physiology I,4,,
BIOL 202,Anatomy & Physiology II,4,,
BIOL 204,Soils II,3,,
Prerequisites: BIOL,"104,",GEOL,,
BIOL 211,Genetics,4,,
Prerequisites: BIOL,"105, BIOL 106, and",MATH,,
BIOL 215,General Ecology,4,,
Prerequisites: BIOL,105 and BIOL 106,or,,
www.mnsu.edu 2024-2025,Undergraduate,Catalog,,
BIOL 217,Plant Science,4,,
Prerequisites: BIOL,105 and BIOL 106,or,,
BIOL 220,Human Anatomy,4,,
BIOL 246,Agronomy II,3,,
BIOL 246,Agronomy II,3,,
BIOL 270,Microbiology,4,One BIOL course and one semester of chemistry from among,
"CHEM 104,","CHEM 106, CHEM 111, or CHEM 201. Fall,","Spring,",,
BIOL 271,Principles of Microbiology,4,,
BIOL 280,Biological Laboratory Experiences,for,,
BIOL 280,Biological Laboratory Experiences,for,,
BIOL 300,Evolutionary Analysis,3,,
Prerequisites: BIOL,"105, BIOL 106,",BIOL,,
BIOL 305,Invertebrate Zoology,4,,
Prerequisites: BIOL,"105,",BIOL,,
BIOL 306,Vertebrate Zoology,4,,
Prerequisites: BIOL,"105,",BIOL,,
BIOL 310,Basics of Human Physiology,4,,
Prerequisites: BIOL,"220, CHEM 104 or CHEM 106 or CHEM 111",or,,
BIOL 320,Cell Biology,4,,
Prerequisites: BIOL,"105 and BIOL 106,",BIOL,,
BIOL 324,Neurobiology,3,,
BIOL 324,Neurobiology,3,,
BIOL 325,Principles of Human Anatomy,4,,
Primary emphasis,on gross anatomy supported by,3-dimensional,,
Primary emphasis,on gross anatomy supported by,3-dimensional,,
BIOL 330,Principles of Human Physiology,4,,
Prerequisites: BIOL,"220, CHEM 104 or CHEM 106 or CHEM 111",or,,
BIOL 346,Advanced Agronomy,3,,
Prerequisites: BIOL,"146,",BIOL,,
220 2024-2025,Undergraduate,Catalog,,
BIOL 371,Microbiology,4,,
Prerequisites: BIOL,"105, BIOL 106,",CHEM,,
BIOL 380,Blood Banking/Urinalysis,3,,
BIOL 398,RISEbio research,2,,
Prerequisites: BIOL,"105, BIOL 106. RISEbio",program,,
BIOL 402,Stream Ecology,4,,
Prereq: BIOL,"105W, BIOL 106, BIOL 215 or",consent,,
Prerequisites: BIOL,"105, BIOL 106, BIOL 215",or,,
BIOL 403,Conservation Biology,3,,
Prerequisites: BIOL,215,or,,
BIOL 404,Wetlands,4,,
BIOL 404,Wetlands,4,,
BIOL 406,Fish Management,4,,
BIOL 406,Fish Management,4,,
BIOL 409,Advanced Field Ecology,4,,
Prerequisites: BIOL,"105, BIOL 106, BIOL 215",or,,
BIOL 410,Global Change Biology,3,,
Prerequisites: BIOL,"105, BIOL 106, BIOL 215",or,,
BIOL 411,Human Genetics,3,,
BIOL 412,Soil Ecology,4,,
Prerequisites: BIOL,"105, BIOL 106, BIOL 215,",or,,
BIOL 413,Bioinformatics,4,,
Prerequisites: BIOL,"105, BIOL 106,",BIOL,,
BIOL 414,Ichthyology,4,,
BIOL 414,Ichthyology,4,,
www.mnsu.edu 2024-2025,Undergraduate,Catalog,,
BIOL 415,Ornithology,4,,
Prerequisites: BIOL,"105, BIOL 106,",BIOL,,
BIOL 417,Biology of Aging and Chronic Diseases,3,,
Prerequisites: BIOL,100 or,BIOL,,
BIOL 420,Diagnostic Parasitology,4,,
Prerequisites: BIOL,"100 or BIOL 105, BIOL",106,,
BIOL 421,Entomology,3,,
Prerequisites: BIOL,105 and BIOL 106,or,,
