Course Number,Course Name,Credit Count,Prerequisites,Color Group
Prerequisites: At,least 60 credits earned; in good,standing;,N/A,N/A
GERO 450,Innovations in Aging Policy,3,N/A,N/A
GERO 480,Long-Term Care Administration,3,N/A,N/A
GERO 485,Topics in Gerontology,1-3,N/A,N/A
GERO 487,Long-Term Care Regulatory Management,3,N/A,N/A
GERO 490,Workshop,1-3,N/A,N/A
GERO 491,In-Service,1-6,N/A,N/A
GERO 497,Internship,1-6,Consent,N/A
GERO 498,Practicum: Nursing Home Administration,1-6,by application and consent only,N/A
GERO 499,Individual Study in Gerontology,1-4,N/A,N/A
AGBZ 110,Agronomy Selling Skills,3,N/A,N/A
AGBZ 111,Introduction to Agriculture Economics,3,N/A,N/A
AGBZ 315,Agronomy Finance Management,4,N/A,N/A
AGBZ 330,AgriBusiness & Food Supply Chain,Management3,N/A,N/A
202 2024-2025,Undergraduate,Catalog,N/A,N/A
AGBZ 340,Commodity Marketing Principles,3,N/A,N/A
AGBZ 345,Commodity Marketing Strategies,2,N/A,N/A
AGBZ 350,Agribusiness Transfer & Law,3,N/A,N/A
AGBZ 370,AgriBusiness Finance,3,N/A,N/A
AGBZ 371,Agricultural Technology Seminar,2,N/A,N/A
AGBZ 492,Study Tour,1-3,N/A,N/A
AGBZ 496,Internship,1-4,N/A,N/A
AIS 101,Introduction to American Indigenous Studies,3,N/A,N/A
AIS 112,Elementary Ojibwe I,4,N/A,Purple
AIS 113,Elementary Ojibwe II,4,N/A,Purple
AIS 130,Introduction to Indigenous Education,3,N/A,Purple
AIS 210W,Oral Traditions,3,N/A,Purple
AIS 211,Native America to 1900,3,N/A,N/A
to 1900,in North America. It introduces students to,the,N/A,Purple
AIS 212,Native America 1900 to Present,3,N/A,N/A
This course,is an introduction to Native American history,from,N/A,N/A
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
AIS 220W,Introduction to Tribal Sovereignty,3,N/A,Purple
AIS 230W,American Indians of Minnesota,3,N/A,N/A
AIS 240W,American Indian Women,3,N/A,N/A
AIS 275,Selected Topics,3,N/A,N/A
AIS 300W,American Indian Leaders,3,N/A,Purple
AIS 330,Indigenous Education,3,N/A,Purple
AIS 340,American Indians in Film,3,N/A,N/A
AIS 360,Indigenous Peoples and Environmental Struggles,3,N/A,Purple
AIS 380,The Sacred Landscape,3,N/A,Purple
AIS 398,CPT: Co-Operative Experience,0,N/A,N/A
Prerequisites: At,least 60 credits earned; in good,standing;,N/A,N/A
AIS 455,Museum Science and Representation,3,N/A,Gold
AIS 460,Behaving Like Relatives,3,N/A,Gold
AIS 475,Selected Topics,3,N/A,N/A
AIS 485,Workshop,1-6,N/A,N/A
AIS 497,Internship,1-12,N/A,Gold
AIS 499,Individual Study,1-6,N/A,N/A
ANTH 101,Introduction to Anthropology,4,N/A,Purple
ANTH 102,Ancient Peoples,4,N/A,N/A
ANTH 120,Forensic Science: An Anthropological,Approach4,N/A,N/A
ANTH 210,Introduction to Archaeology,4,N/A,N/A
204 2024-2025,Undergraduate,Catalog,N/A,N/A
ANTH 220,Human Origins,4,N/A,N/A
ANTH 230,Peoples and Cultures of the World,4,N/A,Purple
ANTH 240,Language and Culture,4,N/A,N/A
ANTH 245,The Social Life of Swearing,4,N/A,Purple
ANTH 250W,Portraits of Culture,4,N/A,Purple
ANTH 260,"Vampires, Werewolves, and",Zombies:,N/A,N/A
ANTH 261,"Taboos, Tattoos, and T-Shirts:",Culture,N/A,N/A
ANTH 269,Anthropology of Sex,4,N/A,Purple
ANTH 280,Engaged Anthropology,3,N/A,Gold
Prerequisites: ANTH,"101, ANTH 230, or",instructor,N/A,N/A
ANTH 285,Special Topics,1-3,N/A,N/A
ANTH 290,Exploratory Studies,1-3,N/A,N/A
ANTH 290,Exploratory Studies,1-3,Consent,N/A
ANTH 300,Introduction to Anthropology Methods,4,N/A,N/A
ANTH 300,Introduction to Anthropology Methods,4,N/A,N/A
ANTH 311,Ancient Egypt,4,N/A,N/A
ANTH 323,Primate Behavior,4,N/A,N/A
Prerequisites: ANTH,101 or ANTH 220,or,N/A,N/A
ANTH 331,Environmental Anthropology,4,N/A,N/A
ANTH 332,Anthropology of Religion,4,N/A,Purple
ANTH 333,Ethnographic Film,3,N/A,N/A
ANTH 335,People and Cultures of Sub-Saharan Africa,4,N/A,N/A
ANTH 340,Language and Power,4,N/A,Purple
ANTH 360,Business Anthropology,4,N/A,N/A
ANTH 361,Foodways,4,N/A,Purple
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
ANTH 398,CPT: Co-Operative Experience,0,N/A,N/A
Prerequisites: At,least 60 credits earned; in good,standing;,N/A,N/A
ANTH 410,Archaeology of Minnesota,4,N/A,N/A
A detailed,study of Minnesota archaeology from ca.,"12,000",N/A,N/A
ago to,"ca 1900, with a focus on diverse and",changing,N/A,N/A
ANTH 411,Archaeology of Native North America,4,N/A,N/A
inhabitants of,"North America from ca. 15,000 years ago until",ca.,N/A,N/A
ANTH 412,Archaeology of Latin America,4,N/A,N/A
A detailed,study of Latin American archaeology from,ca.,N/A,N/A
years ago,"to ca.1900, with a focus on diverse and",changing,N/A,N/A
ANTH 414,Museology,4,N/A,N/A
ANTH 415,Cultural Resource Management,4,N/A,N/A
Prerequisites: ANTH,"101, ANTH 210",or,N/A,N/A
ANTH 416,Archeological Methods,4,N/A,N/A
ANTH 417,Quaternary Environments and Climatic Change,4,N/A,N/A
of humans.,This course has three segments: 1) an examination,of,N/A,N/A
distinct environments;,2) investigation into worldwide,evidence,N/A,N/A
Prerequisites: GEOG,"101, ANTH 210; Students are strongly",encouraged,N/A,N/A
take Geog,315 or 4/515 before enrolling. Geol 121 can be,substituted,N/A,N/A
Geog 101,with,instructor,N/A,N/A
ANTH 418,Agricultural Systems and Environmental,Change4,N/A,N/A
ANTH 420,Human Osteology,4,N/A,N/A
ANTH 421W,"Health, Culture, and Disease",4,N/A,N/A
ANTH 422,Forensic Anthropology,4,N/A,N/A
ANTH 422,Forensic Anthropology,4,N/A,N/A
ANTH 424,Bioarchaeology,4,N/A,N/A
ANTH 425W,Anthropology of Death,4,N/A,N/A
ANTH 430,Peoples and Cultures of Latin America,4,N/A,N/A
Prerequisites: ANTH,"101, ANTH 230,",or,N/A,N/A
ANTH 431,Applied Cultural Research,3,N/A,N/A
Prerequisites: ANTH,"101, ANTH 230, or consent; ETHN 100,",ETHN,N/A,N/A
or ETHN,150,or,N/A,N/A
ANTH 432,"Kinship, Marriage and Family",3,N/A,N/A
206 2024-2025,Undergraduate,Catalog,N/A,N/A
ANTH 433,Anthropology of Gender,4,N/A,N/A
Prerequisites: ANTH,"101, ANTH 230,",or,N/A,N/A
ANTH 436W,Anthropology of Aging,4,N/A,Purple
Prerequisites: ANTH,"101, ANTH 230, or ANTH 220,",or,N/A,N/A
ANTH 437,Applied Anthropology,4,N/A,N/A
Prerequisites: ANTH,"101, ANTH 230",or,N/A,N/A
ANTH 438W,Anthropological Theory,4,N/A,N/A
ANTH 439,Qualitative Research Methods,4,N/A,N/A
Prerequisites: ANTH,"101, ANTH 220",or,N/A,N/A
ANTH 440,Native American Cultures of North America,4,N/A,N/A
this cultural,diversity from the Ice Age to the,20th,N/A,N/A
ANTH 443W,People and Cultures of East Asia,4,N/A,N/A
ANTH 475,Senior Thesis,3,N/A,N/A
Students will,take ANTH 475 after completing ANTH 300.,The,N/A,N/A
Students will,take ANTH 475 after completing ANTH 300.,The,N/A,N/A
ANTH 480,Fieldwork: Archaeology/Ethnology,3-6,N/A,N/A
"Prerequisites: Consent,","or one of: ANTH 101, ANTH 102, or",ANTH,N/A,N/A
ANTH 485,Topics in Anthropology,1-3,N/A,N/A
ANTH 486,Workshop,1-3,Depends on topic and instructor,N/A
ANTH 491,Archaeology Laboratory,1-3,N/A,N/A
ANTH 492,Biological Anthropology Lab,1-3,Consent,N/A
ANTH 493,Ethnology Lab,1-3,Consent,N/A
ANTH 494,Linguistic Lab,1-3,N/A,N/A
ANTH 497,Internship,1-12,Consent,N/A
ANTH 498,Internship: Teaching Anthropology,1-3,N/A,N/A
ANTH 499,Individual Study,1-6,Consent,N/A
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
AOS 101,Preparing for Leadership Careers,3,N/A,N/A
AOS 301,Introduction to Applied Leadership,3,N/A,N/A
AOS 320,Applied Leadership Communication Workshop,3,N/A,N/A
AOS 380W,Applied Leadership Workshop 2,3,N/A,N/A
AOS 420,Applied Leadership & Decision Making,3,N/A,N/A
AOS 430,Global Social Entrepreneurship,3,N/A,N/A
AOS 440,Social Enterprise,3,N/A,N/A
AOS 488,Professional Studies Portfolio,2,N/A,N/A
AOS 488,Professional Studies Portfolio,2,N/A,N/A
AOS 492,Selected Topics,3,N/A,N/A
AOS 499,Individual Study,1-12,N/A,N/A
ART 100,Elements and Principles of Art,3,N/A,N/A
2-D visual,problem solving and art-making strategies,using,N/A,N/A
ART 101,Design Foundations,3,N/A,N/A
ART 103,Three-Dimensional Design,3,N/A,N/A
ART 110,Drawing Foundations,3,N/A,N/A
ART 160,Introduction to Visual Culture,3,N/A,Purple
ART 202,Introduction to Digital Media,3,N/A,N/A
ART 210,Drawing,3,N/A,N/A
ART 210,Drawing,3,N/A,N/A
ART 212,Life Drawing,3,N/A,N/A
ART 212,Life Drawing,3,N/A,N/A
ART 220,Graphic Design I,3,N/A,N/A
ART 220,Graphic Design I,3,N/A,N/A
208 2024-2025,Undergraduate,Catalog,N/A,N/A
ART 225,Developing Creativity: Approaches and,Techniques3,N/A,N/A
ART 225,offers art experiences with a focus on working,with,N/A,N/A
ART 231,Mixed Media,3,N/A,N/A
ART 240,Painting,3,N/A,N/A
Prerequisites: ART,"100 or ART 101, ART 110",or,N/A,N/A
ART 245,Watercolor,3,N/A,N/A
Prerequisites: ART,"100 or ART 101, ART 110",or,N/A,N/A
ART 250,Ceramics: Beginning Wheel,3,N/A,N/A
ART 251,Ceramics: Beginning Handbuilding,3,N/A,N/A
ART 260,Art History Survey I,3,N/A,Purple
ART 261,Art History Survey II,3,N/A,N/A
ART 265W,Art As Politics,3,N/A,N/A
ART 270,Printmaking: Beginning,Silkscreen,N/A,N/A
ART 270,Printmaking: Beginning,Silkscreen,N/A,N/A
ART 271,Printmaking: Beginning Intaglio/Relief,3,N/A,N/A
ART 275,Introduction to Photography,3,N/A,N/A
ART 280,Sculpture,3,N/A,N/A
Prerequisites: ART,103,or,N/A,N/A
ART 285,Introduction to Installation,3,N/A,N/A
Prerequisites: ART,103,or,N/A,N/A
ART 294,Topics,3,N/A,N/A
ART 302,Interaction Design,3,N/A,N/A
ART 302,Interaction Design,3,N/A,N/A
ART 304,Typography I,3,N/A,N/A
ART 304,Typography I,3,N/A,N/A
ART 310,Drawing,3,N/A,N/A
skills developed,in ART 110 and ART 210. Formal and,conceptual,N/A,N/A
skills developed,in ART 110 and ART 210. Formal and,conceptual,N/A,N/A
ART 320,Graphic Design II,3,N/A,N/A
Prerequisites: ART,"220, ART 302,",ART,N/A,N/A
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
ART 324,Concept and Image,3,N/A,N/A
Prerequisites: ART,"220, ART 302,",ART,N/A,N/A
ART 340,Painting,3,N/A,N/A
Must be,taken twice before advancing to ART 440. Pre:,ART,N/A,N/A
Prerequisites: ART,240,or,N/A,N/A
ART 350,Intermediate Ceramics,3,N/A,N/A
wheel. Must,be taken twice before advancing to,ART,N/A,N/A
Prerequisites: ART,250 or,ART,N/A,N/A
ART 370,Printmaking: Intermediate Studio,3,N/A,N/A
processes. Must,be taken twice before advancing to,ART,N/A,N/A
Prerequisites: ART,270 or,ART,N/A,N/A
ART 372,Digital Printmaking,3,N/A,N/A
Prerequisites: ART,"202,",ART,N/A,N/A
ART 375,Intermediate Black and White Photography,3,N/A,N/A
This intermediate,course builds on basic knowledge learned in,ART,N/A,N/A
cohesive series.,In rotation with,ART,N/A,N/A
cohesive series.,In rotation with,ART,N/A,N/A
ART 377,Intermediate Digital Photography,3,N/A,N/A
275. Topics,"covered include digital camera operations,",digital,N/A,N/A
"solving, and",creating a cohesive series. In rotation with ART,375.,N/A,N/A
"solving, and",creating a cohesive series. In rotation with ART,375.,N/A,N/A
ART 378,Experimental Video,3,N/A,N/A
ART 380,Sculpture,3,N/A,N/A
ART 385,Intermediate Installation,3,N/A,N/A
Must be,taken twice before advancing to,ART,N/A,N/A
Prerequisites: ART,285,or,N/A,N/A
ART 391,Portfolio Review,0,N/A,N/A
Required of,all B.F.A. majors before taking 4XX,advanced,N/A,N/A
Required of,all B.F.A. majors before taking 4XX,advanced,N/A,N/A
ART 392,Portfolio Review: Graphic Design,0,N/A,N/A
taking 4XX,advanced design sequence courses to continue,in,N/A,N/A
Prerequisites: ART,"220, ART 302,",ART,N/A,N/A
ART 400,Graphic Design Special Topics,3-6,N/A,N/A
ART 400,Graphic Design Special Topics,3-6,N/A,N/A
ART 402,Motion Graphics,3,N/A,N/A
ART 402,Motion Graphics,3,N/A,N/A
ART 404,Typography II,3,N/A,N/A
Prerequisites: ART,"220, ART 302,",ART,N/A,N/A
ART 405,Self-Initiated Design Workshop,3,N/A,N/A
ART 405,Self-Initiated Design Workshop,3,N/A,N/A
ART 406,Web Design I,3,N/A,N/A
Prerequisites: ART,"220, ART 302,",ART,N/A,N/A
210 2024-2025,Undergraduate,Catalog,N/A,N/A
ART 410,Drawing Workshop,3-6,N/A,N/A
ART 410,Drawing Workshop,3-6,N/A,N/A
ART 417,Medieval Art and Architecture,3,N/A,N/A
Prerequisites: ART,260,or,N/A,N/A
ART 419,Gender in Art,3,N/A,N/A
Prerequisites: ART,261,or,N/A,N/A
ART 420,Graphic Design III,3-6,N/A,N/A
Prerequisites: ART,"320, ART 404,",ART,N/A,N/A
ART 421,Art Methods Elementary School,3,N/A,N/A
Prerequisites: ART,"100 or ART 101, Jr. status",or,N/A,N/A
ART 424,Art Education for the Exceptional Child,3,N/A,N/A
ART 424,Art Education for the Exceptional Child,3,N/A,N/A
ART 426,Art Methods Secondary School,3,N/A,N/A
ART 426,Art Methods Secondary School,3,N/A,N/A
ART 434,Arts Administration,3,N/A,N/A
ART 436,Web Design II,3,N/A,N/A
Prerequisites: ART,"392,",ART,N/A,N/A
ART 440,Painting,3-6,N/A,N/A
ART 440,Painting,3-6,N/A,N/A
ART 444,Typography III,3,N/A,N/A
Prerequisites: ART,"392,",ART,N/A,N/A
ART 450,Advanced Ceramics,3-6,N/A,N/A
ART 450,Advanced Ceramics,3-6,N/A,N/A
ART 460,Ancient Art,3,N/A,N/A
Prerequisites: ART,260,or,N/A,N/A
ART 462,Renaissance Art,3,N/A,N/A
Prerequisites: ART,261,or,N/A,N/A
ART 463,Mannerism to Romanticism,3,N/A,N/A
Prerequisites: ART,"392,",ART,N/A,N/A
ART 464,Art Museum and Exhibition Studies,3,N/A,N/A
Prerequisites: ART,"260,",ART,N/A,N/A
ART 466,Realism to Postmodernism,3,N/A,N/A
Prerequisites: ART,261,or,N/A,N/A
ART 467,Art of the Islamic World,3,N/A,Purple
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
ART 468,Design: History and Theory,3,N/A,N/A
ART 469,Asian Art,3,N/A,N/A
Japan from,pre-history to the 20th century. Diverse,Cultures:,N/A,N/A
Prerequisites: ART,"260, ART 261",or,N/A,N/A
ART 470,Printmaking: Advanced Studio,3-6,N/A,N/A
ART 470,Printmaking: Advanced Studio,3-6,N/A,N/A
ART 475,Advanced Photography Studio,3-6,N/A,N/A
Corequisites: Two,300-level photography courses,are,N/A,N/A
ART 477W,Roots of Modern Islamic Art,3,N/A,N/A
since the,19th century. Diverse,Cultures:,N/A,N/A
ART 480,Sculpture,3-6,N/A,N/A
ART 480,Sculpture,3-6,N/A,N/A
ART 485,Advanced Installation,3-6,N/A,N/A
Prerequisites: ART,385,or,N/A,N/A
ART 492,Art History Seminar,1-6,Consent,N/A
ART 494,Topics,3,N/A,N/A
ART 495,Senior Exhibit,0-1,Consent,N/A
ART 496,Art History Senior Thesis,1,Consent of advisor,N/A
ART 497,Internship,1-6,Jr. standing with consent of advisor and department chair.,N/A
ART 499,Individual Study,1-6,Consent,N/A
AST 101,Introduction to Astronomy,3,N/A,N/A
AST 102,Introduction to the Planets,3,N/A,N/A
AST 115,Life in the Universe,2,N/A,N/A
General Education,Categories 2,and,N/A,N/A
AST 115W,Life in the Universe,2,N/A,N/A
AST 125,Observational Astronomy,3,N/A,N/A
AST 125,Observational Astronomy,3,N/A,N/A
AST 201,Spherical Astronomy,2,N/A,N/A
AST 215,Astronomy and Astrophysics I,4,N/A,N/A
Prerequisites: MATH,121 and,PHYS,N/A,N/A
212 2024-2025,Undergraduate,Catalog,N/A,N/A
AST 225,Astronomy and Astrophysics II,4,N/A,N/A
Prerequisites: AST,"215, MATH 122,",PHYS,N/A,N/A
AST 351,Telescope Operations,2,N/A,N/A
Operating the,0.5-meter telescope; operating the BRC,250,N/A,N/A
Prerequisites: AST,201 and AST,"215,",N/A,N/A
AST 353,Photometry I,2,N/A,N/A
AST 353,Photometry I,2,N/A,N/A
AST 354,Photometry II,2,N/A,N/A
AST 354,Photometry II,2,N/A,N/A
AST 355,Astrometry,2,N/A,N/A
Prerequisites: AST,201 and,AST,N/A,N/A
AST 357,Spectroscopy,2,N/A,N/A
AST 357,Spectroscopy,2,N/A,N/A
AST 493,Undergraduate Research,1-6,Consent,N/A
AST 495,Selected Topics,1-4,Consent,N/A
AST 499,Individual Study,1-8,Consent,N/A
AE 102,Introduction to Automotive Engineering,1,N/A,N/A
AE 160,Automotive Systems,4,N/A,N/A
AE 261,Automotive Driveability & Diagnosis,4,N/A,N/A
AE 262,Automotive Computers and Electronics,4,N/A,N/A
Prerequisites: EET,"113, AE 160,",AE,N/A,N/A
AE 280,Data Acquisition and Analysis,3,N/A,N/A
Prerequisites: EET,"113,",MATH,N/A,N/A
AE 334,Fluid Power,3,N/A,N/A
Prerequisites: MATH,"121,",PHYS,N/A,N/A
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
AE 364,Chassis Design and Testing,4,N/A,N/A
Prerequisites: MATH,"121,",PHYS,N/A,N/A
AE 366,Automotive Thermodynamics & Engine Design,3,N/A,N/A
Prerequisites: MATH,"121, PHYS 221. Select One Course: CHEM",191,N/A,N/A
Prerequisites: MATH,"121, PHYS 221. Select One Course: CHEM",191,N/A,N/A
AE 387,Junior Design Project,2,N/A,N/A
student for,"AE 488, Senior Design Project I, where the",design,N/A,N/A
student for,"AE 488, Senior Design Project I, where the",design,N/A,N/A
AE 436,Hybrid and Electric Vehicles,3,N/A,N/A
Prerequisites: AE,"280,",AE,N/A,N/A
AE 465,Automotive Laboratory Experience,2,N/A,N/A
AE 465,Automotive Laboratory Experience,2,N/A,N/A
AE 468,Automotive Research Methods,4,N/A,N/A
Prerequisites: STAT,"354,",AE,N/A,N/A
AE 488W,Senior Design Project I,3,N/A,N/A
Corequisites of,MFE 324 and,AE,N/A,N/A
Prerequisites: MFE,"341, AE 364,",AE,N/A,N/A
AE 489W,Senior Design Project II,3,N/A,N/A
Prerequisites: MFE,"324, AE 468,",AE,N/A,N/A
AET 102,Introduction to,Automotive,N/A,N/A
AET 102,Introduction to,Automotive,N/A,N/A
AET 160,Automotive Technology & Systems,4,N/A,N/A
AET 261,Automotive Driveability and Diagnosis,4,N/A,N/A
AET 262,Automotive Computers and Electronics,4,N/A,N/A
Prerequisites: AET,"160, AET 261,",EET,N/A,N/A
AET 280,Data Acquisition and Analysis,3,N/A,N/A
Prerequisites: EET,"113,",MATH,N/A,N/A
AET 334,Fluid Power,3,N/A,N/A
Prerequisites: MATH,"121,",PHYS,N/A,N/A
AET 364,Chassis Design and Performance Testing,4,N/A,N/A
Prerequisites: MATH,"121,",PHYS,N/A,N/A
214 2024-2025,Undergraduate,Catalog,N/A,N/A
AET 366,Automotive Thermodynamics and Engine Design,3,N/A,N/A
Prerequisites: CHEM,"104, MATH 121,",PHYS,N/A,N/A
AET 387,Junior Design Project,3,N/A,N/A
"488, Senior","Design Project I, where the design proposal,",design,N/A,N/A
Prerequisites: ENG,"271W,",STAT,N/A,N/A
AET 398,CPT: Co-Operative Experience,0,N/A,N/A
Prerequisites: AET,102. At least 60 credits earned; in,good,N/A,N/A
AET 435,Automotive Design and Construction,1-4,Permission Required,N/A
AET 436,Hybrid and Electric Vehicles,3,N/A,N/A
Prerequisites: AET,"280,",AET,N/A,N/A
AET 465,Automotive Laboratory Experience,2,N/A,N/A
Prerequisites: AET,"364,",Permission,N/A,N/A
AET 468,Automotive Research Methods,4,N/A,N/A
Prerequisites: AET,"366, PHYS 211,",STAT,N/A,N/A
AET 488W,Senior Design Project I,3,N/A,N/A
Prerequisites: MET,"341, AET 364,",AET,N/A,N/A
Corequisites: MET,"324,",AET,N/A,N/A
AET 489W,Senior Design Project II,3,N/A,N/A
Prerequisites: AET,"468, AET 488W,",MET,N/A,N/A
AET 492,Automotive Seminar,1-4,Permission required,N/A
AET 497,Internship: Automotive,1-10,N/A,N/A
Prerequisites: 40,earned credits,in,N/A,N/A
AET 499,Individual Study,1-4,Permission required,N/A
AVIA 100,Aviation Program Orientation,1,N/A,N/A
AVIA 101,World of Aviation,3,N/A,N/A
AVIA 102,Aviation Terminology,3,N/A,N/A
AVIA 150,Private Pilot,3,N/A,N/A
14 CFR,61.105. Satisfactory completion of this course may result,in,N/A,N/A
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
AVIA 151,Private Pilot Flight Lab,2,N/A,N/A
AVIA 152,Private Pilot Helicopter Flight Lab,3,N/A,N/A
AVIA 153,Private Pilot Flight Lab II,1,N/A,N/A
"AVIA 153,","Private Pilot Flight Lab II, continues the flight",lab,N/A,N/A
developed in,AVIA 151. The training flights continue the,building,N/A,N/A
AVIA 160,Introduction to UAS,3,N/A,N/A
AVIA 171,Multi-Engine Flight Lab,1,N/A,N/A
Prerequisites: AVIA,"151,",or,N/A,N/A
AVIA 201,Theory of Flight,3,N/A,N/A
Prerequisites: PHYS,"101, MATH 112. Select 1 course: AVIA 150",or,N/A,N/A
AVIA 202,Principles of Air Navigation,3,N/A,N/A
AVIA 202,Principles of Air Navigation,3,N/A,N/A
AVIA 240,Instrument Pilot,3,N/A,N/A
"course meets,","but is not limited to, FAR part 61.65 (b,",1-4).,N/A,N/A
Prerequisites: AVIA,"150,",or,N/A,N/A
AVIA 241,Instrument Pilot Flight Lab,2,N/A,N/A
AVIA 242,Instrument Pilot Helicopter Flight Lab,3,N/A,N/A
AVIA 242,Instrument Pilot Helicopter Flight Lab,3,N/A,N/A
AVIA 243,Instrument Pilot Flight Lab II,1,N/A,N/A
"AVIA 243,","Instrument Pilot Flight Lab II, continues the",flight,N/A,N/A
developed in,AVIA 241. The training flights continue the,building,N/A,N/A
AVIA 250,Commercial Pilot,3,N/A,N/A
emergencies. The,"course meets, but is not limited to 14",CFR,N/A,N/A
Prerequisites: AVIA,"153,",AVIA,N/A,N/A
AVIA 251,Commercial Pilot Flight Lab,2,N/A,N/A
AVIA 252,Commercial Pilot Helicopter Flight Lab,3,N/A,N/A
Prerequisites: AVIA,"152,",AVIA,N/A,N/A
AVIA 253,Commercial Pilot Flight Lab II,2,N/A,N/A
"AVIA 253,","Commercial Pilot Flight Lab II, continues the",flight,N/A,N/A
AVIA 270,Helicopter Pilot,3,N/A,N/A
Study of,Helicopter theory to meet FAA part,141,N/A,N/A
Prerequisites: AVIA,"150, AVIA 250,",AVIA,N/A,N/A
AVIA 275,Helicopter Flight Theory,3,N/A,N/A
AVIA 300,Advanced Studies Orientation,1,N/A,N/A
Prerequisites: ENG,271W or,ENG,N/A,N/A
216 2024-2025,Undergraduate,Catalog,N/A,N/A
AVIA 305,Aviation Professional Communications,1,N/A,N/A
AVIA 306,Intercollegiate Flight Team,1,N/A,N/A
4 credits,can,be,N/A,N/A
AVIA 333,Airline Operations,3,N/A,N/A
AVIA 334,Aviation Management,3,N/A,N/A
AVIA 336,Basic Aircraft Systems,3,N/A,N/A
AVIA 337,Avionics,3,N/A,N/A
AVIA 338,Advanced Aircraft Systems,3,N/A,N/A
AVIA 338,Advanced Aircraft Systems,3,N/A,N/A
AVIA 339,Aerospace Propulsion,3,N/A,N/A
AVIA 340,Flight Operations,3,N/A,N/A
of airline,operations as they experience an FAA Part 121,style,N/A,N/A
of airline,operations as they experience an FAA Part 121,style,N/A,N/A
AVIA 343,Airport Management,3,N/A,N/A
AVIA 344,Airport Operations,3,N/A,N/A
Part 139.,"Airport Surfaces, Marking, Signs,","Lighting,",N/A,N/A
"Ground Vehicles,","NAVAIDs, ATC, Part 77, Hazardous","Materials,",N/A,N/A
AVIA 360,Flight Instructor,3,N/A,N/A
limited to,14 CFR 61.185(a). Satisfactory completion of this,course,N/A,N/A
Prerequisites: AVIA,"243,",AVIA,N/A,N/A
AVIA 364,Flight Instructor Flight Lab,3,N/A,N/A
AVIA 365,UAS Sensors,3,N/A,N/A
AVIA 365,UAS Sensors,3,N/A,N/A
AVIA 370,Confidence Maneuver Training flight lab,3,N/A,N/A
and Recovery,Training (UPRT) per ICAO SARP Annex,"1,",N/A,N/A
2.4.3.2.2 and,the FAA AFH. This course is designed to,build,N/A,N/A
consists of,"three or four flights, approximately 0.7 to 1.0 hours","each,",N/A,N/A
consists of,"three or four flights, approximately 0.7 to 1.0 hours","each,",N/A,N/A
AVIA 375,UAS Telemetry and Communication,3,N/A,N/A
AVIA 375,UAS Telemetry and Communication,3,N/A,N/A
AVIA 383,Flight Instructor Helicopter Flight Lab,1,N/A,N/A
AVIA 383,Flight Instructor Helicopter Flight Lab,1,N/A,N/A
www.mnsu.edu 2024-2025,Undergraduate,Catalog,N/A,N/A
