Course ID,Course Name,Credit Count,Prerequisites,Diversity Group,General Education Goal,Course Description
CS 465,Topics in Graphics & Visualization,2,Admission to major or permission.,,,", CS 470, CS 480, or CS 485) CS 492W The second in a two-semester sequence of capstone design and the fourth project class overall. Students build on the experience gained in CS 391W/392W to bring their research or project implementation and leadership to that expected of contributing computer scientists in industry or research. Expectations include public presentation of project work, patent applications, and/or plan for commercialization of project. Course must be taken concurrently with CS 495. 420, CS 435, CS 440, CS 445, CS 450, CS 465, CS 470, CS 480, or CS 485)"
CS 470,Topics in Human Computer Interaction,2,Admission to major or permission.,,,", CS 480, or CS 485) CS 492W The second in a two-semester sequence of capstone design and the fourth project class overall. Students build on the experience gained in CS 391W/392W to bring their research or project implementation and leadership to that expected of contributing computer scientists in industry or research. Expectations include public presentation of project work, patent applications, and/or plan for commercialization of project. Course must be taken concurrently with CS 495. 420, CS 435, CS 440, CS 445, CS 450, CS 465, CS 470, CS 480, or CS 485)"
CS 480,Topics in Software Engineering,2,Admission to major or permission.,,,", or CS 485) CS 492W The second in a two-semester sequence of capstone design and the fourth project class overall. Students build on the experience gained in CS 391W/392W to bring their research or project implementation and leadership to that expected of contributing computer scientists in industry or research. Expectations include public presentation of project work, patent applications, and/or plan for commercialization of project. Course must be taken concurrently with CS 495. 420, CS 435, CS 440, CS 445, CS 450, CS 465, CS 470, CS 480, or CS 485)"
CS 485,Topics in Platform-Based Development,2,Senior standing and successful completion of all core,,,") CS 492W The second in a two-semester sequence of capstone design and the fourth project class overall. Students build on the experience gained in CS 391W/392W to bring their research or project implementation and leadership to that expected of contributing computer scientists in industry or research. Expectations include public presentation of project work, patent applications, and/or plan for commercialization of project. Course must be taken concurrently with CS 495. 420, CS 435, CS 440, CS 445, CS 450, CS 465, CS 470, CS 480, or CS 485)"
DHYG 311,Preclinical Orientation,3,,,,through the use of advanced case studies. Emphasis will be placed on evidence-based decision making. Also designed to collaborate with clinic needs as identified in DHYG 331.
DHYG 331,Clinical Dental Hygiene I,2,,,,2 credits
ECON 201,Principles of Macroeconomics,3,,,,"and/or ECON 202, or equivalent. ECON 103W The Economics of Women’s Issues and Public Policy in the United This course will examine the gendered nature of public policy using standard microeconomic tools. It examines the impact of public policy on employment discrimination, reproductive rights, and sexual orientation."
ECON 202,Principles of Microeconomics,3,,,,", or equivalent. ECON 103W The Economics of Women’s Issues and Public Policy in the United This course will examine the gendered nature of public policy using standard microeconomic tools. It examines the impact of public policy on employment discrimination, reproductive rights, and sexual orientation."
EE 230,Circuit Analysis I,3,"PHYS 222 or concurrent, MATH 321 or concurrent",,,". Use of laboratory instrumentation to measure currents and voltages associated with DC and AC circuits. Statistical analysis of measurement data. Measurements of series, parallel and series-parallel DC and AC circuits. Measurement of properties for circuits using operational amplifiers. Measurement of transient responses for R-L and R-C circuits. Simulation of DC and AC circuits using PSPICE. Concepts covered in EE 230 will be verified in the laboratory. Pre-req: Must be taken concurrently with EE 230. EE 241 Electric Circuits Lab 1 credit This is the lab associated with EE231 class giving students hands on experience of building and testing AC circuits Corequisites: EE 230"
EE 231,Circuit Analysis II,3,"EE 230 and EE 240, MATH 321, PHYS 222",,,"and EE 244. Experimental evaluation of AC and transient circuits, digital logic devices including logic gates, flip flops, and sequential machines."
EE 244,Introduction to Digital Systems,2,,,,". Use of laboratory instrumentation to measure characteristics of various logic circuits and digital subsystems. Experimental evaluation of digital logic devices and circuits including logic gates, flip-flops, and sequential machines. EE 254 Digital and Circuits Lab 1 credit Laboratory support for EE 231 and EE 244. Experimental evaluation of AC and transient circuits, digital logic devices including logic gates, flip flops, and sequential machines."
EE 332,Electronics I,3,EE 231,,,". The lab covers the experimental measurement and evaluation of diode, BJT, and MOS characteristics; various feedback topologies; oscillator and op-amp circuits; and rectifiers and filter circuitry. EE 343 Electronics II Laboratory 1 credit This course will accompany EE 333 course dealing with laboratory experience of designing, evaluating and simulation of source and emitter coupled logic circuits, output stages and power amplifiers, negative feedback amplifiers, oscillator circuits, Multivibrators, Schmidt Trigger, 555 timer application to Multivibrators, Memory circuits, CMOS logic circuits, signal generating and waveform shaping circuits. EE 344 Microprocessor II Laboratory 1 credit Laboratory support for EE 334. Use of development boards and C programming language to handle I/O devices, interrupts, and all peripheral functions. Multiple functions such as timers, A/D converters, I/O devices, interrupts, and serial modules will be used together to perform desired operations."
EE 333,Electronics II,3,EE 332,,,"course dealing with laboratory experience of designing, evaluating and simulation of source and emitter coupled logic circuits, output stages and power amplifiers, negative feedback amplifiers, oscillator circuits, Multivibrators, Schmidt Trigger, 555 timer application to Multivibrators, Memory circuits, CMOS logic circuits, signal generating and waveform shaping circuits. EE 344 Microprocessor II Laboratory 1 credit Laboratory support for EE 334. Use of development boards and C programming language to handle I/O devices, interrupts, and all peripheral functions. Multiple functions such as timers, A/D converters, I/O devices, interrupts, and serial modules will be used together to perform desired operations."
EE 334,Microprocessor Engineering II,3,EE 336,,,". Use of development boards and C programming language to handle I/O devices, interrupts, and all peripheral functions. Multiple functions such as timers, A/D converters, I/O devices, interrupts, and serial modules will be used together to perform desired operations."
EE 350,Engineering Electromagnetics,3,"EE 231, MATH 223, MATH 321 and PHYS 222",,,", EE 395"
EE 353,Communication Systems Engineering,3,"EE 341, MATH 223",,,". Select One Course: EE 350, EE 395"
EE 390,Smart Sensor Systems,3,EE334 & EE344,,,". Select One Course: EE 334, EE 353. Select One Course: EE 350, EE 395"
EE 395,Computer Hardware and Organization,3,"EE 234, EE 235, EE 281",,,3 credits
EE 358,Control Systems,3,EE 341 and concurrent with EE 358,,,". Techniques for the analysis of continuous and discrete systems are developed. These techniques include pole placement, state estimation, and optimal control."
EE 472,Digital Signal Processing,3,EE 341,,,3 credits
EE 484,VLSI Design,3,EE 333,,,". The laboratory covers the basics of layout rules, chip floor planning, the structure of standard cells and hierarchical design, parasitic elements, routing, and loading. Students will learn to design and layout standard cells as well as how to use these cells to produce complex circuits. The laboratory culminates with the individual design and layout of a circuit."
MATH 112,College Algebra,4,"Satisfy Placement Table in this section, or MATH 098 with",,,or 115 may be taken concurrently.
MATH 113,Trigonometry,3,"Satisfy Placement Table in this section, or MATH 112 with",,,or 115 must be taken concurrently.
EET 113,DC Circuits,3,MATH 112 or MATH 115,,,"E 160, AE 261"
EET 114,AC Circuits,3,MATH 113 or MATH 115 may be taken concurrently.,,,or concurrent
MATH 180,Mathematics for Computer Science,4,"MATH 112 or equivalent, with “C” (2.0) or better, or consent",,,
EET 430,Computer Networking I,4,"MATH 180, EET 384",,,". Router configurations, advanced LAN topologies, network configurations, protocols, and switching designs. Network troubleshooting and threaded case studies."
STAT 221,Applied Probability and Statistics for Engineers,3,MATH 112 with grade of “C” (2.0) or better,,,". Corequisites: STAT 221 EET 458 Advanced Instrumentation 1 credit Experiences with electronic equipment and instrumentation including maintenance, repair, calibration, safety and component identification."
MATH 321,Ordinary Differential Equations,4,MATH 122 with “C” (2.0) or better or consent,,,"ENGR 241 Linear Circuit Analysis and Design Laboratory 1 credit This course explores the experimental aspects of Linear Circuit Analysis and Design. Experiments will familiarize students with electrical laboratory equipment. Concepts discussed in ENGR 240 will be verified. Circuit theory will be applied in design experiences. Admitted to an Integrated Engineering program. ENGR 276 Technical Communication for Integrated credit up (spoken, written, visual) addressed. Credits apply only to program communication requirements. ENGR 277 Research Writing for Engineers 1 credit Engineers use writing to organize their understanding of technical ideas, prepare for research activity, and disseminate knowledge generated through research. Students will develop a research proposal, a research paper for submission to a conference or journal, or a background literature review summarizing multiple resources. Can be repeated for credit with different topics and/or different writing types. Credits apply only to program communication requirements. ENGR 293 MAX Scholar Seminar 1 credit This class provides MAX scholars with an opportunity to explore a set of topics related to achieving success in academic, professional and personal realms. Speakers will include faculty, graduate students, visiting researchers and industry members as well as student participants."
ENGR 301,Design I,3,,,,/302 to bring their implementation to that expected of contributing engineers in industry.
ETHN 150,Multi-Cultural/Ethnic Experience,3,,Gold,,"or consent ETHN 402W This is a comprehensive course, which introduces students to qualitative, quantitative and evaluation social research methods. It provides students with hands-on experience of collecting and analyzing data, from any given diverse ethnic community through participant observation and needs assessment."
ETHN 100,American Racial Minorities,3,,Purple,,or ETHN 101.
ETHN 101,Introduction to Multicultural & Ethnic Studies,3,,Purple,,
FINA 362,Business Finance,3,ACCT 200,,,"(Business Finance) and wish to apply the introductory finance concepts and theories to practical problems in corporate finance and valuation. In particular, the course will use Microsoft Excel to cover topics such as time value of money, stock and bond valuation, cost of capital, capital budgeting, financial statement and ratio analysis, and option pricing and strategies."
FINA 460,Investments,3,FINA 362,,,FINA 470. Select FINA 100 or
GEOG 101,Introductory Physical Geography,4,,,,with instructor permission.
GEOG 315,Geomorphology,4,,,,before enrolling. GEOL 121 can be substituted for GEOG 101 with instructor permission.
GEOL 121,Physical Geology,4,,,,can be substituted for GEOG 101 with instructor permission.
SOC 420,Identity Work in Women’s Reentry Experiences,4,,Gold,,. Credit allowed for only one of these courses.
HLTH 260,Introduction to Applied Health Science,3,,,,"with instructor permission. HLTH 361W Health Communication and Advocacy focuses upon the development of communication and advocacy skills for the health educator. Identifying credible sources, communicating public health information, health media campaigns, health advocacy; written and verbal communication skills emphasized."
MATH 110,Perspectives in Mathematics,3,Three years high school algebra/geometry or MATH 098,,,other mathematics course
HLTH 454,Chronic and Infectious Diseases,3,,,,", HLTH 460, HLTH 480, HLTH 482W"
HLTH 460,Introduction to Epidemiology,3,,,,", HLTH 480, HLTH 482W"
HP 113,Introduction to Bowling,1,,,,Introduction to Bowling 1 credit Develop basic knowledge and appreciation through participation in the sport of bowling. HP 114 Introduction to Billiards 1 credit Develop basic knowledge and appreciation for the sport of billiards. HP 117 Aerobic Conditioning 1 credit Theory and practice of aerobic conditioning. HP 130 Self-Defense for Women 1 credit Includes street fighting techniques and personal safety tips.
HP 486,Small Group Personal Training,3,"HP 363, HP 466",,,", participants will enhance their physical fitness and overall wellness. HP 103 Fitness for Living 1 credit Concepts and development of lifelong healthy exercise and nutritional habits. HP 105 Beginner Swimming 1 credit Introduction to basic swimming skills; basic rescue and water safety skills and techniques; stroke instruction in front crawl, back crawl, elementary backstroke, breaststroke, and sidestroke. HP 106 Disc Golf 1 credit Develop basic knowledge and appreciation through participation in the activity of disc golf. HP 113 Introduction to Bowling 1 credit Develop basic knowledge and appreciation through participation in the sport of bowling. HP 114 Introduction to Billiards 1 credit Develop basic knowledge and appreciation for the sport of billiards. HP 117 Aerobic Conditioning 1 credit Theory and practice of aerobic conditioning. HP 130 Self-Defense for Women 1 credit Includes street fighting techniques and personal safety tips."
HP 146,Intercollegiate Bowling,1,,,,"Intercollegiate Bowling 1 credit HP 147 Intercollegiate Cross Country 1 credit Open for credit to those on the intercollegiate team. HP 148 Intercollegiate Softball 1 credit Open for credit only for those students who make the Minnesota State University, Mankato, team and who complete the requirements. HP 149 Intercollegiate Volleyball 1 credit Open for credit only for those students who make the Minnesota State University, Mankato, team and who complete the requirements. HP 150 Intercollegiate Wrestling 1 credit Open for credit to those who make the wrestling team and complete the requirements. HP 152 Intercollegiate Track and Field 1 credit Open for credit to those who make the team and complete the requirements. HP 153 Intercollegiate Swimming 1 credit Open for credit only for those students who make the Minnesota State University, Mankato, team and who complete the requirements. HP 154 Intercollegiate Football 1 credit Open for credit only for those students who make the Minnesota State University, Mankato, team and who complete the requirements. HP 155 Intercollegiate Basketball 1 credit Must be on intercollegiate roster. HP 156 Intercollegiate Baseball 1 credit Class for only students on the intercollegiate baseball team. Need permission to register. HP 157 Intercollegiate Golf 1 credit Open for credit to those who make the team and complete the requirements. HP 158 Intercollegiate Tennis 1 credit Open for credit to those who make the team and complete the requirements. HP 159 Intercollegiate Hockey 1 credit This course is admission by permission only. The course is limited to male students who are members of the Minnesota State University, Mankato, intercollegiate hockey team. HP 161 Intercollegiate Soccer 1 credit Participation in NCAA II soccer. HP 166 Team Game Skills 1 credit Flag/Touch Football, Softball (fast and slow pitch), Soccer, Speedball, Ultimate, Volleyball, Basketball, Team handball."
HP 295,Fundamentals of Physical Education Activities,3,Softball experience or consent.,,,"HP 245 Intermediate Swimming 1 credit Advanced strokes: butterfly, overarm sidestroke, trudgeon, inverted breaststroke. Competitive strokes and turns. Springboard diving. Aquatic Art. Mask and snorkel skills. Safety/rescue skills. Water exercise. Water polo. Spring breaststroke."
HP 201,Introduction to Teaching Physical Education,3,"Front crawl, back crawl, elementary backstroke, sidestroke,",,,". HP 301 Swimming Theory 1 credit Methods, procedures, and philosophy of coaching competitive swimming. HP 302 Wrestling Theory 1 credit Methods and procedures used in coaching. HP 303 Volleyball Theory 1 credit Methods and procedures used in coaching volleyball. HP 304 Track & Field Theory 1 credit Methods and procedures used in coaching. HP 305 Baseball Theory 1 credit Methods and procedures used in coaching baseball. HP 306 Football Theory 1 credit Course designed to teach the various techniques and philosophies of the game of football for prospective coaches. Open enrollment-male or female. HP 307 Cheerleading Theory 1 credit The course is designed to help coaches learn how to teach the technical and tactical skills of youth cheerleading. HP 308 Hockey Coaching Theory 1 credit The course is designed for those interested in coaching hockey at the youth and high school level. HP 309 Basketball Coaching Theory 1 credit Methods and procedures used in coaching. HP 310 Softball Theory 1 credit Methods and procedures used in coaching. HP 311 Cross Country Theory 1 credit Methods and procedures used in coaching. HP 312 Lacrosse Theory 1 credit The course designed to help coaches learn how to teach the technical and tactical skills of youth lacrosse."
HP 340,Prevention and Care,2,HLTH 210,,,2 credits
HP 496,Internship,10-Jan,"HP 414, HP 466",,,
KSP 222,Introduction to the Learner and Learning,2,,,,and 220W). Meets State of Minnesota human relations requirement for teacher licensure.
KSP 476,K-12 Student Teaching,11,Admission to student teaching.,,,11 credits
KSP 477,5-12 Student Teaching,11,admission to student teaching.,,,or KSP 476
MATH 098,Intermediate Algebra,4,,,,4 credits
MATH 201,Elements of Mathematics I,3,"Satisfy Placement Table in this section, or Grade of P in",,,", including rational and real number systems, informal geometry and measurement, statistics, and probability."
MATH 280,Discrete Mathematics for Computer Science I,4,MATH 121 with “C” (2.0) or better or consent.,,,". The major focus of the course is understanding and analyzing algorithms, including proving that algorithms perform correctly. Topics include modular arithmetic, counting problems, sorting algorithms and constructions on graphs. This course is not intended for students pursuing a major degree in mathematics."
MATH 345,Abstract Algebra I,4,MATH 290 with “C” (2.0) or better or consent,,,". The course will include topics from groups, rings, and fields."
STAT 455,Theory of Statistics I,4,MATH 223 with “C” (2.0) or better or consent,,,
STAT 456,Theory of Statistics II,4,"MATH 455, STAT 455 with “C” (2.0) or better or consent",,,
MATH 223,(4.00) Calculus III,4,"MATH 122 with “C” (2.0) or better, or consent",,,and PHYS 222
MATH 470,Numerical Analysis I,4,"MATH 122, MATH 247 with “C” (2.0) or better or consent",,,". Topics included are the algebraic eigenvalue problem, least squares approximation, solutions of systems of nonlinear equations, numerical solutions of ordinary differential equations. consent"
HIST 180,European History to 1648,4,,,,is beneficial.
MATH 375,Introduction to Discrete Mathematics (4 (credits)),credits),MATH 247 and MATH 290 with grade of “C” (2.0) or higher.,,,"and senior standing (or permission of the instructor). Course can also be taken independent study with permission of a cooperating faculty member. MATH 492W This course is designed to allow undergraduate students an opportunity to integrate their undergraduate mathematics experiences by engaging each student in working on a problem in applied or theoretical mathematics. In doing so, students will see connections between the various topics found in the undergraduate mathematics curriculum. Content will vary by semester. An important component of this course will be the preparation and presentation of a research paper describing the student’s progress toward a solution of the problem under consideration. Problems will arise from the course content and materials as presented by the instructor. Because of the breadth of mathematical topics needed for successful completion of the course, students need to have senior standing. MATH 375 and senior standing (or permission of the instructor). Course can also be taken independent study with permission of a cooperating faculty member."
ME 324,Heat Transfer,3,"ME 241, ME 321",,,", ME 417 Fall"
ME 417,Design of Machine Elements,3,"ME 214, ME 223",,,Fall
ME 428,Design Project I,3,"ME 324, ME 329, ME 333, ME 336, ME 341, ME 417",,,"ME 494 Global Experience in Engineering and Technology 1 credit This class provides students pursuing a minor in “Global Solutions in Engineering and Technology” with an opportunity to explore a set of topics related to achieving success in advance of and following an international experience (internship, study abroad, etc.). Speakers will include faculty, graduate students, visiting researchers and industry members as well as student participants. Returning students will be required to participate in mentoring of students preparing for their international experience and provide written and/or oral presentations of various topics during the semester. This course is required both before and after participation in the international experience (min. 2 cr.)"
MSL 201,Leadership & Decision Making II,2,,,,", MSL 202, MSL 299, MSL 301, MSL 302, MSL 401, MSL 402, MSL 499"
MSL 202,Army Doctrine & Team Development,2,,,,", MSL 299, MSL 301, MSL 302, MSL 401, MSL 402, MSL 499"
MSL 299,Individual Study,8-Jan,,,,", MSL 301, MSL 302, MSL 401, MSL 402, MSL 499"
MSL 301,Training Management & the Warfighting Function,3,,,,", MSL 302, MSL 401, MSL 402, MSL 499"
MSL 302,Applied Leadership in Small Unit Operations,3,MSL 301,,,", MSL 401, MSL 402, MSL 499"
MSL 401,The Army Officer	,3,"MSL 301, MSL 302",,,", MSL 402, MSL 499"
MSL 402,Company Grade Leadership,3,MSL 210,,,", MSL 499"
MSL 499,Individual Study,8-Jan,,,,
MRKT 341,Supply Chain Management,3,MRKT 210,,,3 credits
MUSC 119,Class Piano I,3,,,,"Class Piano 1. Mastery of skills (technique, scales and chord progressions, solo playing, and ensemble playing) are demonstrated over the semester."
NPL 273,Introduction to the Nonprofit Sector,3,,,,", this course addresses managing operations, developing and managing financial services, and managing people. This course will include a service-learning component. Prerequisite: NPL 273, or by special permission."
BIOL 201,Anatomy & Physiology I,4,,,,and BIOL 202 in order to enroll in NURS 282.
BIOL 202,Anatomy & Physiology II,4,,,,in order to enroll in NURS 282.
BIOL 220,Human Anatomy,4,,,,and BIOL 330 in order to enroll in NURS 284.
BIOL 330,Principles of Human Physiology,4,"BIOL 220, CHEM 104 or CHEM 106 or CHEM 111 or CHEM",,,in order to enroll in NURS 284.
PHYS 101,Introductory Physics,3,,,,"is also strongly encouraged. Fall, Spring Corequisites: MATH 121"
MATH 122,Calculus II,4,MATH 121 with “C” (2.0) or better or consent,,,"must be completed before taking this course or taken concurrently. Fall, Spring better. Corequisites: MATH 122"
PHYS 232,General Physics II Laboratory,1,PHYS 221 with a “C” or better; and PHYS 222 or concurrent.,,,".) MATH 121 must be completed with a “C” or better prior to taking this course. MATH 122 must be completed before taking this course or taken concurrently. Fall, Spring better. Corequisites: MATH 122"
PHYS 221,General Physics I,4,,,,with a “C” or better. MATH 122 must be completed before taking this course or taken concurrently. Spring better Corequisites: MATH 122
PHYS 233,General Physics III Laboratory,1,PHYS 221 with a “C” or better; and PHYS 223 or concurrent.,,,.) Pre: MATH 121 with a “C” or better; and PHYS 221 with a “C” or better. MATH 122 must be completed before taking this course or taken concurrently. Spring better Corequisites: MATH 122
PHYS 222,General Physics II,3,MATH 121 with a “C” or better; PHYS 221 with a “C” or,,,". Experiments involving electric and magnetic fields, electric potential, electric and magnetic forces, and simple circuits. Laboratory only. Fall, Spring"
PHYS 223,General Physics III,3,MATH 121 with a “C” or better; and PHYS 221 with a “C” or,,,". Experiments involving fluids, thermodynamics, mechanical waves, geometrical optics, and physical optics. Laboratory only. Spring"
PHYS 212,Principles of Physics II,4,PHYS 211,,,
STAT 154,Elementary Statistics,4,"Satisfy Placement Table in this section, or MATH 098 with",,,
PSYC 201,Statistics for Psychology,4,"Complete one course: MATH 112, MATH 113, MATH 115,",,,
RPLS 495,Senior Internship,9,All required RPLS courses completed with a ‘C’ or better.,,,"Practicum. Students will contract with the advisor to complete 100 hours of volunteer or paid experience in a leisure services organization. Written permission required from the advisor. RPLS 393W Advancing Diversity, Equity, and Inclusion"
AIS 360,Indigenous Peoples and Environmental Struggles,3,,Purple,,. Credit allowed for only one of these courses.
SOWK 215,Introduction to Social Welfare Services,4,,Purple,,W.
HLTH 475,Biostatistics,3,"MATH 110, STAT 154, Or any other mathematics course",,,. Or other statistics course as approved by BSSW Program Advisor.
SOWK 455,Social Work Practicum,8,"SOWK Foundation, Practice Sequence, and permission",,,. Corequisites: SOWK 455
SOWK 450,Integrative Seminar,4,"SOWK Foundation, Practice Sequence, and permission",,,. Corequisites: SOWK 450
