Course Number,Course Name,Credit Count,Prerequisites/Color Group
AET,364 Chassis Design and Performance Testing,4,"MATH 121, PHYS 211"
AET,366 Automotive Thermodynamics and Engine Design,3,"CHEM 104, MATH 121, PHYS 211"
AET,387 Junior Design Project,3,"ENG 271W, STAT 154"
AET,398 CPT: Co-Operative Experience,0,AET 102. At least 60 credits earned; in good standing;
Prerequisites:,AET 102. At least 60 credits earned; in,good,N/A
AET,435 Automotive Design and Construction,1-4,Permission Required
AET,436 Hybrid and Electric Vehicles,3,"AET 280, AET 366"
AET,465 Automotive Laboratory Experience,2,"AET 364, Permission required"
AET,468 Automotive Research Methods,4,"AET 366, PHYS 211, STAT 154"
AET,488W Senior Design Project I,3,"MET 341, AET 364, AET 387"
AET,489W Senior Design Project II,3,"AET 468, AET 488W, MET 324"
AET,492 Automotive Seminar,1-4,Permission required
AET,497 Internship: Automotive,1-10,40 earned credits in AET/MET
Prerequisites:,40 earned credits,in,N/A
AET,499 Individual Study,1-4,Permission required
AVIA,100 Aviation Program Orientation,1,N/A
AVIA,101 World of Aviation,3,N/A
AVIA,102 Aviation Terminology,3,N/A
AVIA,150 Private Pilot,3,N/A
AVIA,151 Private Pilot Flight Lab,2,N/A
AVIA,152 Private Pilot Helicopter Flight Lab,3,N/A
AVIA,153 Private Pilot Flight Lab II,1,N/A
AVIA,160 Introduction to UAS,3,N/A
AVIA,171 Multi-Engine Flight Lab,1,"AVIA 151, or equivalent"
AVIA,201 Theory of Flight,3,"PHYS 101, MATH 112. Select 1 course: AVIA 150 or AVIA"
AVIA,202 Principles of Air Navigation,3,AVIA 150
AVIA,240 Instrument Pilot,3,"AVIA 150, or equivalent"
AVIA,241 Instrument Pilot Flight Lab,2,N/A
AVIA,242 Instrument Pilot Helicopter Flight Lab,3,AVIA 152
AVIA,243 Instrument Pilot Flight Lab II,1,N/A
AVIA,250 Commercial Pilot,3,"AVIA 153, AVIA 240"
AVIA,251 Commercial Pilot Flight Lab,2,N/A
AVIA,252 Commercial Pilot Helicopter Flight Lab,3,"AVIA 152, AVIA 242"
AVIA,253 Commercial Pilot Flight Lab II,2,N/A
AVIA,270 Helicopter Pilot,3,"AVIA 150, AVIA 250, AVIA 260"
AVIA,275 Helicopter Flight Theory,3,N/A
AVIA,300 Advanced Studies Orientation,1,ENG 271W or ENG 272W
AVIA,305 Aviation Professional Communications,1,N/A
AVIA,306 Intercollegiate Flight Team,1,N/A
4,credits can,be,N/A
AVIA,333 Airline Operations,3,N/A
AVIA,334 Aviation Management,3,N/A
AVIA,336 Basic Aircraft Systems,3,N/A
AVIA,337 Avionics,3,N/A
AVIA,338 Advanced Aircraft Systems,3,AVIA 201
AVIA,339 Aerospace Propulsion,3,N/A
AVIA,340 Flight Operations,3,AVIA 240
AVIA,343 Airport Management,3,N/A
AVIA,344 Airport Operations,3,N/A
AVIA,360 Flight Instructor,3,"AVIA 243, AVIA 250"
AVIA,364 Flight Instructor Flight Lab,3,N/A
AVIA,365 UAS Sensors,3,AVIA 160
AVIA,370 Confidence Maneuver Training flight lab,3,AVIA 253
AVIA,375 UAS Telemetry and Communication,3,AVIA 370
AVIA,383 Flight Instructor Helicopter Flight Lab,1,AVIA 252
AVIA,392 Instrument Instructor Helicopter Flight Lab,1,"AVIA 242, AVIA 252"
AVIA,432 Aviation Law – General,3,N/A
AVIA,435 Aviation Law – Transactions,3,AVIA 432
AVIA,436 Flight Operations and Procedures,3,AVIA 340
AVIA,437 Aviation Safety,3,AVIA 150
AVIA,442 Fundamentals of Air Traffic Control,3,AVIA 240
AVIA,443 Airline Dispatch,3,"AVIA 240, GEOG 217"
AVIA,444 Aircraft Dispatcher 2,3,AVIA 443
AVIA,445 Aviation Human Factors,3,Select 1 course: AVIA 150 or AVIA 240
AVIA,450 Professional Pilot Theory,3,"AVIA 253, AVIA 340"
AVIA,451 Professional Flight Course,3,AVIA 253
AVIA,452 Professional Aviator Course,3,N/A
AVIA,455 Aircraft Performance,3,AVIA 338
AVIA,458 Aeromedical Factors,3,N/A
AVIA,470 Advanced UAS Operation,3,"CIS 350, AVIA 375"
AVIA,480 UAS Emphasis Senior project/Capstone,4,AVIA 470
AVIA,490 Aviation Workshop,1-10,N/A
AVIA,497 Aviation Internship,1-12,N/A
AVIA,499 Individual Study in Aviation,1-6,N/A
BIOL,100 Our Natural World,4,N/A
BIOL,102 Biology of Women,3,N/A
BIOL,104 Introduction to Soil Science,4,N/A
BIOL,105 General Biology I,4,N/A
BIOL,106 General Biology II,4,N/A
BIOL,125 Livestock Production,3,N/A
BIOL,136 Forages and Pasture Management,2,N/A
BIOL,146 Agronomy I,2,N/A
BIOL,175 Orientation to Clinical Laboratory Science,1,N/A
BIOL,201 Anatomy & Physiology I,4,N/A
BIOL,202 Anatomy & Physiology II,4,N/A
BIOL,204 Soils II,3,"BIOL 104, GEOL 104"
BIOL,211 Genetics,4,"BIOL 105, BIOL 106, and MATH 112"
BIOL,215 General Ecology,4,BIOL 105 and BIOL 106 or consent
BIOL,217 Plant Science,4,BIOL 105 and BIOL 106 or consent
BIOL,220 Human Anatomy,4,N/A
BIOL,246 Agronomy II,3,BIOL 146
BIOL,270 Microbiology,4,One BIOL course and one semester of chemistry from among
BIOL,271 Principles of Microbiology,4,N/A
Teachers,,3,N/A
BIOL,300 Evolutionary Analysis,3,"BIOL 105, BIOL 106, BIOL 211"
BIOL,305 Invertebrate Zoology,4,"BIOL 105, BIOL 106"
BIOL,306 Vertebrate Zoology,4,"BIOL 105, BIOL 106"
BIOL,310 Basics of Human Physiology,4,"BIOL 220, CHEM 104 or CHEM 106 or CHEM 111 or CHEM"
BIOL,320 Cell Biology,4,"BIOL 105 and BIOL 106, BIOL 211"
BIOL,324 Neurobiology,3,BIOL 220
BIOL,325 Principles of Human Anatomy,4,BIOL 105
BIOL,330 Principles of Human Physiology,4,"BIOL 220, CHEM 104 or CHEM 106 or CHEM 111 or CHEM"
BIOL,346 Advanced Agronomy,3,"BIOL 146, BIOL 246"
BIOL,371 Microbiology,4,"BIOL 105, BIOL 106, CHEM 201"
BIOL,380 Blood Banking/Urinalysis,3,N/A
BIOL,398 RISEbio research,2,"BIOL 105, BIOL 106. RISEbio program participant,"
BIOL,402 Stream Ecology,4,"BIOL 105, BIOL 106, BIOL 215 or consent"
BIOL,403 Conservation Biology,3,BIOL 215 or consent
BIOL,404 Wetlands,4,BIOL 215
BIOL,406 Fish Management,4,BIOL 215
BIOL,409 Advanced Field Ecology,4,"BIOL 105, BIOL 106, BIOL 215 or consent"
BIOL,410 Global Change Biology,3,"BIOL 105, BIOL 106, BIOL 215 or consent"
BIOL,411 Human Genetics,3,N/A
BIOL,412 Soil Ecology,4,"BIOL 105, BIOL 106, BIOL 215, or consent"
BIOL,413 Bioinformatics,4,"BIOL 105, BIOL 106, BIOL 211"
BIOL,414 Ichthyology,4,BIOL 306
BIOL,415 Ornithology,4,"BIOL 105, BIOL 106, BIOL 306"
BIOL,417 Biology of Aging and Chronic Diseases,3,BIOL 100 or BIOL 105
BIOL,420 Diagnostic Parasitology,4,"BIOL 100 or BIOL 105, BIOL 106 recommended"
BIOL,421 Entomology,3,BIOL 105 and BIOL 106 or consent
BIOL,423 Comparative Vertebrate Anatomy,4,"BIOL 105, BIOL 106, BIOL 306"
BIOL,424 Developmental Biology,3,BIOL 100 or BIOL 105
BIOL,425 Developmental Biology Lab,1,BIOL 211; Co-requisite: BIOL 424
BIOL,430 Hematology/Introduction to Immunology,4,N/A
BIOL,431 Comparative Animal Physiology,3,"BIOL 105, BIOL 106 or consent"
BIOL,432 Lake Ecology,4,BIOL 215
BIOL,433 Cardiovascular Physiology,3,N/A
BIOL,434 Animal Physiology,4,"CHEM 201, BIOL 423"
BIOL,435 Histology,4,BIOL 220
BIOL,436 Animal Behavior,4,"BIOL 105, BIOL 106"
BIOL,438 General Endocrinology,3,BIOL 100 or BIOL 105
BIOL,440 Wildlife Management,4,"BIOL 105, BIOL 106, BIOL 215, BIOL 306"
BIOL,441 Plant Physiology,4,"BIOL 105, BIOL 106, BIOL 217, one semester organic"
BIOL,442 Flora of Minnesota,4,N/A
BIOL,443W Plant Ecology,4,N/A
BIOL,446 Principles of Weed Science,4,"BIOL 215, BIOL 217"
BIOL,451 Agroecology,4,"BIOL 105, BIOL 106"
BIOL,452 Biological Instrumentation,3,"BIOL 105, BIOL 106, or consent"
BIOL,453 Biological Engineering Analysis I,4,"BIOL 270 and one semester each of calculus, physics, and"
BIOL,454 Biological Engineering Analysis II,4,"BIOL 453, taken currently with BIOL 457"
BIOL,456 Biotechnology Project/Laboratory I,3,Concurrent enrollment in BIOL 453
BIOL,457 Biotechnology Project/Laboratory II,3,"BIOL 456, taken concurrently with BIOL 454"
BIOL,466 Principles of Pharmacology,3,"CHEM 201, BIOL 211. Select 1 course: BIOL 320 BIOL 330,"
BIOL,472 Microbial Ecology and Bioremediation,4,"BIOL 105, BIOL 106, and BIOL 270"
BIOL,473 Virology,3,"BIOL 105, BIOL 106, and BIOL 270"
BIOL,474 Immunology,4,"BIOL 105, BIOL 106, and BIOL 270"
BIOL,475 Medical Microbiology,4,BIOL 270
BIOL,476 Microbial Physiology and Genetics,5,"BIOL 105, BIOL 106, BIOL 270"
BIOL,478 Food Microbiology and Sanitation,4,"BIOL 105, BIOL 106 and BIOL 270"
BIOL,479 Molecular Biology,4,"BIOL 105, BIOL 106, BIOL 211"
BIOL,481 Lab Supervision and Maintenance,1,N/A
BIOL,485 Biology Teaching Methods and Materials,4,16 credits BIOL
Prerequisites:,16,credits,N/A
BIOL,487 Nuclear Medicine Technology Internship I,17,N/A
BIOL,488 Nuclear Medicine Technology Internship II,17,N/A
BIOL,489 Senior Seminar,1,N/A
90,credits or more,toward,N/A
BIOL,490 Workshop,1-4,N/A
BIOL,493 Cytotechnology Clinical Internship I,1-12,N/A
BIOL,494 Cytotechnology Clinical Internship II,1-12,N/A
BIOL,495 Cytotechnology Clinical Internship III,1-12,N/A
BIOL,496 Cytotechnology Clinical Internship IV,1-12,N/A
BIOL,497 Internship I,1-12,Consent
BIOL,498 Internship II,1-12,N/A
program,for a minimum of five 40-hour weeks. Only four credits,can,Consent
BIOL,499 Individual Study,1-4,N/A
BUS,295 Professional Preparation for Business Careers,2,N/A
BUS,397 IBE Practicum,3,Must be admitted to a major.
BUS,492 BBA Capstone II,3,BUS 491
BLAW,200 Legal Environment of Business,3,N/A
BLAW,398 CPT: Co-Operative Experience,0,Permission of the Chairperson of the department; co-op
BLAW,450 Contract Law and Professional Responsibility,3,BLAW 200
BLAW,452 Employment Law,3,BLAW 200
BLAW,453 International Legal Environment of Business,3,BLAW 200
BLAW,455 Legal Aspects of Banking and Finance,3,BLAW 200
BLAW,471 Technology and Intellectual Property Law,3,N/A
BLAW,474 Environmental Law,3,BLAW 200
BLAW,476 Construction and Design Law,3,BLAW 200
BLAW,477 Negotiation and Conflict Resolution,3,BLAW 200
BLAW,483 Special Topics,1-3,N/A
BLAW,492 Study Tour,1-3,N/A
BLAW,497 Internship,1-8,N/A
BLAW,498 Internship,1-3,N/A
BLAW,499 Individual Study,1-4,N/A
CAHN,101W The Health Care Professions,3,N/A
CHEM,100 Chemistry in Society,3,N/A
CHEM,101 Skills for General Chemistry,2,N/A
CHEM,104 Introduction to Chemistry,3,N/A
CHEM,106 Chemistry of Life Process Part I (General),3,High school algebra recommended
Biochemistry),,5,CHEM 106 or high school chemistry
CHEM,131 Forensic Science,3,N/A
CHEM,134 Mind Altering Substances,3,N/A
CHEM,190 Learning in Chemistry Applications,1,N/A
CHEM,191 Chemistry Applications,3,High school chemistry or “C” (2.0) or higher in CHEM
CHEM,200 GC1 Laboratory Component,1,CHEM 191
CHEM,201 General Chemistry I,5,“C” (2.0) or higher in MATH 112 or the equivalent; high
CHEM,202 General Chemistry II,5,“C” (2.0) or higher in CHEM 201
Foundations,,1,CHEM 322
CHEM,299 Individual Study,1-6,N/A
CHEM,305 Analytical Chemistry,4,“C” (2.0) or higher in CHEM 202
CHEM,316 Descriptive Inorganic Main Group Chemistry,3,“C” (2.0) or higher in CHEM 202
CHEM,317 Transition Metal Chemistry,3,“C” (2.0) or higher in CHEM 202
CHEM,322 Organic Chemistry I,4,"CHEM 202, “C” (2.0) or higher in CHEM 202."
CHEM,324 Organic Chemistry II,3,CHEM 322 with a “C” (2.0) or higher.
CHEM,325 Organic Chemistry II Lab,1,CHEM 324
CHEM,360 Principles of Biochemistry,4,CHEM 322. CHEM 324 is strongly recommended.
CHEM,398 RISE Biochem Research,2,"BIOL 105, CHEM 201"
CHEM,407 Environmental Chemistry,3,“C” (2.0) or higher in CHEM 305
CHEM,419 Physical Inorganic Chemistry Foundations,2,"“C” (2.0) or higher in CHEM 322, MATH 121"
CHEM,423 Spectroscopic Determination of Structure,4,CHEM 322
CHEM,424 Advanced Organic Chemistry,3,CHEM 324. “C” (2.0) or higher
CHEM,445 Physical Chemistry I,4,"MATH 121, PHYS 211, CHEM 305"
CHEM,446 Physical Chemistry II,3,"MATH 122, PHYS 212, CHEM 445"
CHEM,460 Biochemistry I,3,"BIOL 106, CHEM 324. BIOL 106 or permission “C” (2.0) or"
CHEM,461 Biochemistry II,3,CHEM 460
CHEM,465 Biochemical Techniques I,2,Concurrent registration in CHEM 460 or completion of
CHEM,466 Biochemical Techniques II,2,N/A
CHEM,467 Biochemistry of Cancer and Therapeutics,3,CHEM 360 or CHEM 460
CHEM,475 Instrumental Analysis,4,CHEM 305. PHYS 212 or PHYS 223.
CHEM,479 Teaching Physical Science,4,Consent
Chemistry,,3,N/A
CHEM,489 Senior Capstone,1,CHEM 445 or CHEM 465
CHEM,490 Workshop,1-6,N/A
CHEM,497 Internship,1-16,N/A
CHEM,498 Undergraduate Research,1-6,N/A
registration,attempt. In order for CHEM 498 credits to apply,to,N/A
student’s,"program of study as unrestricted elective credits,",the,N/A
CHEM,499 Individual Study,1-6,N/A
CHIN,101 Elementary Mandarin I,5,N/A
CHIN,102 Elementary Mandarin II,5,N/A
CIVE,100 Explorations in Engineering,1,N/A
CIVE,101 Introduction to Engineering – Civil,2,N/A
CIVE,145 CAD for Civil Engineering,2,N/A
Design,,2,CIVE 101
CIVE,235 Properties of Civil Engineering Materials,3,ME 212
CIVE,271 Civil Engineering Measurements,2,"Select One: MATH 113, MATH 115, MATH 121"
CIVE,297 Internship,1-4,N/A
CIVE,321 Fluid Mechanics,3,ME 214. Select one: ME 241 or ME 299
CIVE,340 Structural Analysis,3,CIVE 223 or ME 223
CIVE,350 Hydraulics and Hydrology,4,"CIVE 321 or ME 321, ME 291"
CIVE,360 Geotechnical Engineering,4,CIVE 223 or ME 223
CIVE,370W Transportation Engineering,4,"CIVE 145, ME 291"
CIVE,380 Environmental Engineering,3,Select one: CHEM 201 or GEOL 291
CIVE,398 CPT: Co-Operative Experience,0,CIVE 201. At least 60 credits earned; in good standing;
Prerequisites:,CIVE 201. At least 60 credits earned; in,good,N/A
CIVE,401W Civil Engineering Design I,2,"ENG 271W, CIVE 340, CIVE 350, CIVE 360, CIVE 370W"
CIVE,402W Civil Engineering Design II,3,CIVE 401W
CIVE,412 Advanced Surveying,3,N/A
CIVE,415 Boundary Survey and Law,3,N/A
CIVE,417 Surveying Capstone,2,N/A
CIVE,432 Properties of Concrete,3,ME 223
CIVE,435 Civil Engineering Experimentation I,2,"CIVE 235, CIVE 340"
