Course ID,Course Name,Credit Count,Prerequisites,Diversity Group,General Education Goal,Course Description
AGBZ 350,Agribusiness Transfer & Law,3.0,,,,"This course covers farm estate planning and law topics with direct application to production agriculture. Topics include federal and state estate tax laws and their impact on the transfer of agriculture property. Estate planning options such as wills, life insurance and trusts will be explored. Other topics include farm partnerships and corporations, agricultural legal case studies, basic contracts, legal land descriptions, fence regulations, animal legalities, water rights, bankruptcy, gifting, and liability issues. THIS COURSE IS FOR BAS AGRONOMY MAJORS ONLY. The course does not apply toward any College of Business majors, certificates, or minors. The course serves as a counterpart to a South Central College course for ease of transfer."
AGBZ 370,AgriBusiness Finance,3.0,,,,"The goal of this course is to provide a basic understanding of finance for students entering agribusiness profession. The primary objective of this course is to cover all basic topics, including time value of money, agricultural lending, financial statement analysis following Generally Accepted Accounting Principles (GAAP), the Farm Credit System, risk in agribusiness, legal matter in agribusiness, national and international trend in agribusiness finance. The course does not apply toward any College of Business majors or minors. The course serves as a counterpart to a South Central College course for ease of transfer."
AGBZ 371,Agricultural Technology Seminar,2.0,,,,"This seminar will provide students the opportunity to self-direct studies in agricultural technology in their areas of interest. Technologies to be considered could include but are not limited to, plant protection, precision farming, application industries, livestock equipment, biotechnologies, financial resource management, sustainable agriculture, environmental impacts of agriculture, agricultural workforce, and agricultural production. Some organized events will be part of this course. The major emphasis will be self-directed learning. THIS COURSE IS FOR BAS AGRONOMY MAJORS ONLY. The course does not apply toward any College of Business majors, certificates, or minors. The course serves as a counterpart to a South Central College course for ease of transfer."
AGBZ 492,Study Tour,nan,,,,"This course is designed to give students an opportunity to study abroad while learning basic business principles. The course focuses on building business knowledge in agriculture, food and trade while experiencing these concepts in another country. The course also focuses on cultural competency and understanding and experiencing a different culture. An interactive activity will also take place with a company. The course does not apply toward any College of Business majors or minors. The course serves as a counterpart to a South Central College course for ease of transfer."
AGBZ 496,Internship,nan,,,,"Supervised experience in agribusiness or food related organizations, industry, state, or federal institutions. The course does not apply toward any College of Business majors or minors. The course serves as a counterpart to a South Central College course for ease of transfer. American Indigenous Studies"
AIS 101,Introduction to American Indigenous Studies,3.0,,,,"Class introduces students to history of the discipline and surveys both historical and contemporary topics of importance to American Indian Studies including gender roles, education, sovereignty treaties, and oral traditions."
AIS 112,Elementary Ojibwe I,4.0,,Purple,,"An introduction to the basic skills of listening, speaking, reading and writing in the Ojibwe language as well as non-linguistic aspects of cultural background and history."
AIS 113,Elementary Ojibwe II,4.0,,Purple,,"An introduction to the basic skills of listening, speaking, reading and writing in the Ojibwe language as well as non-linguistic aspects of cultural background and history."
AIS 130,Introduction to Indigenous Education,3.0,,Purple,,"An introduction to Indigenous cultural content, worldview, and concepts of Indigenous education, knowledge, and learning. Surveys the historical and present-day relationships between educational institutions, policies, practices, and Indigenous communities. Explores Indigenous communities across the U.S. with particular attention to Indigenous nations in Minnesota."
AIS 210W,Oral Traditions,3.0,,Purple,,Oral traditions are at the base of all American Indian cultures. This class will provide students with the necessary tools for a better understanding of traditional knowledge and its importance within diverse traditional cultures.
AIS 211,Native America to 1900,3.0,,Purple,,"This course is an introduction to Native American history from creation to 1900 in North America. It introduces students to the continuity of social, cultural, political, and economic diversity amongst Native American peoples and focuses on adaptions to intertribal and colonial relationships during this time period."
AIS 212,Native America 1900 to Present,3.0,,,,"This course is an introduction to Native American history from 1900 to present day. It introduces students to the continuity of social, cultural, political, and economic diversity amongst Native American peoples and focuses on the impact of federal Indian policy, issues of power, sovereignty, identity, activism, and self-determination. Diverse Cultures: Purple"
AIS 220W,Introduction to Tribal Sovereignty,3.0,,Purple,,"Course introduces students to the legal side of being American Indian. Politics and policies will be examined to show how a contemporary native experience is shaped through American courts, Presidential chambers, and Native activist movements."
AIS 230W,American Indians of Minnesota,3.0,,,,This course will provide overview of Minnesota Indian nations and their relations to each other and the effects of European incursion. Subsequent relations will focus on the US-Dakota war and its aftermath. Diverse Cultures: Purple
AIS 240W,American Indian Women,3.0,,,,Being American Indian and being woman creates a unique situation for women who have been directly influenced by the differences of gender roles from two intersecting cultures. This course will focus on how those differences have affected American Indian Women. Diverse Cultures: Purple
AIS 275,Selected Topics,3.0,,,,The course is offered according to student demand and instructor availability/expertise. A variety of topics related to ethnic and cultural areas will provide curriculum enrichment on an ongoing basis.
AIS 300W,American Indian Leaders,3.0,,Purple,,"Examines leadership prior to European colonization, the overlap of Indian and colonial leadership, contemporary governmental leadership, and contemporary tribal leadership. Define what is and is not leadership and examine characteristics of individuals deserving the title of leader among American Indians."
AIS 330,Indigenous Education,3.0,,Purple,,"This class introduces students to Indigenous perspectives of education, knowledge, and learning. Students will explore the historical relationships between educational institutions, policies, practices, and Indigenous communities. Through an engagement with present day efforts of educators, programs, and institutions that incorporate and engage traditional knowledges, students will develop a deeper understanding of Indigenous education and ways to promote teaching practices and pedagogies that value and support a diverse educational community."
AIS 340,American Indians in Film,3.0,,,,This course examines American Indian identity as it relates to Hollywood film industry history. Underlying issues of contemporary Indians are also addressed through an introduction to Native Cinema and the effects of current technologies and globalization. Diverse Cultures: Purple
AIS 360,Indigenous Peoples and Environmental Struggles,3.0,,Purple,,Introduces students to the differences between indigenous and Western views of the environment. Analyzes the impact of invasion and encroachment on indigenous societies’ interactions with nature. Compares historical and contemporary environmental issues in indigenous societies.
AIS 380,The Sacred Landscape,3.0,,Purple,,"Course introduces students to the various ways that land is used by American Indians. We will explore traditional land use, contemporary land use, and land issues that impact American Indians and cultural activities that are tied to the land."
AIS 398,CPT: Co-Operative Experience,0.0," At least 60 credits earned; in good, standing;, permission; co-op contract; other prerequisites may also apply.",,,Curricular Practical Training: Co-Operative Experience is a zerocredit full-time practical training experience for one semester and an adjacent fall or spring term. Special rules apply to preserve fulltime student status. Please contact an advisor in your program for complete information.
AIS 455,Museum Science and Representation,3.0,,Gold,,"Introduces students to museum science and how historic constructs, practices, and contemporary issues of the museum as an institution relates to the representation of American Indians. Focus will be on translating western practices to an Indigenous aesthetic. "
AIS 460,Behaving Like Relatives,3.0,,Gold,,"Working with a faculty advisor, students will gain practical knowledge of fieldwork techniques and gain practical experience through this experiential learning course. Students will learn to approach indigenous communities and people with respect to cultural practices and “behave like relatives” in their research practices. This course is a capstone research project for the AIS program. Corequisites: Permission of AIS faculty member."
AIS 475,Selected Topics,3.0,,,,This course is offered according to student demand and instructor availability/expertise. A variety of topics related to ethnic and cultural areas will provide curriculum enrichment on an ongoing basis.
AIS 485,Workshop,nan,,,,"A brief, intensive or hands on experience based in Indigenous knowledge and methods. Variable topics."
AIS 497,Internship,nan,,Gold,,Field experiences in settings appropriate to the discipline of American Indian Studies. Requires advanced standing in American Indian Studies and consent of supervising faculty.
AIS 499,Individual Study,nan,,,,Allows for an advanced level pursuit of special projects of research on an independent basis. Requires coordination with a faculty member. Anthropology
ANTH 101,Introduction to Anthropology,4.0,,Purple,,This course surveys human biological and cultural diversity through time and space. You will learn about questions like: “how did humans evolve?” and “how do anthropologists collect and interpret information about human beings and their ancestors?”
ANTH 102,Ancient Peoples,4.0,,,,"A general survey of the evolution of human society from the earliest times to the development of written languages. Topics include the evolution of tools, the agricultural revolution, and the origins of urban life."
ANTH 120,Forensic Science: An Anthropological Approach,4.0,,,,"This anthropology course explores the areas of anatomical forensic science. Students will learn the techniques and methodology involved in collection, preservation, and analysis of evidence pertaining to human remains. The course will include such subjects as analysis of skeletal trauma, victim identification, bite-mark analysis, and crime scene recovery methods. Ethnics and standards in medico-legal investigations will also be stressed."
ANTH 210,Introduction to Archaeology,4.0,,,,"A comprehensive examination of modern archaeological theory methods and activities, focusing on American archaeology. Emphasis will be given to data collection, data analysis, and museology. Lab included."
ANTH 220,Human Origins,4.0,,,,"An introduction to the study of human biological evolution and variation. This course focuses on evolutionary theory, mechanisms of evolutionary change, and the fossil record of human evolution. Lab included."
ANTH 230,Peoples and Cultures of the World,4.0,,Purple,,This introduction to cultural anthropology covers cultural diversity and organization by examining several examples in detail. Both anthropological methodology and theory will be important parts of this course.
ANTH 240,Language and Culture,4.0,,,,"Language provides not only communication but identification of oneself and one’s group. Humans are extremely sensitive to language, dialect, jargon, and slang. An understanding of language and its relationship to culture is basic to any understanding of human beings. Diverse Cultures: Purple"
ANTH 245,The Social Life of Swearing,4.0,,Purple,,"What qualifies a word as “bad”? How does profanity, cursing, and swearing evolve across time and vary across cultures? Where does the power of these “bad” words come from? What relationship do these words have to issues of gender, race, and class? This course examines the historical evolution and modern usage of obscenities to answer these questions."
ANTH 250W,Portraits of Culture,4.0,,Purple,,"Survey of human cultures through a variety of classic and contemporary anthropological writing and film. Students write weekly reflections. Written work is shared, discussed, and revised. ANTH 260 Vampires, Werewolves, and Zombies: Folklore"
ANTH 269,Anthropology of Sex,4.0,,Purple,,"Sex and our relationship with it. This course examines the topics of sex, sexuality, and gender by exploring the diverse range of sexual cultures of the world in the past and the present. Attention is given to the role of language, biology, culture, and the archeological record of societies’ fascination with sex."
ANTH 280,Engaged Anthropology,3.0,"ANTH 101, ANTH 230, or instructor Permission.",Gold,,"Engaged Anthropology is a multidimensional service-learning course designed to facilitate real-world learning experiences for students on broad social issues: practice a variety of anthropological concepts, theories, and methods; and provide service to the local community. "
ANTH 285,Special Topics,nan,,,,"Courses to be offered just one time or on an irregular basis according to topic demand for a general interest, sophomore level course."
ANTH 290,Exploratory Studies,nan,Consent,,,Individual study at an introductory level on the topic of student’s choice. Designed for students who wish to pursue independent study at the freshman-sophomore level rather than the more advanced level of the 499 individual study.
ANTH 300,Introduction to Anthropology Methods,4.0,ANTH 101,,,This course examines the methodologies of all four fields of Anthropology. Students will gain practical experience in various methods that professionals utilize on a regular basis within the discipline. Discussions of the issues surrounding various anthropological methods will be part of this course.
ANTH 311,Ancient Egypt,4.0,,,,"An in-depth study of ancient Egypt, focusing on the relationship between cultural development and the unique Egyptian environment of the time. Emphasis will be placed on the interpretation of archaeological discoveries in the area."
ANTH 323,Primate Behavior,4.0,ANTH 101 or ANTH 220 or consent,,,"An examination of the ecology, behavior and biology of living primates."
ANTH 331,Environmental Anthropology,4.0,,,,This course focuses on studying the diversity of human societies using environmental approaches such as evolutionary/ecological perspectives and systems modeling. Case studies will be drawn from Native American cultures.
ANTH 332,Anthropology of Religion,4.0,,Purple,,The variability and universality of human religious expression are explored in specific cross-cultural contexts.
ANTH 333,Ethnographic Film,3.0,,,,This course emphasizes the wealth of ethnographic information which may be captured by visual media. You will learn how to interpret the final product and how to recognize the limitations of visual presentations.
ANTH 335,People and Cultures of Sub-Saharan Africa,4.0,,,,A survey of the people and cultures of Sub-Saharan Africa examining the rich sociocultural diversity of the continent over time.
ANTH 340,Language and Power,4.0,,Purple,,"Language is powerful. What we say, how we say it, where we say it, and to whom we say it matters. This course explores the connection between power, language, performance, and identity. The relationships between language, gender, sexuality, race, ethnicity, and socioeconomic class are explored by investigating historical and present-day sources of language practices and events."
ANTH 360,Business Anthropology,4.0,,,,This class focuses on the application of anthropology in the business and organizational domains using a cultural lens. It will provide students with a clearer view of the culture of the business world as well as tools to aid in understanding the business culture and that of their clientele.
ANTH 361,Foodways,4.0,,Purple,,"Exploring culture through the foods we eat, preparation practices, and historic implications of food in daily life. We will examine a sampling from hunter-gathers, agricultural practices and animal husbandry, mass production, and the food industry to better understand cultural practices from around the globe."
ANTH 398,CPT: Co-Operative Experience,0.0," At least 60 credits earned; in good, standing;, permission; co-op contract; other prerequisites may also apply.",,,Curricular Practical Training: Co-Operative Experience is a zerocredit full-time practical training experience for one semester and an adjacent fall or spring term. Special rules apply to preserve fulltime student status. Please contact an advisor in your program for complete information.
ANTH 410,Archaeology of Minnesota,4.0,,,,"A detailed study of Minnesota archaeology from ca. 12,000 years ago to ca 1900, with a focus on diverse and changing Native American populations."
ANTH 411,Archaeology of Native North America,4.0,,,,"A survey of current knowledge about the prehistoric Native American inhabitants of North America from ca. 15,000 years ago until ca. 1900. Topics will focus on the processes of cultural development, change, and disruption by Euro-American influences."
ANTH 412,Archaeology of Latin America,4.0,,,,"A detailed study of Latin American archaeology from ca. 12,000 years ago to ca.1900, with a focus on diverse and changing Native American populations."
ANTH 414,Museology,4.0,,,,"A review of the history and philosophy of museums, the legal and ethical issues impacting museums, the nature and treatment of collections, creation, exhibition and exhibit design, the role of museums in education, museum personnel and financial management, and museums in the technological/electronic age."
ANTH 415,Cultural Resource Management,4.0,"ANTH 101, ANTH 210 or consent",,,"Review of how cultural resources are being preserved and managed under current laws and regulations. Emphasis on examination of conservation, preservation and rescue methods in modern archaeology, and problems and issues in historic preservation and resource management."
ANTH 416,Archeological Methods,4.0,,,,"An intensive exploration of how to identify, catalogue, and curate archeological materials in a laboratory setting. Topics will include lithics, pottery, faunal, floral, metal, and other materials as well as data structure and recordation."
ANTH 417,Quaternary Environments and Climatic Change,4.0,"GEOG 101, ANTH 210; Students are strongly encouraged to",,,"An interdisciplinary investigation into Quaternary environmental/ climatic change and the impact of change on the behavior and evolution of humans. This course has three segments: 1) an examination of natural systems responsible for climatic change, the impact climatic fluctuations have on Earth systems, timing of Quaternary changes, evidence of climatic/environmental change from spatially distant, climatically distinct environments; 2) investigation into worldwide evidence of human evolution, global dispersion, and adaptation to environmental systems; introduction to various methodological approaches in Quaternary archeologic, geomorphic, and climatic studies. Focus is on proxy records used for climate/environmental reconstruction, archeolgic/geomorphologic field methods, geochronologic dating methods. take Geog 315 or 4/515 before enrolling. Geol 121 can be substituted for Geog 101 with instructor permission."
ANTH 418,Agricultural Systems and Environmental Change,4.0,,,,"This course examines the history of agricultural systems in worldwide perspective, with an emphasis on understanding their social and environmental contexts and the effects on them of climate change. Case examples will highlight the conditions under which agricultural systems emerge, thrive, and fail, and the impacts of these processes on human populations."
ANTH 420,Human Osteology,4.0,,,,"An advanced examination of the human skeletal system and the application of this information in the fields of bioarchaeology, paleoanthropology and forensic anthropology. This course features hands-on identification and analysis of human skeletal material, with an emphasis on laboratory techniques."
ANTH 421W,"Health, Culture, and Disease",4.0,,,,"Cross-cultural examination of healing traditions, health beliefs and the impact of social, economic and political factors on the health of peoples in different cultures around the world and among diverse ethnic groups within culturally plural societies, including the United States. Diverse Cultures: Purple"
ANTH 422,Forensic Anthropology,4.0,ANTH 420,,,"This course will acquaint students with the application of human osteological techniques in civil and criminal investigations, including assessment of the recovery scene, determination of identity and analysis of evidence relating to cause and manner of death."
ANTH 424,Bioarchaeology,4.0,,,,"Bioarchaeology focuses on the diet, health, and occupations of past populations through the analysis of their skeletal remains. Readings and lab work will promote a practical understanding of the methods used in the discipline."
ANTH 425W,Anthropology of Death,4.0,,,,"The biological and cultural aspects of death, as seen anthropologically, are the focus of this course. Mortuary behavior, ritual, and treatment of the human body will be addressed both temporally and cross-culturally."
ANTH 430,Peoples and Cultures of Latin America,4.0,"ANTH 101, ANTH 230, or consent",,,The contemporary peoples and cultures of Mexico and Central and South America. Emphasis is on cultural patterns and contemporary issues of the region.
ANTH 431,Applied Cultural Research,3.0,"ANTH 101, ANTH 230, or consent; ETHN 100, ETHN 101,",,,This course introduces concepts and methods of applying sociocultural understanding to contemporary problems to bring about the empowerment of affected people. Case/field studies and other research methods in social sciences will change with special attention to its effect on disadvantaged groups of people. Students will also design their own applied projects. or ETHN 150 or consent.
ANTH 432,"Kinship, Marriage and Family",3.0,,,,"Kinship is the most basic principle of organization for all human societies. The course analyzes the main theories and methods of studying social organization, and explores cross-cultural variations in kinship, marriage and family systems."
ANTH 433,Anthropology of Gender,4.0,"ANTH 101, ANTH 230, or consent",,,"Major anthropological theories of gender relations are read, discussed, and applied to a variety of contemporary ethnographic case studies."
ANTH 436W,Anthropology of Aging,4.0,"ANTH 101, ANTH 230, or ANTH 220, or consent",Purple,,"A cross-cultural examination of the aging process, status, and treatment of elders around the world."
ANTH 437,Applied Anthropology,4.0,"ANTH 101, ANTH 230 or consent",,,Examines the practical applications of anthropological knowledge to problem-oriented research and the problems of directed sociocultural change among contemporary populations. Selected projects and case studies are used to illustrate the complexity of applied sociocultural change.
ANTH 438W,Anthropological Theory,4.0,,,,Examination of the intellectual history of anthropology from its nineteenth century roots to today’s current theoretical trends. Students will learn about the major schools of thought in anthropological theory and practice critical examination of their applications.
ANTH 439,Qualitative Research Methods,4.0,"ANTH 101, ANTH 220 or consent",,,The aim of this course is to make students methodologically literate. Students will learn how to develop research designs that rely on qualitative research methods such as participant observation. They will learn how to apply these methods by participating in small scale studies of human behavior. Some quantitative methods will also be discussed. Students will learn critical examination of published date and conclusions.
ANTH 440,Native American Cultures of North America,4.0,,,,American Indians adapted to environmental systems in North America with cultures ranging from small groups of foragers to cities supported by intensive agriculture. This course presents a variety of perspectives of this cultural diversity from the Ice Age to the 20th century.
ANTH 443W,People and Cultures of East Asia,4.0,,,,"Survey of East Asian cultural region. Cultural diversity, change and continuity examined in China, Japan and Korea through institutions and cultural settings. Focus includes how modern East Asian societies face internal social changes and their changing international status. Diverse Cultures: Purple"
ANTH 475,Senior Thesis,3.0,ANTH 300,,,"A faculty-supervised, student-designed capstone project for the major. Students will take ANTH 475 after completing ANTH 300. The nature of the student’s thesis will be determined jointly by the student and their advisor. The capstone project is a written thesis involving writing, laboratory work, fieldwork or various combinations. Students must present completed thesis in a public forum."
ANTH 480,Fieldwork: Archaeology/Ethnology,nan,"Consent, or one of: ANTH 101, ANTH 102, or ANTH 220",,,Field experience in which method and theory are learned through participation in an ongoing field project.
ANTH 485,Topics in Anthropology,nan,,,,"This course allows faculty the flexibility to consider the challenges of new developments in anthropology. Content will vary from one course to the next. Students may take the course, with the permission of the instructor, more than one time."
ANTH 486,Workshop,nan,Depends on topic and instructor,,,A brief intensive hands-on introduction to an anthropological topic usually as it applies to a particular issue or skill. Topics vary but might include: Understanding that race is not a scientific concept; combating racism and ethnocentrism; participant observation methods; culture shock; cultural diversity and communication; forensics; cultural resource conservation. Pre-req: Depends on topic and instructor.
ANTH 491,Archaeology Laboratory,nan,,,,"An introduction to archaeological laboratory techniques and museological practice, through participation in the various processes involved."
ANTH 492,Biological Anthropology Lab,nan,Consent,,,Guided advanced laboratory work in biological/physical anthropology.
ANTH 493,Ethnology Lab,nan,Consent,,,Individual projects are done in close coordination with faculty member.
ANTH 494,Linguistic Lab,nan,,,,Individual projects are done in close coordination with faculty member.
ANTH 497,Internship,nan,Consent,,,"Positions may vary considerably, but all involve actual working conditions in various field positions such as museums, state parks, archaeological excavations and agencies."
ANTH 498,Internship: Teaching Anthropology,nan,,,,"Students will work with faculty in the preparation and delivery of course materials in lower division undergraduate courses. Lecture/lab prep, delivery, use of multimedia, leading discussions and exercises. Open to senior majors and minors in good standing."
ANTH 499,Individual Study,nan,Consent,,,A specialized topic of the students’ choices. Coordination with a faculty member is necessary. Applied Organizational Studies
AOS 101,Preparing for Leadership Careers,3.0,,,,"This course is recommended as a first semester course for students who are new to the University and to the Applied Leadership Program. The purpose of the course is to assist students with the transition to the University in an online program environment. The course provides students with an overview of the University, its online program resources, and the College of Social and Behavioral Sciences. This course will introduce students to leadership and organizations, build student success skills and develop the professional skills needed for future job placement."
AOS 301,Introduction to Applied Leadership,3.0,,,,"Topics include world economics and their implications for the labor force, critical and creative thinking, leadership, and portfolio assessment. Required for admission to the Applied Organizational Studies program."
AOS 320,Applied Leadership Communication Workshop,3.0,,,,"The focus in this course is on communication within organizations (including virtual environments), workplace engagement in virtual teamwork and the application of critical and creative thinking resulting in organizational innovation. The course also engages students in an exploration of the role of social organizing and the impact of networking on organizational growth and sustainability."
AOS 380W,Applied Leadership Workshop 2,3.0,,,,"The focus in this course is on critical thinking, decision-making, and leadership in contemporary organizational environments. The course also explores the concept of followership and power distribution, and organizational adaptation due to technological and global economic change. Students will also participate in an applied research project in an approved organization of choice."
AOS 420,Applied Leadership & Decision Making,3.0,,,,"The course focuses on contemporary organizational issues and the concept of change in organizational design and development. Subject matter includes the use of causal thinking and econometric measurement, effectuation and entrepreneurial thinking, and the role of mission and vision. Students will complete a project-based exploration of the financial and resource aspects of return on investment comparing the effectual and causal perspectives on an organizational change."
AOS 430,Global Social Entrepreneurship,3.0,,,,"This course is an exploration of the rapidly growing social entrepreneurship in the United States, the developing world, other developed countries, and in transnational contexts. Social entrepreneurs use business methods to help solve social and environmental challenges otherwise ignored or missed by traditional commerce. This course also includes “social intrapreneurship” where employees in existing companies similarly are developing new income opportunities for their firms by addressing social and environmental challenges in a profitable, scalable manner."
