Course ID,Course Name,Credit Count,Prerequisites
AVIA 443,Airline Dispatch,3,"AVIA 240, GEOG 217"
AVIA 444,Aircraft Dispatcher 2,3,AVIA 443
AVIA 445,Aviation Human Factors,3,Select 1 course: AVIA 150 or AVIA 240
AVIA 450,Professional Pilot Theory,3,"AVIA 253, AVIA 340"
AVIA 451,Professional Flight Course,3,AVIA 253
AVIA 452,Professional Aviator Course,3,
AVIA 455,Aircraft Performance,3,AVIA 338
AVIA 458,Aeromedical Factors,3,
AVIA 470,Advanced UAS Operation,3,"CIS 350, AVIA 375"
AVIA 480,UAS Emphasis Senior project/Capstone,4,AVIA 470
AVIA 490,Aviation Workshop,1-10,
AVIA 497,Aviation Internship,1-12,
AVIA 499,Individual Study in Aviation,1-6,
BIOL 100,Our Natural World,4,
BIOL 102,Biology of Women,3,
BIOL 104,Introduction to Soil Science,4,
BIOL 105,General Biology I,4,
BIOL 106,General Biology II,4,
BIOL 125,Livestock Production,3,
BIOL 136,Forages and Pasture Management,2,
BIOL 146,Agronomy I,2,
BIOL 175,Orientation to Clinical Laboratory Science,1,
BIOL 201,Anatomy & Physiology I,4,
BIOL 202,Anatomy & Physiology II,4,
BIOL 204,Soils II,3,"BIOL 104, GEOL 104"
BIOL 211,Genetics,4,"BIOL 105, BIOL 106, and MATH 112"
BIOL 215,General Ecology,4,BIOL 105 and BIOL 106 or consent
BIOL 217,Plant Science,4,BIOL 105 and BIOL 106 or consent
BIOL 220,Human Anatomy,4,
BIOL 246,Agronomy II,3,BIOL 146
BIOL 270,Microbiology,4,"One BIOL course and one semester of chemistry from among CHEM 104, CHEM 106, CHEM 111, or CHEM 201. Fall, Spring, Summer"
BIOL 271,Principles of Microbiology,4,
BIOL 280,Biological Laboratory Experiences for Elementary Teachers,3,
BIOL 300,Evolutionary Analysis,3,"BIOL 105, BIOL 106, BIOL 211"
BIOL 305,Invertebrate Zoology,4,"BIOL 105, BIOL 106"
BIOL 306,Vertebrate Zoology,4,"BIOL 105, BIOL 106"
BIOL 310,Basics of Human Physiology,4,"BIOL 220, CHEM 104 or CHEM 106 or CHEM 111 or CHEM 201"
BIOL 320,Cell Biology,4,"BIOL 105 and BIOL 106, BIOL 211"
BIOL 324,Neurobiology,3,BIOL 220
BIOL 325,Principles of Human Anatomy,4,BIOL 105
BIOL 330,Principles of Human Physiology,4,"BIOL 220, CHEM 104 or CHEM 106 or CHEM 111 or CHEM 201"
BIOL 346,Advanced Agronomy,3,"BIOL 146, BIOL 246"
BIOL 371,Microbiology,4,"BIOL 105, BIOL 106, CHEM 201"
BIOL 380,Blood Banking/Urinalysis,3,
BIOL 398,RISEbio research,2,"BIOL 105, BIOL 106. RISEbio program participant, instructor permission"
BIOL 402,Stream Ecology,4,"BIOL 105, BIOL 106, BIOL 215 or consent"
BIOL 403,Conservation Biology,3,BIOL 215 or consent
BIOL 404,Wetlands,4,BIOL 215
BIOL 406,Fish Management,4,BIOL 215
BIOL 409,Advanced Field Ecology,4,"BIOL 105, BIOL 106, BIOL 215 or consent"
BIOL 410,Global Change Biology,3,"BIOL 105, BIOL 106, BIOL 215 or consent"
BIOL 411,Human Genetics,3,
BIOL 412,Soil Ecology,4,"BIOL 105, BIOL 106, BIOL 215, or consent"
BIOL 413,Bioinformatics,4,"BIOL 105, BIOL 106, BIOL 211"
BIOL 414,Ichthyology,4,BIOL 306
BIOL 415,Ornithology,4,"BIOL 105, BIOL 106, BIOL 306"
BIOL 417,Biology of Aging and Chronic Diseases,3,BIOL 100 or BIOL 105
BIOL 420,Diagnostic Parasitology,4,"BIOL 100 or BIOL 105, BIOL 106 recommended"
BIOL 421,Entomology,3,BIOL 105 and BIOL 106 or consent
BIOL 423,Comparative Vertebrate Anatomy,4,"BIOL 105, BIOL 106, BIOL 306"
BIOL 424,Developmental Biology,3,BIOL 100 or BIOL 105
BIOL 425,Developmental Biology Lab,1,BIOL 211; Co-requisite: BIOL 424
BIOL 430,Hematology/Introduction to Immunology,4,
BIOL 431,Comparative Animal Physiology,3,"BIOL 105, BIOL 106 or consent"
BIOL 432,Lake Ecology,4,BIOL 215
BIOL 433,Cardiovascular Physiology,3,
BIOL 434,Animal Physiology,4,"CHEM 201, BIOL 423"
BIOL 435,Histology,4,BIOL 220
BIOL 436,Animal Behavior,4,"BIOL 105, BIOL 106"
BIOL 438,General Endocrinology,3,BIOL 100 or BIOL 105
BIOL 440,Wildlife Management,4,"BIOL 105, BIOL 106, BIOL 215, BIOL 306"
BIOL 441,Plant Physiology,4,"BIOL 105, BIOL 106, BIOL 217, one semester organic chemistry recommended."
BIOL 442,Flora of Minnesota,4,
BIOL 443W,Plant Ecology,4,
BIOL 446,Principles of Weed Science,4,"BIOL 215, BIOL 217"
BIOL 451,Agroecology,4,"BIOL 105, BIOL 106"
BIOL 452,Biological Instrumentation,3,"BIOL 105, BIOL 106, or consent"
BIOL 453,Biological Engineering Analysis I,4,"BIOL 270 and one semester each of calculus, physics, and organic chemistry, taken concurrently with BIOL 456."
BIOL 454,Biological Engineering Analysis II,4,"BIOL 453, taken currently with BIOL 457"
BIOL 456,Biotechnology Project/Laboratory I,3,Concurrent enrollment in BIOL 453
BIOL 457,Biotechnology Project/Laboratory II,3,"BIOL 456, taken concurrently with BIOL 454"
BIOL 466,Principles of Pharmacology,3,"CHEM 201, BIOL 211. Select 1 course: BIOL 320 BIOL 330, BIOL 431, BIOL 441, BIOL 476"
BIOL 472,Microbial Ecology and Bioremediation,4,"BIOL 105, BIOL 106, and BIOL 270"
BIOL 473,Virology,3,"BIOL 105, BIOL 106, and BIOL 270"
BIOL 474,Immunology,4,"BIOL 105, BIOL 106, and BIOL 270"
BIOL 475,Medical Microbiology,4,BIOL 270
BIOL 476,Microbial Physiology and Genetics,5,"BIOL 105, BIOL 106, BIOL 270"
BIOL 478,Food Microbiology and Sanitation,4,"BIOL 105, BIOL 106 and BIOL 270"
BIOL 479,Molecular Biology,4,"BIOL 105, BIOL 106, BIOL 211"
BIOL 481,Lab Supervision and Maintenance,1,
BIOL 485,Biology Teaching Methods and Materials,4,16 credits BIOL
BIOL 487,Nuclear Medicine Technology Internship I,17,
BIOL 488,Nuclear Medicine Technology Internship II,17,
BIOL 489,Senior Seminar,1,Consent
BIOL 490,Workshop,1-4,
BIOL 493,Cytotechnology Clinical Internship I,1-12,
BIOL 494,Cytotechnology Clinical Internship II,1-12,
BIOL 495,Cytotechnology Clinical Internship III,1-12,
BIOL 496,Cytotechnology Clinical Internship IV,1-12,
BIOL 497,Internship I,1-12,Consent
BIOL 498,Internship II,1-12,Consent
BIOL 499,Individual Study,1-4,
BLAW 200,Legal Environment of Business,3,
BLAW 398,CPT: Co-Operative Experience,0,Permission of the Chairperson of the department; co-op contract; other prerequisites may also apply.
BLAW 450,Contract Law and Professional Responsibility,3,BLAW 200
BLAW 452,Employment Law,3,BLAW 200
BLAW 453,International Legal Environment of Business,3,BLAW 200
BLAW 455,Legal Aspects of Banking and Finance,3,BLAW 200
BLAW 471,Technology and Intellectual Property Law,3,
BLAW 474,Environmental Law,3,BLAW 200
BLAW 476,Construction and Design Law,3,BLAW 200
BLAW 477,Negotiation and Conflict Resolution,3,BLAW 200
BLAW 483,Special Topics,1-3,
BLAW 492,Study Tour,1-3,
BLAW 497,Internship,1-8,
BLAW 498,Internship,1-3,
BLAW 499,Individual Study,1-4,
BUS 295,Professional Preparation for Business Careers,2,
BUS 397,IBE Practicum,3,All other BBA program courses (excluding two capstone courses) must be complete with a mastery of 70% or higher.
BUS 491,BBA Capstone I,1,All other BBA program courses (excluding two capstone courses) must be complete with a mastery of 70% or higher.
BUS 492,BBA Capstone II,3,BUS 491
CAHN 101W,The Health Care Professions,3,
CDIS 201,Observation of Human Communication,3,
CDIS 205,Beginning American Sign Language - Level I,3,
CDIS 220,Basic Audiology,3,
CDIS 290,Introduction to Communication Disorders,3,
CDIS 291,Individual Study,1-3,
CDIS 306,Intermediate American Sign Language - Level II,3,
CDIS 307,Advanced I American Sign Language - Level III,3,
CDIS 308,Conversations in American Sign Language,1,
CDIS 312,Speech and Language Development,3,
CDIS 320,Beginning and Intermediate Audiometrics,2,
CDIS 322,Speech and Hearing Science,3,
CDIS 346,Cultural Humility in Communication Sciences and Disorders,3,
CDIS 350W,Interprofessional Practice and Research,3,
CDIS 392,Phonetics,3,
CDIS 394,Applied Anatomy and Physiology,3,
CDIS 401,Hearing Disorders,3,
CDIS 402,Child Language Disorders,2,
CDIS 403,Child Language Disorders Lab,1,
CDIS 404,"Deaf Studies: Deaf Culture, History and Social Justice",3,
CDIS 407,Advanced II American Sign Language - Level IV,3,"CDIS 306, CDS 307"
CDIS 408,Seminar in Central Auditory Processing Disorders,3,
CDIS 409W,Literacy Foundations and Disorders for Speech-Language Pathologists,3,
CDIS 410,Neurological Bases of Speech,2,
CDIS 416,Voice and Resonance Disorders,3,
CDIS 420,Advanced Audiometrics,2,
CDIS 421,Aural Rehabilitation,3,
CDIS 422,Hearing Across the Lifespan,2,
CDIS 431,Observation of Clinical Methods in Speech-Language Pathology,1,Concurrent enrollment in CDIS 434
CDIS 434,Clinical Methods in Speech-Language Pathology,2,"Consent, concurrent enrollment in CDIS 431"
CDIS 438,Speech Sound Disorders,3,
CDIS 444,Appraisal and Diagnosis,3,
CDIS 445,Grand Rounds-Foundation,1,
CDIS 446,Grand Rounds-Presentation,2,
CDIS 447,Counseling in Communication Sciences and Disorders,3,
CDIS 457W,Transdisciplinary Research in Health-Related Fields,3,
CDIS 477,Interprofessional Practices,1,
CDIS 491,Inservice,1-6,
CDIS 495,Clinical Practicum: Speech/Language Disorders,2,"ENG 101, CHEM 324"
CHEM 100,Chemistry in Society,3,
CHEM 101,Skills for General Chemistry,2,
CHEM 104,Introduction to Chemistry,3,
CHEM 106,Chemistry of Life Process Part I (General),3,High school algebra recommended
CHEM 111,Chemistry of Life Process Part II (Organic & Biochemistry),5,CHEM 106 or high school chemistry
CHEM 131,Forensic Science,3,
CHEM 134,Mind Altering Substances,3,
CHEM 190,Learning in Chemistry Applications,1,
CHEM 191,Chemistry Applications,3,"High school chemistry or ""C"" (2.0) or higher in CHEM 104. Student must demonstrate math placement requirements at or above MATH 115 in the placement chart. See Mathematics for details."
CHEM 200,GC1 Laboratory Component,1,CHEM 191
CHEM 201,General Chemistry I,5,"""C"" (2.0) or higher in MATH 112 or the equivalent; high school chemistry or ""C"" (2.0) or higher in CHEM 104."
CHEM 202,General Chemistry II,5,"""C"" (2.0) or higher in CHEM 201"
CHEM 281,Biochemistry and Chemistry Professional Foundations,1,CHEM 322
CHEM 299,Individual Study,1-6,
CHEM 305,Analytical Chemistry,4,"""C"" (2.0) or higher in CHEM 202"
CHEM 316,Descriptive Inorganic Main Group Chemistry,3,"""C"" (2.0) or higher in CHEM 202"
CHEM 317,Transition Metal Chemistry,3,"""C"" (2.0) or higher in CHEM 202"
CHEM 322,Organic Chemistry I,4,"CHEM 202, ""C"" (2.0) or higher in CHEM 202."
CHEM 324,Organic Chemistry II,3,"CHEM 322 with a ""C"" (2.0) or higher."
CHEM 325,Organic Chemistry II Lab,1,CHEM 324
CHEM 360,Principles of Biochemistry,4,CHEM 322. CHEM 324 is strongly recommended.
CHEM 398,RISE Biochem Research,2,"BIOL 105, CHEM 201"
CHEM 407,Environmental Chemistry,3,"""C"" (2.0) or higher in CHEM 305"
CHEM 419,Physical Inorganic Chemistry Foundations,2,"""C"" (2.0) or higher in CHEM 322, MATH 121"
CHEM 423,Spectroscopic Determination of Structure,4,CHEM 322
CHEM 424,Advanced Organic Chemistry,3,"CHEM 324. ""C"" (2.0) or higher"
CHEM 445,Physical Chemistry I,4,"MATH 121, PHYS 211, CHEM 305"
CHEM 446,Physical Chemistry II,3,CHEM 445
CHEM 450,Physical Chemistry Laboratory I,1,CHEM 445
CHEM 451,Physical Chemistry Laboratory II,1,CHEM 445
CHEM 460,Biochemistry I,3,"BIOL 106, CHEM 324. BIOL 106 or permission ""C"" (2.0) or higher in all prerequisites."
CHEM 461,Biochemistry II,3,CHEM 460
CHEM 465,Biochemical Techniques I,2,"Concurrent registration in CHEM 460 or completion of CHEM 460 with ""C"" or higher. CHEM 305 is highly recommended."
CHEM 466,Biochemical Techniques II,2,
CHEM 467,Biochemistry of Cancer and Therapeutics,3,CHEM 360 or CHEM 460
CHEM 475,Instrumental Analysis,4,CHEM 305. PHYS 212 or PHYS 223.
CHEM 479,Teaching Physical Science,4,Consent
CHEM 481W,Inquiry and Writing in Biochemistry and Chemistry,3,
CHEM 489,Senior Capstone,1,CHEM 445 or CHEM 465
CHEM 490,Workshop,1-6,
CHEM 497,Internship,1-16,
CHEM 498,Undergraduate Research,1-6,
CHEM 499,Individual Study,1-6,
CHIN 101,Elementary Mandarin I,5,
CHIN 102,Elementary Mandarin II,5,
CIS 100,Introduction to Computing and Applications,4,
CIS 101,Introduction to Information Systems,3,
CIS 113,Health Humanities and Health Informatics,4,
CIS 115,Big Ideas of Computer Science,4,
CIS 121,Introduction to Programming,4,MATH 112 or MATH 113 or MATH 115 or MATH 121
