Course Number,Course Name,Credit Count,Prerequisites,Color Group,General Education Goal Area
AOS 488,Professional Studies Portfolio,2 credits,N/A,N/A,N/A
AOS 499,Individual Study,1-12 credits,N/A,N/A,N/A
ART 100,Elements and Principles of Art,3 credits,N/A,N/A,N/A
ART 101,Design Foundations,3 credits,N/A,N/A,N/A
ART 103,Three-Dimensional Design,3 credits,N/A,N/A,N/A
ART 110,Drawing Foundations,3 credits,N/A,N/A,N/A
ART 160,Introduction to Visual Culture,3 credits,N/A,N/A,N/A
ART 202,Introduction to Digital Media,3 credits,N/A,N/A,N/A
ART 210,Drawing,3 credits,N/A,N/A,N/A
ART 231,Mixed Media,3 credits,N/A,N/A,N/A
ART 240,Painting,3 credits,N/A,N/A,N/A
ART 245,Watercolor,3 credits,N/A,N/A,N/A
ART 250,Ceramics: Beginning Wheel,3 credits,N/A,N/A,N/A
ART 251,Ceramics: Beginning Handbuilding,3 credits,N/A,N/A,N/A
ART 260,Art History Survey I,3 credits,N/A,N/A,N/A
ART 261,Art History Survey II,3 credits,N/A,N/A,N/A
ART 265W,Art As Politics,3 credits,N/A,N/A,N/A
ART 271,Printmaking: Beginning Intaglio/Relief,3 credits,N/A,N/A,N/A
ART 275,Introduction to Photography,3 credits,N/A,N/A,N/A
ART 280,Sculpture,3 credits,N/A,N/A,N/A
ART 285,Introduction to Installation,3 credits,N/A,N/A,N/A
ART 294,Topics,3 credits,N/A,N/A,N/A
ART 302,Interaction Design,3 credits,N/A,N/A,N/A
ART 324,Concept and Image,3 credits,N/A,N/A,N/A
ART 304,ART 340 Painting,3 credits,N/A,N/A,N/A
ART 350,Intermediate Ceramics,3 credits,N/A,N/A,N/A
ART 380,Sculpture,3 credits,N/A,N/A,N/A
ART 391,Portfolio Review,0 credits,N/A,N/A,N/A
ART 104,ART 392 Portfolio Review: Graphic Design,0 credits,N/A,N/A,N/A
ART 392,ART 402 Motion Graphics,3 credits,N/A,N/A,N/A
ARTR 392,ART 404 Typography II,3 credits,N/A,N/A,N/A
ART 406,Web Design I,3 credits,N/A,N/A,N/A
ART 410,Drawing Workshop,3-6 credits,N/A,N/A,N/A
ART 310,ART 417 Medieval Art and Architecture,3 credits,N/A,N/A,N/A
ART 419,Gender in Art,3 credits,N/A,N/A,N/A
ART 420,Graphic Design III,3-6 credits,N/A,N/A,N/A
ART 424,Art Education for the Exceptional Child,3 credits,N/A,N/A,N/A
ART 421,ART 426 Art Methods Secondary School,3 credits,N/A,N/A,N/A
ART 436,Web Design II,3 credits,N/A,N/A,N/A
ART 340,ART 444 Typography III,3 credits,N/A,N/A,N/A
ART 404,ART 450 Advanced Ceramics,3-6 credits,N/A,N/A,N/A
ART 462,Renaissance Art,3 credits,N/A,N/A,N/A
ART 463,Mannerism to Romanticism,3 credits,N/A,N/A,N/A
ART 467,Art of the Islamic World,3 credits,N/A,N/A,N/A
ART 468,Design: History and Theory,3 credits,N/A,N/A,N/A
ART 469,Asian Art,3 credits,N/A,N/A,N/A
ART 470,Printmaking: Advanced Studio,3-6 credits,N/A,N/A,N/A
ART 370,ART 475 Advanced Photography Studio,3-6 credits,N/A,N/A,N/A
ART 477W,Roots of Modern Islamic Art,3 credits,N/A,N/A,N/A
ART 480,Sculpture,3-6 credits,N/A,N/A,N/A
ART 492,Art History Seminar,1-6 credits,N/A,N/A,N/A
ART 494,Topics,3 credits,N/A,N/A,N/A
ART 495,Senior Exhibit,0-1 credits,N/A,N/A,N/A
ART 496,Art History Senior Thesis,1 credits,N/A,N/A,N/A
ART 497,Internship,1-6 credits,N/A,N/A,N/A
ART 499,Individual Study,1-6 credits,N/A,N/A,N/A
AST 101,Introduction to Astronomy,3 credits,N/A,N/A,N/A
AST 102,Introduction to the Planets,3 credits,N/A,N/A,N/A
AST 115,Life in the Universe,2 credits,N/A,N/A,N/A
AST 115W,Life in the Universe,2 credits,N/A,N/A,N/A
AST 125,Observational Astronomy,3 credits,N/A,N/A,N/A
AST 215,Astronomy and Astrophysics I,4 credits,N/A,N/A,N/A
AST 225,Astronomy and Astrophysics II,4 credits,N/A,N/A,N/A
PHYS 222,AST 351 Telescope Operations,2 credits,N/A,N/A,N/A
AST 353,Photometry I,2 credits,N/A,N/A,N/A
AST 495,Selected Topics,1-4 credits,N/A,N/A,N/A
AST 499,Individual Study,1-8 credits,N/A,N/A,N/A
MATH 121,AE 334 Fluid Power,3 credits,N/A,N/A,N/A
PHYS 221,AE 366 Automotive Thermodynamics & Engine Design,3 credits,N/A,N/A,N/A
CHEM 201,AE 387 Junior Design Project,2 credits,N/A,N/A,N/A
STAT 354,AE 436 Hybrid and Electric Vehicles,3 credits,N/A,N/A,N/A
AET 160,Automotive Technology & Systems,4 credits,N/A,N/A,N/A
AET 261,Automotive Driveability and Diagnosis,4 credits,N/A,N/A,N/A
AET 262,Automotive Computers and Electronics,4 credits,N/A,N/A,N/A
EET 113,AET 280 Data Acquisition and Analysis,3 credits,N/A,N/A,N/A
PHYS 211,AET 364 Chassis Design and Performance Testing,4 credits,N/A,N/A,N/A
AET 366,Automotive Thermodynamics and Engine Design,3 credits,N/A,N/A,N/A
STAT 154,AET 398 CPT: Co-Operative Experience,0 credits,N/A,N/A,N/A
AET 435,Automotive Design and Construction,1-4 credits,N/A,N/A,N/A
AET 436,Hybrid and Electric Vehicles,3 credits,N/A,N/A,N/A
AET 468,Automotive Research Methods,4 credits,N/A,N/A,N/A
MET 324,AET 492 Automotive Seminar,1-4 credits,N/A,N/A,N/A
AET 497,Internship: Automotive,1-10 credits,N/A,N/A,N/A
AET 499,Individual Study,1-4 credits,P,N/A,N/A
AVIA 100,Aviation Program Orientation,1 credits,N/A,N/A,N/A
AVIA 101,World of Aviation,3 credits,N/A,N/A,N/A
AVIA 102,Aviation Terminology,3 credits,N/A,N/A,N/A
AVIA 150,Private Pilot,3 credits,N/A,N/A,N/A
AVIA 151,Private Pilot Flight Lab,2 credits,N/A,N/A,N/A
AVIA 152,Private Pilot Helicopter Flight Lab,3 credits,N/A,N/A,N/A
AVIA 153,Private Pilot Flight Lab II,1 credits,N/A,N/A,N/A
AVIA 160,Introduction to UAS,3 credits,N/A,N/A,N/A
AVIA 171,Multi-Engine Flight Lab,1 credits,N/A,N/A,N/A
AVIA 201,Theory of Flight,3 credits,N/A,N/A,N/A
AVIA 202,Principles of Air Navigation,3 credits,N/A,N/A,N/A
AVIA 241,Instrument Pilot Flight Lab,2 credits,N/A,N/A,N/A
AVIA 242,Instrument Pilot Helicopter Flight Lab,3 credits,N/A,N/A,N/A
AVIA 250,Commercial Pilot,3 credits,N/A,N/A,N/A
AVIA 240,AVIA 251 Commercial Pilot Flight Lab,2 credits,N/A,N/A,N/A
AVIA 252,Commercial Pilot Helicopter Flight Lab,3 credits,N/A,N/A,N/A
AVIA 270,Helicopter Pilot,3 credits,N/A,N/A,N/A
AVIA 260,AVIA 275 Helicopter Flight Theory,3 credits,N/A,N/A,N/A
AVIA 300,Advanced Studies Orientation,1 credits,N/A,N/A,N/A
AVIA 305,Aviation Professional Communications,1 credits,N/A,N/A,N/A
AVIA 306,Intercollegiate Flight Team,1 credits,N/A,N/A,N/A
AVIA 333,Airline Operations,3 credits,N/A,N/A,N/A
AVIA 334,Aviation Management,3 credits,N/A,N/A,N/A
AVIA 336,Basic Aircraft Systems,3 credits,N/A,N/A,N/A
AVIA 337,Avionics,3 credits,N/A,N/A,N/A
AVIA 338,Advanced Aircraft Systems,3 credits,N/A,N/A,N/A
AVIA 340,Flight Operations,3 credits,N/A,N/A,N/A
AVIA 344,Airport Operations,3 credits,N/A,N/A,N/A
AVIA 360,Flight Instructor,3 credits,N/A,N/A,N/A
AVIA 365,UAS Sensors,3 credits,N/A,N/A,N/A
AVIA 253,AVIA 375 UAS Telemetry and Communication,3 credits,N/A,N/A,N/A
AVIA 370,AVIA 383 Flight Instructor Helicopter Flight Lab,1 credits,N/A,N/A,N/A
AVIA 392,Instrument Instructor Helicopter Flight Lab,1 credits,N/A,N/A,N/A
AVIA 435,Aviation Law – Transactions,3 credits,N/A,N/A,N/A
AVIA 432,AVIA 436 Flight Operations and Procedures,3 credits,N/A,N/A,N/A
GEOG 217,AVIA 444 Aircraft Dispatcher 2,3 credits,N/A,N/A,N/A
AVIA 443,AVIA 445 Aviation Human Factors,3 credits,N/A,N/A,N/A
AVIA 450,AVIA 452 Professional Aviator Course,3 credits,N/A,N/A,N/A
AVIA 455,Aircraft Performance,3 credits,N/A,N/A,N/A
AVIA 470,Advanced UAS Operation,3 credits,N/A,N/A,N/A
AVIA 375,AVIA 480 UAS Emphasis Senior project/Capstone,4 credits,N/A,N/A,N/A
AVIA 490,Aviation Workshop,1-10 credits,N/A,N/A,N/A
AVIA 499,Individual Study in Aviation,1-6 credits,N/A,N/A,N/A
BIOL 100,Our Natural World,4 credits,N/A,N/A,N/A
BIOL 102,Biology of Women,3 credits,N/A,N/A,N/A
BIOL 104,Introduction to Soil Science,4 credits,N/A,N/A,N/A
BIOL 105,General Biology I,4 credits,N/A,N/A,N/A
BIOL 106,General Biology II,4 credits,N/A,N/A,N/A
BIOL 125,Livestock Production,3 credits,N/A,N/A,N/A
BIOL 136,Forages and Pasture Management,2 credits,N/A,N/A,N/A
BIOL 146,Agronomy I,2 credits,N/A,N/A,N/A
BIOL 175,Orientation to Clinical Laboratory Science,1 credits,N/A,N/A,N/A
BIOL 201,Anatomy & Physiology I,4 credits,N/A,N/A,N/A
BIOL 202,Anatomy & Physiology II,4 credits,N/A,N/A,N/A
BIOL 204,Soils II,3 credits,N/A,N/A,N/A
GEOL 104,BIOL 211 Genetics,4 credits,N/A,N/A,N/A
MATH 112,BIOL 215 General Ecology,4 credits,N/A,N/A,N/A
BIOL 217,Plant Science,4 credits,N/A,N/A,N/A
BIOL 220,Human Anatomy,4 credits,N/A,N/A,N/A
BIOL 246,Agronomy II,3 credits,N/A,N/A,N/A
BIOL 271,Principles of Microbiology,4 credits,N/A,N/A,N/A
BIOL 300,Evolutionary Analysis,3 credits,N/A,N/A,N/A
BIOL 211,BIOL 305 Invertebrate Zoology,4 credits,N/A,N/A,N/A
BIOL 320,Cell Biology,4 credits,N/A,N/A,N/A
BIOL 346,Advanced Agronomy,3 credits,N/A,N/A,N/A
BIOL 371,Microbiology,4 credits,N/A,N/A,N/A
BIOL 398,RISEbio research,2 credits,N/A,N/A,N/A
BIOL 402,Stream Ecology,4 credits,N/A,N/A,N/A
BIOL 403,Conservation Biology,3 credits,N/A,N/A,N/A
BIOL 404,Wetlands,4 credits,N/A,N/A,N/A
BIOL 215,BIOL 406 Fish Management,4 credits,N/A,N/A,N/A
BIOL 410,Global Change Biology,3 credits,N/A,N/A,N/A
BIOL 411,Human Genetics,3 credits,N/A,N/A,N/A
BIOL 412,Soil Ecology,4 credits,N/A,N/A,N/A
BIOL 413,Bioinformatics,4 credits,N/A,N/A,N/A
BIOL 415,Ornithology,4 credits,N/A,N/A,N/A
BIOL 306,BIOL 417 Biology of Aging and Chronic Diseases,3 credits,N/A,N/A,N/A
BIOL 421,Entomology,3 credits,N/A,N/A,N/A
BIOL 423,Comparative Vertebrate Anatomy,4 credits,N/A,N/A,N/A
BIOL 424,BIOL 430 Hematology/Introduction to Immunology,4 credits,N/A,N/A,N/A
BIOL 431,Comparative Animal Physiology,3 credits,N/A,N/A,N/A
BIOL 432,Lake Ecology,4 credits,N/A,N/A,N/A
BIOL 434,Animal Physiology,4 credits,N/A,N/A,N/A
BIOL 442,Flora of Minnesota,4 credits,N/A,N/A,N/A
BIOL 443W,Plant Ecology,4 credits,N/A,N/A,N/A
BIOL 446,Principles of Weed Science,4 credits,N/A,N/A,N/A
BIOL 453,Biological Engineering Analysis I,4 credits,N/A,N/A,N/A
BIOL 454,Biological Engineering Analysis II,4 credits,N/A,N/A,N/A
BIOL 457,BIOL 456 Biotechnology Project/Laboratory I,3 credits,N/A,N/A,N/A
BIOL 476,BIOL 472 Microbial Ecology and Bioremediation,4 credits,N/A,N/A,N/A
BIOL 270,BIOL 473 Virology,3 credits,N/A,N/A,N/A
BIOL 478,Food Microbiology and Sanitation,4 credits,N/A,N/A,N/A
BIOL 485,Biology Teaching Methods and Materials,4 credits,N/A,N/A,N/A
BIOL 487,Nuclear Medicine Technology Internship I,17 credits,N/A,N/A,N/A
BIOL 488,Nuclear Medicine Technology Internship II,17 credits,N/A,N/A,N/A
BIOL 489,Senior Seminar,1 credits,N/A,N/A,N/A
BIOL 490,Workshop,1-4 credits,N/A,N/A,N/A
BIOL 493,Cytotechnology Clinical Internship I,1-12 credits,N/A,N/A,N/A
BIOL 494,Cytotechnology Clinical Internship II,1-12 credits,N/A,N/A,N/A
BIOL 495,Cytotechnology Clinical Internship III,1-12 credits,N/A,N/A,N/A
BIOL 496,Cytotechnology Clinical Internship IV,1-12 credits,N/A,N/A,N/A
BIOL 497,Internship I,1-12 credits,N/A,N/A,N/A
BIOL 498,Internship II,1-12 credits,N/A,N/A,N/A
BIOL 499,Individual Study,1-4 credits,N/A,N/A,N/A
BUS 295,Professional Preparation for Business Careers,2 credits,N/A,N/A,N/A
BUS 397,IBE Practicum,3 credits,N/A,N/A,N/A
BUS 491,BBA Capstone I,1 credit,N/A,N/A,N/A
BUS 492,BBA Capstone II,3 credits,N/A,N/A,N/A
BLAW 200,Legal Environment of Business,3 credits,N/A,N/A,N/A
BLAW 398,CPT: Co-Operative Experience,0 credits,N/A,N/A,N/A
BLAW 450,Contract Law and Professional Responsibility,3 credits,N/A,N/A,N/A
BLAW 474,Environmental Law,3 credits,N/A,N/A,N/A
BLAW 492,Study Tour,1-3 credits,N/A,N/A,N/A
BLAW 497,Internship,1-8 credits,N/A,N/A,N/A
BLAW 498,Internship,1-3 credits,N/A,N/A,N/A
BLAW 499,Individual Study,1-4 credits,N/A,N/A,N/A
CAHN 101W,The Health Care Professions,3 credits,N/A,N/A,N/A
CHEM 100,Chemistry in Society,3 credits,N/A,N/A,N/A
CHEM 101,Skills for General Chemistry,2 credits,N/A,N/A,N/A
CHEM 104,Introduction to Chemistry,3 credits,N/A,N/A,N/A
CHEM 106,Chemistry of Life Process Part I (General),3 credits,N/A,N/A,N/A
CHEM 131,Forensic Science,3 credits,N/A,N/A,N/A
CHEM 134,Mind Altering Substances,3 credits,N/A,N/A,N/A
CHEM 190,Learning in Chemistry Applications,1 credits,N/A,N/A,N/A
CHEM 191,Chemistry Applications,3 credits,N/A,N/A,N/A
CHEM 200,GC1 Laboratory Component,1 credits,N/A,N/A,N/A
CHEM 202,General Chemistry II,5 credits,N/A,N/A,N/A
CHEM 322,CHEM 299 Individual Study,1-6 credits,N/A,N/A,N/A
CHEM 305,Analytical Chemistry,4 credits,N/A,N/A,N/A
CHEM 324,Organic Chemistry II,3 credits,N/A,N/A,N/A
CHEM 325,Organic Chemistry II Lab,1 credits,N/A,N/A,N/A
CHEM 398,RISE Biochem Research,2 credits,N/A,N/A,N/A
CHEM 445,Physical Chemistry I,4 credits,N/A,N/A,N/A
CHEM 446,Physical Chemistry II,3 credits,N/A,N/A,N/A
CHEM 461,Biochemistry II,3 credits,N/A,N/A,N/A
CHEM 460,CHEM 465 Biochemical Techniques I,2 credits,N/A,N/A,N/A
CHEM 466,Biochemical Techniques II,2 credits,N/A,N/A,N/A
CHEM 467,Biochemistry of Cancer and Therapeutics,3 credits,N/A,N/A,N/A
CHEM 479,Teaching Physical Science,4 credits,N/A,N/A,N/A
CHEM 489,Senior Capstone,1 credits,N/A,N/A,N/A
CHEM 465,CHEM 490 Workshop,1-6 credits,N/A,N/A,N/A
CHEM 497,Internship,1-16 credits,N/A,N/A,N/A
CHEM 498,Undergraduate Research,1-6 credits,N/A,N/A,N/A
CHEM 499,Individual Study,1-6 credits,N/A,N/A,N/A
CHIN 101,Elementary Mandarin I,5 credits,N/A,N/A,N/A
CHIN 102,Elementary Mandarin II,5 credits,N/A,N/A,N/A
CIVE 100,Explorations in Engineering,1 credits,N/A,N/A,N/A
CIVE 101,Introduction to Engineering – Civil,2 credits,N/A,N/A,N/A
CIVE 145,CAD for Civil Engineering,2 credits,N/A,N/A,N/A
CIVE 271,Civil Engineering Measurements,2 credits,N/A,N/A,N/A
CIVE 321,Fluid Mechanics,3 credits,N/A,N/A,N/A
CIVE 340,Structural Analysis,3 credits,N/A,N/A,N/A
CIVE 350,Hydraulics and Hydrology,4 credits,N/A,N/A,N/A
CIVE 360,Geotechnical Engineering,4 credits,N/A,N/A,N/A
CIVE 370W,Transportation Engineering,4 credits,N/A,N/A,N/A
CIVE 380,Environmental Engineering,3 credits,N/A,N/A,N/A
CIVE 398,CPT: Co-Operative Experience,0 credits,N/A,N/A,N/A
CIVE 401W,Civil Engineering Design I,2 credits,N/A,N/A,N/A
CIVE 415,Boundary Survey and Law,3 credits,N/A,N/A,N/A
CIVE 417,Surveying Capstone,2 credits,N/A,N/A,N/A
CIVE 432,Properties of Concrete,3 credits,N/A,N/A,N/A
CIVE 435,Civil Engineering Experimentation I,2 credits,N/A,N/A,N/A
CIVE 461,Fundamentals of Pavement Design,3 credits,N/A,N/A,N/A
CIVE 235,CIVE 465 Foundation Design,3 credits,N/A,N/A,N/A
CIVE 497,Internship,1-6 credits,N/A,N/A,N/A
CIVE 499,Individual Study,1-6 credits,N/A,N/A,N/A
COMM 100,Fundamentals of Communication,3 credits,N/A,N/A,N/A
COMM 102,Public Speaking,3 credits,N/A,N/A,N/A
COMM 105W,Interpersonal Communication,4 credits,N/A,N/A,N/A
COMM 110,Media and Society,4 credits,N/A,N/A,N/A
COMM 183,Introduction to Game Design and Storytelling,4 credits,N/A,N/A,N/A
COMM 198,Newsgathering Practicum,1 credits,N/A,N/A,N/A
COMM 199,Public Relations Practicum,1 credits,N/A,N/A,N/A
COMM 201,Small Group Communication,2-4 credits,N/A,N/A,N/A
COMM 202,Nonverbal Communication,4 credits,N/A,N/A,N/A
COMM 203,Intercultural Communication,4 credits,N/A,N/A,N/A
COMM 215,Effective Listening,2 credits,N/A,N/A,N/A
COMM 217,Experiential Storytelling,4 credits,N/A,N/A,N/A
COMM 220,Speech and Debate,0-4 credits,N/A,N/A,N/A
COMM 221W,Media Writing Fundamentals,4 credits,N/A,N/A,N/A
COMM 224,Foundations in Music Industry,4 credits,N/A,N/A,N/A
COMM 233,Public Relations Principles,4 credits,N/A,N/A,N/A
COMM 240,Special Topics,1-4 credits,N/A,N/A,N/A
COMM 242,Preparing for Advocacy,4 credits,N/A,N/A,N/A
COMM 260,Principles of Visual Mass Media,4 credits,N/A,N/A,N/A
COMM 280,Social Media and Society,4 credits,N/A,N/A,N/A
COMM 300,Foundation Seminar,2 credits,N/A,N/A,N/A
COMM 302,Argumentation,4 credits,N/A,N/A,N/A
COMM 306,Strategic Communication Research Methods,4 credits,N/A,N/A,N/A
COMM 307,Data Storytelling,4 credits,N/A,N/A,N/A
COMM 310,Performance of Literature,4 credits,N/A,N/A,N/A
COMM 312,Professional Communication and Interviewing,4 credits,N/A,N/A,N/A
COMM 314,Music Management and Concert Production,4 credits,N/A,N/A,N/A
COMM 315,"Ethics, Free Speech, and Free Press",4 credits,N/A,N/A,N/A
COMM 320,Advanced Speech and Debate,0-4 credits,N/A,N/A,N/A
COMM 321,Argumentation and Debate,4 credits,N/A,N/A,N/A
COMM 325W,Reporting and Editing,4 credits,N/A,N/A,N/A
COMM 326,Interpersonal Communication in Leadership,4 credits,N/A,N/A,N/A
COMM 330W,Multimedia Storytelling,4 credits,N/A,N/A,N/A
COMM 333,Advanced Public Communication,4 credits,N/A,N/A,N/A
COMM 334,Writing & Speaking for Broadcast,4 credits,N/A,N/A,N/A
COMM 335,Communication and Community,4 credits,N/A,N/A,N/A
COMM 340,Special Topics,1-4 credits,N/A,N/A,N/A
COMM 351,Visual Storytelling,4 credits,N/A,N/A,N/A
COMM 353,Creative Advertising Principles,4 credits,N/A,N/A,N/A
