Course Number,Course Name,Credit Count,Prerequisites,Color Group,General Education Goal Area
ANTH 485,"Topics in Anthropology 1-3 credits
This course allows faculty the flexibility to consider the challenges of new
developments in anthropology. Content will vary from one course to the
next. Students may take the course, with the permission of the instructor,
more than one time.
ANTH 486 Workshop 1-3 credits
A brief intensive hands-on introduction to an anthropological topic
usually as it applies to a particular issue or skill. Topics vary but might
include: Understanding that race is not a scientific concept; combating
racism and ethnocentrism; participant observation methods; culture
shock; cultural diversity and communication; forensics; cultural resource
conservation. Pre-req: Depends on topic and instructor.
Prerequisites: Depends on topic and instructor
ANTH 491 Archaeology Laboratory 1-3 credits
An introduction to archaeological laboratory techniques and
museological practice, through participation in the various
processes involved.
ANTH 492 Biological Anthropology Lab 1-3 credits
Guided advanced laboratory work in biological/physical anthropology.
Prerequisites: Consent
ANTH 493 Ethnology Lab 1-3 credits
Individual projects are done in close coordination with faculty member.
Prerequisites: Consent
ANTH 494 Linguistic Lab 1-3 credits
Individual projects are done in close coordination with faculty member.
ANTH 497 Internship 1-12 credits
Positions may vary considerably, but all involve actual working
conditions in various field positions such as museums, state parks,
archaeological excavations and agencies.
Prerequisites: Consent
ANTH 498 Internship: Teaching Anthropology 1-3 credits
Students will work with faculty in the preparation and delivery of course
materials in lower division undergraduate courses. Lecture/lab prep,
delivery, use of multimedia, leading discussions and exercises. Open to
senior majors and minors in good standing.
ANTH 499 Individual Study 1-6 credits
A specialized topic of the students’ choices. Coordination with a faculty
member is necessary.
Prerequisites: Consent
www.mnsu.edu 2024-2025 Undergraduate Catalog",207,N/A,N/A,N/A
AOS 101,Preparing for Leadership Careers,3,N/A,N/A,N/A
AOS 301,Introduction to Applied Leadership,3,N/A,N/A,N/A
AOS 320,Applied Leadership Communication Workshop,3,N/A,N/A,N/A
AOS 380W,Applied Leadership Workshop 2,3,N/A,N/A,N/A
AOS 420,Applied Leadership & Decision Making,3,N/A,N/A,N/A
AOS 430,Global Social Entrepreneurship,3,N/A,N/A,N/A
AOS 440,Social Enterprise,3,N/A,N/A,N/A
AOS 488,Professional Studies Portfolio,2,N/A,N/A,N/A
AOS 499,"Individual Study 1-12 credits
A specialized topic of the students’ choice. Coordination with a faculty
member is necessary.
ART
ART 100 Elements and Principles of Art",3,N/A,N/A,N/A
ART 101,Design Foundations,3,N/A,N/A,N/A
ART 103,Three-Dimensional Design,3,N/A,N/A,N/A
ART 110,Drawing Foundations,3,N/A,N/A,N/A
ART 160,Introduction to Visual Culture,3,N/A,N/A,N/A
ART 202,Introduction to Digital Media,3,N/A,N/A,N/A
ART 210,Drawing,3,N/A,N/A,N/A
ART 240,Painting,3,N/A,N/A,N/A
ART 100,"or ART 101, ART 110 or consent
ART 245 Watercolor",3,N/A,N/A,N/A
ART 251,Ceramics: Beginning Handbuilding,3,N/A,N/A,N/A
ART 260,Art History Survey I,3,N/A,N/A,N/A
ART 261,Art History Survey II,3,N/A,N/A,N/A
ART 265W,Art As Politics,3,N/A,N/A,N/A
ART 270,"Printmaking: Beginning Silkscreen and
Lithography",3,N/A,N/A,N/A
ART 271,Printmaking: Beginning Intaglio/Relief,3,N/A,N/A,N/A
ART 275,Introduction to Photography,3,N/A,N/A,N/A
ART 280,Sculpture,3,N/A,N/A,N/A
ART 302,Interaction Design,3,N/A,N/A,N/A
ART 320,Graphic Design II,3,N/A,N/A,N/A
ART 304,www.mnsu.edu 2024-2025 Undergraduate Catalog,209,N/A,N/A,N/A
ART 324,Concept and Image,3,N/A,N/A,N/A
ART 250,or ART,251,N/A,N/A,N/A
ART 370,Printmaking: Intermediate Studio,3,N/A,N/A,N/A
ART 372,Digital Printmaking,3,N/A,N/A,N/A
ART 380,Sculpture,3,N/A,N/A,N/A
ART 285,"or consent
ART 391 Portfolio Review",0,N/A,N/A,N/A
ART 104,ART 392 Portfolio Review: Graphic Design,0,N/A,N/A,N/A
ART 402,Motion Graphics,3,N/A,N/A,N/A
ARTR 392,ART 404 Typography II,3,N/A,N/A,N/A
ART 406,Web Design I,3,N/A,N/A,N/A
ART 417,Medieval Art and Architecture,3,N/A,N/A,N/A
ART 421,Art Methods Elementary School,3,N/A,N/A,N/A
ART 436,Web Design II,3,N/A,N/A,N/A
ART 444,Typography III,3,N/A,N/A,N/A
ART 404,"ART 450 Advanced Ceramics 3-6 credits
An advanced course which emphasizes individual research in technical,
aesthetic and conceptual considerations. May be repeated.
Prerequisites: ART",350,N/A,N/A,N/A
ART 460,Ancient Art,3,N/A,N/A,N/A
ART 468,Design: History and Theory,3,N/A,N/A,N/A
ART 469,Asian Art,3,N/A,N/A,N/A
ART 475,"Advanced Photography Studio 3-6 credits
Expanding technical knowledge and visual awareness while building a
portfolio in selected areas. May be repeated.
Corequisites: Two 300-level photography courses are required.
ART 477W Roots of Modern Islamic Art",3,N/A,N/A,N/A
ART 480,"Sculpture 3-6 credits
Continuing development of a strongly personal means of aesthetic
expression in three dimensions. May be repeated.
Prerequisites: ART",380,N/A,N/A,N/A
ART 485,"Advanced Installation 3-6 credits
This studio course focuses on the planning and implementation of
site-specific work. Students’ personal interests will be paramount in
the development of works that address site and audience. Professional
practices necessary to carry out installations will be emphasized,
including proposal development, project planning, and documentation.
Environmental impact, health, and safety will be addressed. The
course will cover a variety of installation artists and related readings.
May be repeated.
Prerequisites: ART 385 or consent
ART 492 Art History Seminar 1-6 credits
Specific problems in art emphasizing both individual research and
contributions to the seminar group on advanced, in-depth topics.
Prerequisites: Consent
ART 494 Topics",3,N/A,N/A,N/A
ART 495,"Senior Exhibit 0-1 credits
A required course in all art major degree programs. Students plan and
present art work in an exhibition. Cannot be taken same semester as
student teaching.
Prerequisites: Consent
ART 496 Art History Senior Thesis",1,N/A,N/A,N/A
ART 497,"Internship 1-6 credits
Field experience in professional settings relating to the specialization:
graphic design, museum or arts administration, etc. Pre: Jr. standing
with consent of advisor and department chair.
Prerequisites: Jr. standing with consent of advisor and department chair.
ART 499 Individual Study 1-6 credits
Advanced level pursuit of special projects of research on an independent
basis. Requires contractual agreement in art office for registration.
Prerequisites: Consent
Astronomy
AST 101 Introduction to Astronomy",3,N/A,N/A,N/A
AST 102,Introduction to the Planets,3,N/A,N/A,N/A
AST 115,Life in the Universe,2,N/A,N/A,N/A
AST 115W,Life in the Universe,2,N/A,N/A,N/A
AST 125,Observational Astronomy,3,N/A,N/A,N/A
AST 101,AST 201 Spherical Astronomy,2,N/A,N/A,N/A
AST 215,Astronomy and Astrophysics I,4,N/A,N/A,N/A
MATH 121,and PHYS,221,N/A,N/A,N/A
AST 225,Astronomy and Astrophysics II,4,N/A,N/A,N/A
PHYS 222,AST 351 Telescope Operations,2,N/A,N/A,N/A
BRC 250,"astrograph;
learning to install and operate ancillary equipment for both telescopes.
Prerequisites: AST 201 and AST 215, Consent
AST 353 Photometry I",2,N/A,N/A,N/A
AST 353,AST 355 Astrometry,2,N/A,N/A,N/A
AST 201,and AST,215,N/A,N/A,N/A
AST 357,Spectroscopy,2,N/A,N/A,N/A
PHYS 221,www.mnsu.edu 2024-2025 Undergraduate Catalog,213,N/A,N/A,N/A
CHEM 191,"or
CHEM",201,N/A,N/A,N/A
STAT 354,AE 436 Hybrid and Electric Vehicles,3,N/A,N/A,N/A
MFE 324,"and AE 468.
Prerequisites: MFE 341, AE 364, AE",387,N/A,N/A,N/A
AET 102,"Introduction to Automotive Engineering
Technology",1,N/A,N/A,N/A
AET 160,Automotive Technology & Systems,4,N/A,N/A,N/A
AET 261,Automotive Driveability and Diagnosis,4,N/A,N/A,N/A
AET 262,Automotive Computers and Electronics,4,N/A,N/A,N/A
EET 113,AET 280 Data Acquisition and Analysis,3,N/A,N/A,N/A
PHYS 211,AET 364 Chassis Design and Performance Testing,4,N/A,N/A,N/A
STAT 154,AET 398 CPT: Co-Operative Experience,0,N/A,N/A,N/A
AET 435,"Automotive Design and Construction 1-4 credits
Focuses on the design and construction of prototype vehicles. Topics
include: vehicle design decisions, rules, budgets, chassis design, body
and aerodynamics, drivetrain choices, construction techniques, and
test procedures. An experimental vehicle will be built in the course.
May be repeated.
Prerequisites: Permission Required
AET 436 Hybrid and Electric Vehicles",3,N/A,N/A,N/A
AET 366,AET 465 Automotive Laboratory Experience,2,N/A,N/A,N/A
AET 468,Automotive Research Methods,4,N/A,N/A,N/A
AET 387,"Corequisites: MET 324, AET",468,N/A,N/A,N/A
AET 489W,Senior Design Project II,3,N/A,N/A,N/A
MET 324,"AET 492 Automotive Seminar 1-4 credits
Selected automotive topics.
Prerequisites: Permission required
AET 497 Internship: Automotive 1-10 credits
Automotive work experience in an area pertinent to the student’s career
objective. Consent of internship coordinator required prior to the
beginning of employment and registration. Typically done between the
junior and senior year.
Prerequisites: 40 earned credits in AET/MET
AET 499 Individual Study 1-4 credits
Prerequisites: Permission required
Aviation
AVIA 100 Aviation Program Orientation",1,N/A,N/A,N/A
AVIA 101,World of Aviation,3,N/A,N/A,N/A
AVIA 102,Aviation Terminology,3,N/A,N/A,N/A
AVIA 150,Private Pilot,3,N/A,N/A,N/A
AVIA 151,Private Pilot Flight Lab,2,N/A,N/A,N/A
AVIA 152,Private Pilot Helicopter Flight Lab,3,N/A,N/A,N/A
AVIA 153,Private Pilot Flight Lab II,1,N/A,N/A,N/A
AVIA 160,Introduction to UAS,3,N/A,N/A,N/A
AVIA 171,Multi-Engine Flight Lab,1,N/A,N/A,N/A
AVIA 201,Theory of Flight,3,N/A,N/A,N/A
AVIA 202,Principles of Air Navigation,3,N/A,N/A,N/A
AVIA 241,Instrument Pilot Flight Lab,2,N/A,N/A,N/A
AVIA 242,Instrument Pilot Helicopter Flight Lab,3,N/A,N/A,N/A
AVIA 250,Commercial Pilot,3,N/A,N/A,N/A
AVIA 240,AVIA 251 Commercial Pilot Flight Lab,2,N/A,N/A,N/A
AVIA 252,Commercial Pilot Helicopter Flight Lab,3,N/A,N/A,N/A
AVIA 270,Helicopter Pilot,3,N/A,N/A,N/A
AVIA 260,AVIA 275 Helicopter Flight Theory,3,N/A,N/A,N/A
AVIA 300,Advanced Studies Orientation,1,N/A,N/A,N/A
ENG 271W,"or ENG 272W
216 2024-2025 Undergraduate Catalog www.mnsu.edu
AVIA 305 Aviation Professional Communications",1,N/A,N/A,N/A
AVIA 306,Intercollegiate Flight Team,1,N/A,N/A,N/A
AVIA 333,Airline Operations,3,N/A,N/A,N/A
AVIA 334,Aviation Management,3,N/A,N/A,N/A
AVIA 336,Basic Aircraft Systems,3,N/A,N/A,N/A
AVIA 337,Avionics,3,N/A,N/A,N/A
AVIA 338,Advanced Aircraft Systems,3,N/A,N/A,N/A
AVIA 340,Flight Operations,3,N/A,N/A,N/A
AVIA 344,Airport Operations,3,N/A,N/A,N/A
AVIA 360,Flight Instructor,3,N/A,N/A,N/A
AVIA 365,UAS Sensors,3,N/A,N/A,N/A
AVIA 253,AVIA 375 UAS Telemetry and Communication,3,N/A,N/A,N/A
AVIA 370,AVIA 383 Flight Instructor Helicopter Flight Lab,1,N/A,N/A,N/A
AVIA 392,Instrument Instructor Helicopter Flight Lab,1,N/A,N/A,N/A
AVIA 435,Aviation Law – Transactions,3,N/A,N/A,N/A
AVIA 432,AVIA 436 Flight Operations and Procedures,3,N/A,N/A,N/A
GEOG 217,AVIA 444 Aircraft Dispatcher 2,3,N/A,N/A,N/A
AVIA 443,AVIA 445 Aviation Human Factors,3,N/A,N/A,N/A
AVIA 450,Professional Pilot Theory,3,N/A,N/A,N/A
AVIA 452,Professional Aviator Course,3,N/A,N/A,N/A
AVIA 455,Aircraft Performance,3,N/A,N/A,N/A
AVIA 470,Advanced UAS Operation,3,N/A,N/A,N/A
AVIA 375,AVIA 480 UAS Emphasis Senior project/Capstone,4,N/A,N/A,N/A
AVIA 497,"Aviation Internship 1-12 credits
Supervised experience in business, industry, state or federal institutions.
AVIA 499 Individual Study in Aviation 1-6 credits
Allows the student an individual course of study on an aviation topic to
be arranged with the department.
Biology
BIOL 100 Our Natural World",4,N/A,N/A,N/A
BIOL 102,Biology of Women,3,N/A,N/A,N/A
BIOL 104,Introduction to Soil Science,4,N/A,N/A,N/A
BIOL 105,General Biology I,4,N/A,N/A,N/A
BIOL 106,General Biology II,4,N/A,N/A,N/A
BIOL 125,Livestock Production,3,N/A,N/A,N/A
BIOL 136,Forages and Pasture Management,2,N/A,N/A,N/A
BIOL 146,Agronomy I,2,N/A,N/A,N/A
BIOL 175,Orientation to Clinical Laboratory Science,1,N/A,N/A,N/A
BIOL 201,Anatomy & Physiology I,4,N/A,N/A,N/A
BIOL 202,Anatomy & Physiology II,4,N/A,N/A,N/A
BIOL 204,Soils II,3,N/A,N/A,N/A
GEOL 104,BIOL 211 Genetics,4,N/A,N/A,N/A
BIOL 217,Plant Science,4,N/A,N/A,N/A
BIOL 246,Agronomy II,3,N/A,N/A,N/A
BIOL 271,Principles of Microbiology,4,N/A,N/A,N/A
BIOL 280,"Biological Laboratory Experiences for Elementary
Teachers",3,N/A,N/A,N/A
BIOL 300,Evolutionary Analysis,3,N/A,N/A,N/A
BIOL 211,BIOL 305 Invertebrate Zoology,4,N/A,N/A,N/A
CHEM 104,or CHEM 106 or CHEM 111 or CHEM,201,N/A,N/A,N/A
BIOL 320,Cell Biology,4,N/A,N/A,N/A
BIOL 324,Neurobiology,3,N/A,N/A,N/A
BIOL 220,BIOL 325 Principles of Human Anatomy,4,N/A,N/A,N/A
BIOL 346,Advanced Agronomy,3,N/A,N/A,N/A
CHEM 201,BIOL 380 Blood Banking/Urinalysis,3,N/A,N/A,N/A
BIOL 398,RISEbio research,2,N/A,N/A,N/A
BIOL 402,Stream Ecology,4,N/A,N/A,N/A
BIOL 215,"or consent Summer
Prerequisites: BIOL 105, BIOL 106, BIOL 215 or consent
BIOL 403 Conservation Biology",3,N/A,N/A,N/A
BIOL 412,Soil Ecology,4,N/A,N/A,N/A
BIOL 413,Bioinformatics,4,N/A,N/A,N/A
BIOL 306,www.mnsu.edu 2024-2025 Undergraduate Catalog,221,N/A,N/A,N/A
BIOL 415,Ornithology,4,N/A,N/A,N/A
BIOL 100,or BIOL,105,N/A,N/A,N/A
BIOL 420,Diagnostic Parasitology,4,N/A,N/A,N/A
BIOL 425,Developmental Biology Lab,1,N/A,N/A,N/A
BIOL 424,BIOL 430 Hematology/Introduction to Immunology,4,N/A,N/A,N/A
BIOL 431,Comparative Animal Physiology,3,N/A,N/A,N/A
BIOL 434,Animal Physiology,4,N/A,N/A,N/A
BIOL 423,BIOL 435 Histology,4,N/A,N/A,N/A
BIOL 440,Wildlife Management,4,N/A,N/A,N/A
BIOL 442,Flora of Minnesota,4,N/A,N/A,N/A
BIOL 443W,Plant Ecology,4,N/A,N/A,N/A
BIOL 451,Agroecology,4,N/A,N/A,N/A
BIOL 453,Biological Engineering Analysis I,4,N/A,N/A,N/A
BIOL 270,"and one semester each of calculus, physics, and
organic chemistry, taken concurrently with BIOL 456.
BIOL 454 Biological Engineering Analysis II",4,N/A,N/A,N/A
BIOL 457,BIOL 456 Biotechnology Project/Laboratory I,3,N/A,N/A,N/A
BIOL 454,BIOL 466 Principles of Pharmacology,3,N/A,N/A,N/A
BIOL 472,Microbial Ecology and Bioremediation,4,N/A,N/A,N/A
BIOL 478,Food Microbiology and Sanitation,4,N/A,N/A,N/A
BIOL 479,Molecular Biology,4,N/A,N/A,N/A
BIOL 485,Biology Teaching Methods and Materials,4,N/A,N/A,N/A
BIOL 487,Nuclear Medicine Technology Internship I,17,N/A,N/A,N/A
BIOL 488,Nuclear Medicine Technology Internship II,17,N/A,N/A,N/A
BIOL 489,Senior Seminar,1,N/A,N/A,N/A
BIOL 490,"Workshop 1-4 credits
A variable topic course designed for a selected topic in Biology.
Workshops provide an intensive learning experience on a new topic in
the Biological Sciences and/ or hands-on experiences in a current area
not covered by other course offerings. The course involves background
reading, demonstrations, and laboratory or field experiences.
BIOL 493 Cytotechnology Clinical Internship I 1-12 credits
The clinical internship and training include lectures, demonstrations,
laboratory sessions, and clinical practicum in the area of cytotechnology.
Instructor permission required.
BIOL 494 Cytotechnology Clinical Internship II 1-12 credits
Continuation of Cytotechnology Clinical Internship I. The clinical
internship and training include lectures, demonstrations, laboratory
sessions, and clinical practicum in the area of cytotechnology. Instructor
Permission required.
BIOL 495 Cytotechnology Clinical Internship III 1-12 credits
Continuation of Cytotechnology Clinical Internship II. The clinical
internship and training include lectures, demonstrations, laboratory
sessions, and clinical practicum in the area of cytotechnology. Instructor
Permission required.
BIOL 496 Cytotechnology Clinical Internship IV 1-12 credits
Continuation of Cytotechnology Clinical Internship III. The clinical
internship and training include lectures, demonstrations, laboratory
sessions, and clinical practicum in the area of cytotechnology. Instructor
Permission required.
BIOL 497 Internship I 1-12 credits
Experience in applied biology according to a prearranged training
program for a minimum of five 40-hour weeks.
Prerequisites: Consent
BIOL 498 Internship II 1-12 credits
Experience in applied biology according to a prearranged training
program for a minimum of five 40-hour weeks. Only four credits can be
applied to the major.
Prerequisites: Consent
BIOL 499 Individual Study 1-4 credits
Individual Study
Business
BUS 295 Professional Preparation for Business Careers",2,N/A,N/A,N/A
BUS 397,IBE Practicum,3,N/A,N/A,N/A
BUS 491,"BBA Capstone I 1 credit
The first capstone course will begin with the student identifying a
business problem based on feedback solicited from management, peers,
faculty, and/or mentors. The scope of the project definition will be
documented and reviewed with a key business stakeholder who will
work directly with the student throughout both capstone courses. A
mutually acceptable project plan will represent an appropriate level of
complexity to achieve the final project goal and solve a business problem
of strategic importance for the business organization.
Prerequisites: All other BBA program courses (excluding two capstone
courses) must be complete with a mastery of 70% or higher.
BUS 492 BBA Capstone II",3,N/A,N/A,N/A
BLAW 398,CPT: Co-Operative Experience,0,N/A,N/A,N/A
BLAW 450,Contract Law and Professional Responsibility,3,N/A,N/A,N/A
BLAW 200,BLAW 452 Employment Law,3,N/A,N/A,N/A
BLAW 474,Environmental Law,3,N/A,N/A,N/A
BLAW 492,"Study Tour 1-3 credits
Study tours are led by Minnesota State University, Mankato faculty
members and provide students the opportunities to visit epicenters of
international law to experience the development and implementation of
international law and its effect on businesses.
BLAW 497 Internship 1-8 credits
BLAW 498 Internship 1-3 credits
BLAW 499 Individual Study 1-4 credits
CAHN Interdisciplinary
CAHN 101W The Health Care Professions",3,N/A,N/A,N/A
CHEM 100,Chemistry in Society,3,N/A,N/A,N/A
CHEM 111,"or CHEM 201. Credit will not be given to students who
have previously taken a chemistry course at or above Chem 111 and
received a passing grade.
CHEM 101 Skills for General Chemistry",2,N/A,N/A,N/A
CHEM 106,"or high school chemistry
CHEM 131 Forensic Science",3,N/A,N/A,N/A
CHEM 134,Mind Altering Substances,3,N/A,N/A,N/A
CHEM 190,Learning in Chemistry Applications,1,N/A,N/A,N/A
MATH 115,"in the placement chart. See Mathematics for details.
CHEM 200 GC1 Laboratory Component",1,N/A,N/A,N/A
CHEM 322,"CHEM 299 Individual Study 1-6 credits
CHEM 305 Analytical Chemistry",4,N/A,N/A,N/A
